,Ticker,Date,divp,ROA,ROE,DE,AE
0,AAPL,2018-09-29,0.22641399999999998,16.0668,49.3636,-114.4381,3.4133
1,AAPL,2017-09-30,0.25982900000000003,13.8739,36.8675,-114.2995,2.7999
2,AAPL,2016-09-24,0.261891,14.9296,36.9033,-117.3912,2.5083
3,MSFT,2019-06-30,0.359506,14.3893,42.4106,-46.2855,2.8003
4,MSFT,2018-06-30,0.779675,6.5092,19.4462,-55.9249,3.1293
5,MSFT,2017-06-30,0.472674,11.2482,29.8464,-42.7016,2.8538
6,MSFT,2016-06-30,0.5556260000000001,10.8854,25.1745,-66.8215,2.4419
7,AMZN,2018-12-31,0.0,6.8534,28.2719,18.4597,3.7348
8,AMZN,2017-12-31,0.0,2.8252,12.908,47.4972,4.7389
9,AMZN,2016-12-31,0.0,3.2008,14.5153,-28.8877,4.3247
10,FB,2018-12-31,0.0,24.3168,27.9049,-48.8713,1.157
11,FB,2017-12-31,0.0,21.2998,23.8429,-56.1031,1.1369
12,FB,2016-12-31,0.0,17.8162,19.7037,-49.75,1.0974
13,INTC,2018-12-29,0.263193,16.7611,29.0653,11.5588,1.7066
14,INTC,2017-12-30,0.528278,8.1166,14.0168,6.0557,1.7635999999999998
15,INTC,2016-12-31,0.477414,9.6058,15.9826,2.9862,1.6887
16,CSCO,2019-07-27,0.5145000000000001,11.251,30.2729,-26.0552,2.9130000000000003
17,CSCO,2018-07-28,54.25454499999999,0.0922,0.2012,-48.558,2.5179
18,CSCO,2017-07-29,0.573525,7.6423,14.8146,-55.6043,1.9629
19,CSCO,2016-07-30,0.442313,9.1344,17.4216,-58.3675,1.9132
20,CMCSA,2018-12-31,0.29827000000000004,5.3426,16.7312,146.2096,3.4095
21,CMCSA,2017-12-31,0.130856,12.3573,37.1005,86.3195,2.6472
22,CMCSA,2016-12-31,0.30542199999999997,5.0007,16.3409,100.2169,3.1326
23,PEP,2018-12-29,0.405683,15.8969,98.6596,159.7589,5.3176
24,PEP,2017-12-30,0.930082,6.3368,44.3156,180.0474,7.2675
25,PEP,2016-12-31,0.673642,8.842,55.136,185.9095,6.5622
26,NFLX,2018-12-31,0.0,5.3848,27.4636,125.3268,4.9581
27,NFLX,2017-12-31,0.0,3.4291,17.8521,102.6433,5.3079
28,NFLX,2016-12-31,0.0,1.5694,7.6145,60.8452,5.07
29,ADBE,2018-11-30,0.0,15.5582,29.0739,9.5688,2.0047
30,ADBE,2017-12-01,0.0,12.4405,21.3281,-46.5534,1.7182
31,ADBE,2016-12-02,0.0,9.5709,16.2034,-38.6419,1.7101
32,PYPL,2018-12-31,0.0,4.8914,13.1103,-46.2173,2.8163
33,PYPL,2017-12-31,0.0,4.8594,11.6915,-29.3548,2.5493
34,PYPL,2016-12-31,0.0,4.5205,9.8416,-33.8159,2.2501
35,AVGO,2018-11-04,0.244177,23.4528,52.2304,49.5217,1.8803
36,AVGO,2017-10-29,1.02768,3.2419,8.6377,27.3613,2.347
37,AVGO,2016-10-30,,-5.7506,-14.7335,48.2035,2.2841
38,AMGN,2018-12-31,0.415783,11.4696,44.4821,37.0,5.3133
39,AMGN,2017-12-31,1.699141,2.5117000000000003,7.1812,-25.102,3.1676
40,AMGN,2016-12-31,0.387464,10.3599,26.6469,-11.6787,2.5984
41,NVDA,2019-01-27,0.08959199999999999,33.7586,49.2595,-58.1674,1.4228
42,NVDA,2018-01-28,0.11191300000000001,28.9062,46.0515,-68.37100000000001,1.5046
43,NVDA,2017-01-29,0.15666300000000002,19.3597,32.5677,-69.0385,1.7079
44,COST,2018-09-02,0.299433,8.1216,26.5852,-5.8384,3.1161
45,COST,2017-09-03,1.4565469999999998,7.7082,23.4414,8.0061,3.2807
46,COST,2016-08-28,0.317274,7.1018,20.7085,3.5842,2.6892
47,TXN,2018-12-31,0.4613580000000001,32.0883,57.2966,9.284,1.9054
48,TXN,2017-12-31,0.576596,21.6124,35.0697,-3.7922,1.7067
49,TXN,2016-12-31,0.463531,22.014,34.7813,1.1363,1.5689
50,SNY,2018-12-31,0.8853139999999999,4.0772,7.3641,27.9139,1.8872
51,SNY,2017-12-31,1.006911,8.2314,14.5575,6.5592,1.7139
52,SNY,2016-12-31,0.8566410000000001,4.5499,8.1468,14.3528,1.8133
53,SBUX,2018-09-30,0.389638,23.4583,136.5128,42.7199,20.5447
54,SBUX,2017-10-01,0.525497,20.1059,50.903,22.7543,2.6325
55,SBUX,2016-10-02,0.442276,21.0702,48.1576,22.7307,2.4326
56,ASML,2018-12-31,0.34121999999999997,13.0019,21.8527,-7.7876,1.6747999999999998
57,ASML,2017-12-31,0.28952,11.678,20.0681,-2.4405,1.6878
58,ASML,2016-12-31,0.331191,10.2147,17.1099,-7.5088,1.7519999999999998
59,GILD,2018-12-31,0.547388,8.1443,26.0824,-19.4576,2.957
60,GILD,2017-12-31,0.592481,7.2733,23.5348,-15.3749,3.4283
61,GILD,2016-12-31,0.182579,24.8424,72.1573,-31.1625,2.9426
62,BKNG,2018-12-31,0.0,16.6106,39.8823,-68.7877,2.5825
63,BKNG,2017-12-31,0.0,10.3378,22.1762,-77.7166,2.2595
64,BKNG,2016-12-31,0.0,11.4601,22.9025,-68.5652,2.0144
65,CHTR,2018-12-31,0.0,0.8403,3.2639,163.2544,3.3007
66,CHTR,2017-12-31,0.0,6.6928,24.9801,146.4518,3.0848
67,CHTR,2016-12-31,0.0,3.7392,,119.5489,2.9597
68,MDLZ,2018-12-31,0.416741,5.3801,13.0968,67.1722,2.4396
69,MDLZ,2017-12-31,0.438119,4.5432,11.0566,64.781,2.4146
70,MDLZ,2016-12-31,0.672694,2.6676,6.24,61.3048,2.4405
71,ADP,2019-06-30,0.580557,5.6797,45.2416,5.6389999999999985,7.7571
72,ADP,2018-06-30,0.589056,4.9584,43.2669,-3.6086,8.2031
73,ADP,2017-06-30,0.578673,4.2879,40.9855,-19.5625,9.3488
74,ADP,2016-06-30,0.6365069999999999,3.8877,32.131,-27.1042,9.7443
75,QCOM,2018-09-30,,-9.9059,-30.8307,530.6072,40.5428
76,QCOM,2017-09-24,1.343877,4.1852,7.8882,-54.2672,2.1299
