,Ticker,Date,C02,Femp,Fex,Fbrd,Fmg,Gpay,Bch
0,AAPL,2018-09-29,9.1932,33.0,40.0,25.0,29.0,1.0,0.0
1,AAPL,2017-09-30,9.2706,32.0,11.111,25.0,29.0,1.0,0.0
2,AAPL,2016-09-24,10.3493,32.0,10.0,25.0,28.0,1.0,1.0
3,MSFT,2018-06-30,47.2892,26.6,42.857,28.571,19.7,1.0,4.0
4,MSFT,2017-06-30,51.2292,25.9,42.857,25.0,19.1,1.0,1.0
5,MSFT,2016-06-30,49.5691,25.8,42.857,27.273000000000003,17.9,0.0,3.0
6,AMZN,2018-12-31,,41.7,14.286,33.333,,1.0,1.0
7,AMZN,2017-12-31,,40.0,14.286,30.0,,0.0,3.0
8,AMZN,2016-12-31,,39.0,14.286,27.273000000000003,,0.0,3.0
9,FB,2018-12-31,40.0944,36.0,16.667,22.222,,1.0,2.0
10,FB,2017-12-31,48.852,35.0,14.286,25.0,,1.0,0.0
11,FB,2016-12-31,52.5697,33.0,14.286,25.0,,0.0,0.0
12,INTC,2018-12-29,38.2879,27.0,0.0,22.222,1.0,4.0,17.7
13,INTC,2017-12-30,40.8885,27.0,0.0,16.667,1.0,6.0,
14,INTC,2016-12-31,37.9002,26.0,16.667,18.182,0.0,3.0,
15,CSCO,2018-07-28,58.1733,25.0,37.5,27.273000000000003,22.0,0.0,2.0
16,CSCO,2017-07-29,60.6894,24.0,37.5,33.333,21.0,0.0,3.0
17,CSCO,2016-07-30,62.2239,24.0,42.857,27.273000000000003,20.0,0.0,0.0
18,CMCSA,2018-12-31,,,0.0,20.0,,,2.0
19,CMCSA,2017-12-31,,35.0,0.0,10.0,,0.0,4.0
20,CMCSA,2016-12-31,,35.0,0.0,16.667,37.0,0.0,3.0
21,PEP,2018-12-29,,,10.0,14.286,,,0.0
22,PEP,2017-12-30,140.1547,,21.429,23.077,,1.0,2.0
23,PEP,2016-12-31,154.81799999999996,,25.0,28.571,,1.0,4.0
24,NFLX,2018-12-31,,,28.571,36.364,,,4.0
25,NFLX,2017-12-31,,,12.5,33.333,,0.0,0.0
26,NFLX,2016-12-31,,,0.0,33.333,,0.0,0.0
27,ADBE,2018-11-30,28.6157,32.0,18.182,18.182,,0.0,10.0
28,ADBE,2017-12-01,36.6441,31.0,20.0,20.0,27.0,0.0,3.0
29,ADBE,2016-12-02,37.8759,29.0,20.0,20.0,25.0,0.0,3.0
30,PYPL,2018-12-31,,,12.5,27.273000000000003,0.0,0.0,43.0
31,PYPL,2017-12-31,,,14.286,27.273000000000003,0.0,4.0,43.0
32,PYPL,2016-12-31,,,14.286,11.111,0.0,1.0,
33,AVGO,2018-11-04,,,16.667,11.111,,0.0,5.0
34,AVGO,2017-10-29,,,14.286,0.0,,0.0,2.0
35,AVGO,2016-10-30,,,28.571,11.111,,0.0,4.0
36,AMGN,2018-12-31,,,22.222,23.077,,,3.0
37,AMGN,2017-12-31,22.0367,51.0,22.222,21.429,,0.0,4.0
38,AMGN,2016-12-31,23.4972,51.0,18.182,21.429,,0.0,3.0
39,NVDA,2019-01-27,,,40.0,18.182,,,1.0
