,Ticker,Date,CR,QR,IntT,Wcap,DSO
0,AAPL,2018-09-29,0.5719,0.7719,37.1708,-28746.0,31.7766
1,AAPL,2017-09-30,0.7358,0.9131,40.3744,-26320.0,28.9279
2,AAPL,2016-09-24,0.85,1.0494,58.6369,-19408.0,26.5929
3,MSFT,2019-06-30,1.9277,2.353,18.163,22205.0,85.6326
4,MSFT,2018-06-30,2.2871,2.7399,15.8385,20526.0,87.5821
5,MSFT,2017-06-30,2.3855,2.7879,15.4607,17222.0,84.7803
6,MSFT,2016-06-30,2.1325,2.5211,12.7227,15989.0,82.8573
7,AMZN,2018-12-31,0.6031,0.847,8.3776,-4341.0,26.1376
8,AMZN,2017-12-31,0.5353,0.7627,8.1383,-5405.0,27.0139
9,AMZN,2016-12-31,0.593,0.7833,8.1335,-5509.0,22.4439
10,FB,2018-12-31,5.8592,6.9404,0.0,6767.0,49.5945
11,FB,2017-12-31,11.0934,12.6444,0.0,5452.0,52.3622
12,FB,2016-12-31,10.2431,11.632,0.0,3691.0,52.8778
13,INTC,2018-12-29,0.7007,1.105,3.8088,10151.0,34.536
14,INTC,2017-12-30,0.8037,1.1256,3.7752,9662.0,32.5194
15,INTC,2016-12-31,0.8422,1.0732,4.3198,7768.0,29.2992
16,CSCO,2019-07-27,1.0536,1.3875,11.9158,9910.0,74.2391
17,CSCO,2018-07-28,1.7218,2.1103,10.8169,10445.0,77.5003
18,CSCO,2017-07-29,2.5556,2.9182,12.5528,10233.0,75.8406
19,CSCO,2016-07-30,2.6396,3.0458,12.8601,10280.0,76.23100000000002
20,CMCSA,2018-12-31,0.1382,0.5404,0.0,11104.0,42.8853
21,CMCSA,2017-12-31,0.1559,0.5575,0.0,8834.0,37.9213
22,CMCSA,2016-12-31,0.1533,0.5227,0.0,7955.0,36.0624
23,PEP,2018-12-29,0.4062,0.6808,9.6728,1994.0,34.2209
24,PEP,2017-12-30,0.9516,1.2421,10.1573,2176.0,34.128
25,PEP,2016-12-31,0.763,1.0331,10.37,2274.0,33.7273
26,NFLX,2018-12-31,0.5849,0.5849,0.0,-562.985,0.0
27,NFLX,2017-12-31,0.5164,0.5164,0.0,-359.555,0.0
28,NFLX,2016-12-31,0.378,0.378,0.0,-312.842,0.0
29,ADBE,2018-11-30,0.7507,1.0566,0.0,1129.32,53.03100000000001
30,ADBE,2017-12-01,1.6498,1.9951,0.0,1104.43,60.719
31,ADBE,2016-12-02,1.6934,1.9897,0.0,745.0089999999999,52.79
32,PYPL,2018-12-31,0.3516,0.3637,0.0,32.0,7.394
33,PYPL,2017-12-31,0.2491,0.2615,0.0,26.0,7.8887
34,PYPL,2016-12-31,0.2948,0.3074,0.0,22.0,7.2241
35,AVGO,2018-11-04,1.8358,3.2579,7.8685,3638.0,59.1699
36,AVGO,2017-10-29,4.4302,5.3982,6.4117,2790.0,50.5257
37,AVGO,2016-10-30,1.0062,1.7147,7.5884,2320.0,59.96100000000001
38,AMGN,2018-12-31,2.1726,2.438,1.4205,5313.0,55.0259
39,AMGN,2017-12-31,4.6206,4.9795,1.4587,4719.0,51.7093
40,AMGN,2016-12-31,3.3992,3.6817,1.6069,4993.0,50.3845
41,NVDA,2019-01-27,5.5847,6.6561,3.8338,2488.0,44.2417
42,NVDA,2018-01-28,6.1648,7.2619,4.8956,1465.0,47.4017
43,NVDA,2017-01-29,3.802,4.2639999999999985,4.698,1135.0,43.5114
44,COST,2018-09-02,0.3643,0.4481,11.7996,1472.0,4.2911
45,COST,2017-09-03,0.3303,0.4122,11.9004,1658.0,4.1176
46,COST,2016-08-28,0.3036,0.384,11.5121,2609.0,3.8387
47,TXN,2018-12-31,1.7109999999999999,2.1989,2.6387,2946.0,27.9115
48,TXN,2017-12-31,1.9792,2.5452,2.854,2769.0,31.1791
49,TXN,2016-12-31,1.5415,2.1011,2.9377,2661.0,34.6838
50,SNY,2018-12-31,0.41,0.8278,1.5999,9696.0,74.2747
51,SNY,2017-12-31,0.6721,1.1387,1.6941000000000002,9401.0,72.7158
52,SNY,2016-12-31,0.5845,0.9992,1.5964,9906.0,77.0954
53,SBUX,2018-09-30,1.5724,1.6943,12.5648,914.3,10.206
54,SBUX,2017-10-01,0.6375,0.8438,11.3237,1451.9,14.1523
55,SBUX,2016-10-02,0.4977,0.6668,10.8557,1416.7,13.3808
56,ASML,2018-12-31,1.064,1.6202,1.8498,4584.8,70.3485
57,ASML,2017-12-31,1.0373,1.605,1.7231999999999998,3917.7,73.2794
58,ASML,2016-12-31,1.2366,1.5864,1.3931,3335.271,61.0926
59,GILD,2018-12-31,2.8372,3.151,6.0099,3351.0,54.8811
60,GILD,2017-12-31,2.1925,2.5235,3.6608,3838.0,53.8405
61,GILD,2016-12-31,1.2904,1.7801,2.406,4895.0,54.3641
62,BKNG,2018-12-31,1.7677,2.1961,0.0,389.0,38.2663
