,Ticker,Date,STD,LTD,EBITDA_Int
0,AAPL,2018-09-29,20748.0,93735.0,25.2472
1,AAPL,2017-09-30,18473.0,97207.0,30.7796
2,AAPL,2016-09-24,11605.0,75427.0,48.4402
3,MSFT,2019-06-30,7348.0,79107.0,20.9784
4,MSFT,2018-06-30,5573.0,81935.0,17.1621
5,MSFT,2017-06-30,11657.0,83870.0,17.5981
6,MSFT,2016-06-30,12904.0,44814.0,27.1118
7,AMZN,2018-12-31,9502.0,39787.0,19.5921
8,AMZN,2017-12-31,6221.0,37926.0,18.3774
9,AMZN,2016-12-31,5197.0,15213.0,25.4174
10,FB,2018-12-31,0.0,0.0,3247.5556
11,FB,2017-12-31,0.0,0.0,3871.3333
12,FB,2016-12-31,0.0,0.0,1476.9
13,INTC,2018-12-29,1261.0,25098.0,69.2329
14,INTC,2017-12-30,1776.0,25037.0,40.5248
15,INTC,2016-12-31,4634.0,20649.0,28.5443
16,CSCO,2019-07-27,10191.0,14475.0,18.7614
17,CSCO,2018-07-28,5238.0,20331.0,15.3775
18,CSCO,2017-07-29,7992.0,25725.0,16.561
19,CSCO,2016-07-30,4160.0,24483.0,21.9083
20,CMCSA,2018-12-31,4398.0,107345.0,8.3809
21,CMCSA,2017-12-31,5134.0,59422.0,8.978
22,CMCSA,2016-12-31,5480.0,55566.0,8.924900000000003
23,PEP,2018-12-29,4026.0,28295.0,8.2026
24,PEP,2017-12-30,5485.0,33796.0,10.9861
25,PEP,2016-12-31,6892.0,30053.0,9.07
26,NFLX,2018-12-31,0.0,10360.058,4.0152
27,NFLX,2017-12-31,0.0,6499.432,3.8227
28,NFLX,2016-12-31,0.0,3364.311,2.9133
29,ADBE,2018-11-30,0.0,4124.8,35.7103
30,ADBE,2017-12-01,0.0,1881.421,33.5218
31,ADBE,2016-12-02,0.0,1892.2,25.9098
32,PYPL,2018-12-31,1998.0,0.0,0.0
33,PYPL,2017-12-31,1000.0,0.0,0.0
34,PYPL,2016-12-31,0.0,0.0,0.0
35,AVGO,2018-11-04,0.0,17493.0,14.6752
36,AVGO,2017-10-29,117.0,17431.0,15.6828
37,AVGO,2016-10-30,454.0,13188.0,4.5009
38,AMGN,2018-12-31,4419.0,29510.0,8.7708
39,AMGN,2017-12-31,1152.0,34190.0,9.1472
40,AMGN,2016-12-31,4403.0,30193.0,9.4437
41,NVDA,2019-01-27,0.0,1988.0,70.1034
42,NVDA,2018-01-28,15.0,1985.0,55.8852
43,NVDA,2017-01-29,800.0,2020.0,36.569
44,COST,2018-09-02,7.0,6487.0,37.2138
45,COST,2017-09-03,93.0,6573.0,40.903
46,COST,2016-08-28,1110.0,4061.0,37.0451
47,TXN,2018-12-31,749.0,4319.0,61.33600000000001
48,TXN,2017-12-31,500.0,3577.0,89.5769
49,TXN,2016-12-31,631.0,2978.0,72.625
50,SNY,2018-12-31,2633.0,22007.0,20.1591
51,SNY,2017-12-31,1275.0,14326.0,26.9663
52,SNY,2016-12-31,1765.0,16824.0,35.8942
53,SBUX,2018-09-30,349.9,9090.2,30.4709
54,SBUX,2017-10-01,0.0,3932.6,56.2357
55,SBUX,2016-10-02,400.0,3202.2,63.9852
56,ASML,2018-12-31,0.0,3026.5,82.6579
57,ASML,2017-12-31,25.2,3000.1,50.5357
58,ASML,2016-12-31,247.672,3071.793,55.6684
59,GILD,2018-12-31,2748.0,24574.0,8.9406
60,GILD,2017-12-31,2747.0,30795.0,13.7835
61,GILD,2016-12-31,0.0,26346.0,19.4927
62,BKNG,2018-12-31,0.0,8649.0,21.4387
63,BKNG,2017-12-31,711.0,8810.0,19.2953
64,BKNG,2016-12-31,967.734,6170.522,15.4663
65,CHTR,2018-12-31,3290.0,69537.0,4.3895
66,CHTR,2017-12-31,2045.0,68186.0,4.7553
67,CHTR,2016-12-31,2028.0,59719.0,3.7467
68,MDLZ,2018-12-31,5840.0,12532.0,10.5718
69,MDLZ,2017-12-31,4680.0,12972.0,11.531
70,MDLZ,2016-12-31,3982.0,13217.0,3.332
71,ADP,2019-06-30,262.0,2002.2,26.4311
72,ADP,2018-06-30,0.0,2002.4,28.5784
73,ADP,2017-06-30,0.0,2002.4,33.0363
74,ADP,2016-06-30,0.0,2007.7,44.1121
75,QCOM,2018-09-30,1005.0,15365.0,2.9987
76,QCOM,2017-09-24,2495.0,19398.0,8.249
77,QCOM,2016-09-25,1749.0,10008.0,26.6768
78,INTU,2018-07-31,50.0,388.0,87.5
79,INTU,2017-07-31,50.0,438.0,52.6129
80,INTU,2016-07-31,512.0,488.0,42.2857
81,CELG,2018-12-31,501.0,19769.0,7.8623
82,CELG,2017-12-31,0.0,15838.0,9.9195
83,CELG,2016-12-31,501.0,13789.0,7.342
84,ISRG,2018-12-31,0.0,0.0,0.0
85,ISRG,2017-12-31,0.0,0.0,0.0
86,ISRG,2016-12-31,0.0,0.0,0.0
87,TMUS,2018-12-31,841.0,29263.0,8.692
88,TMUS,2017-12-31,1612.0,29297.0,6.5063
89,TMUS,2016-12-31,354.0,30053.0,5.9497
90,CME,2018-12-31,574.2,3826.8,18.1122
91,CME,2017-12-31,0.0,2233.1,21.5308
92,CME,2016-12-31,0.0,2231.2,19.6599
93,CSX,2018-12-31,18.0,14739.0,9.7027
94,CSX,2017-12-31,19.0,11790.0,9.2216
95,CSX,2016-12-30,331.0,10962.0,8.1002
96,BIDU,2018-12-31,10001.0,54903.0,16.8439
97,BIDU,2017-12-31,7754.0,35812.0,16.990099999999998
98,BIDU,2016-12-31,9795.027,34470.934,15.8753
99,AMOV,2018-12-31,96230.634,542691.819,9.2936
100,AMOV,2017-12-31,51745.84099999999,646139.058,9.4917
101,AMOV,2016-12-31,82607.259,625194.144,8.3268
102,VOD,2019-03-31,4270.0,48685.0,5.1251
103,VOD,2018-03-31,7348.0,32630.0,12.2313
104,VOD,2017-03-31,7419.0,34218.0,8.9633
105,WBA,2018-08-31,1966.0,12431.0,12.8505
106,WBA,2017-08-31,251.0,12684.0,9.7198
107,WBA,2016-08-31,323.0,18705.0,12.2325
108,ILMN,2018-12-30,1107.0,890.0,18.6316
109,ILMN,2017-12-31,10.0,1182.0,20.5946
110,ILMN,2017-01-01,1.25,1047.805,21.9412
111,VRTX,2018-12-31,9.817,19.658,0.0
112,VRTX,2017-12-31,22.531,20.496,0.0
113,VRTX,2016-12-31,319.426,34.976,0.0
114,MU,2018-08-30,859.0,3777.0,57.7573
115,MU,2017-08-31,1262.0,9872.0,16.188
116,MU,2016-09-01,756.0,9154.0,7.2037
117,TSLA,2018-12-31,2567.699,9403.672,2.2818
118,TSLA,2017-12-31,796.549,9418.219,0.0083
119,TSLA,2016-12-31,984.211,5870.335999999998,1.4072
120,BIIB,2018-12-31,0.0,5936.5,34.4227
121,BIIB,2017-12-31,3.2,5935.0,25.6252
122,BIIB,2016-12-31,4.7,6512.7,22.435
123,MAR,2018-12-31,833.0,8514.0,7.7941
124,MAR,2017-12-31,398.0,7840.0,9.6632
125,MAR,2016-12-31,309.0,8197.0,6.5641
126,JD,2018-12-31,4544.934,6786.143,3.4415
127,JD,2017-12-31,12884.881,10922.595,3.4835
128,JD,2016-12-31,11109.387,9149.401,3.5059
129,WDAY,2019-01-31,232.514,972.264,-3.221
130,WDAY,2018-01-31,341.509,1149.845,-2.4397
131,WDAY,2017-01-31,0.0,534.423,-6.3733
132,CTSH,2018-12-31,9.0,736.0,122.1852
133,CTSH,2017-12-31,175.0,698.0,127.1304
134,CTSH,2016-12-31,81.0,797.0,140.4211
135,ADI,2018-11-03,67.0,6265.674,10.5714
136,ADI,2017-10-28,300.0,7551.084,6.5348
137,ADI,2016-10-29,0.0,1732.177,13.9471
138,REGN,2018-12-31,0.0,708.5,95.1277
139,REGN,2017-12-31,0.0,703.5,88.6494
140,REGN,2016-12-31,127.274,351.569,199.3611
141,AMAT,2018-10-28,0.0,5309.0,22.4487
142,AMAT,2017-10-29,0.0,5304.0,21.5909
143,AMAT,2016-10-30,0.0,3125.0,16.3935
144,KHC,2018-12-29,398.0,30770.0,-7.1939
145,KHC,2017-12-30,3195.0,28308.0,5.7439
146,KHC,2016-12-31,2691.0,29713.0,6.1182
147,ADSK,2019-01-31,0.0,2087.7,0.0
148,ADSK,2018-01-31,0.0,1586.0,0.0
149,ADSK,2017-01-31,398.7,1092.0,0.0
150,ROST,2019-02-02,0.0,312.44,144.5158
151,ROST,2018-02-03,84.973,311.994,125.3016
152,ROST,2017-01-28,0.0,396.49300000000005,107.5762
153,NTES,2018-12-31,13658.553999999998,0.0,32.1428
154,NTES,2017-12-31,6623.502,0.0,140.66899999999998
155,NTES,2016-12-31,3815.691,0.0,402.372
156,ATVI,2018-12-31,0.0,2671.0,22.2836
157,ATVI,2017-12-31,0.0,4390.0,16.72
158,ATVI,2016-12-31,0.0,4887.0,13.0051
159,FISV,2018-12-31,4.0,5955.0,11.9637
160,FISV,2017-12-31,3.0,4897.0,11.1648
