,Ticker,Date,divp,ROA,ROE,Aturn
0,AAPL,2019-06-29,0.35039699999999996,16.5898,52.6903,0.7716
1,AAPL,2019-03-30,0.295136,16.1156,49.1282,0.7287
2,AAPL,2018-12-29,0.17315999999999998,15.2287,46.0543,0.6704
3,AAPL,2018-09-29,0.248153,16.0668,49.3636,0.7168
4,AAPL,2018-06-30,0.3094,16.1643,45.3726,0.7353
5,AAPL,2018-03-31,0.229031,15.1896,40.863,0.7049
6,AAPL,2017-12-30,0.16107700000000005,13.6936,37.0705,0.6482
7,AAPL,2017-09-30,0.303528,13.8739,36.8675,0.6578
8,AAPL,2017-07-01,0.375462,14.3371,36.0287,0.6869
9,AAPL,2017-04-01,0.270922,14.2949,34.5734,0.6891
10,AAPL,2016-12-31,0.17003,14.4828,34.6946,0.6986
11,AAPL,2016-09-24,0.340692,14.9296,36.9033,0.7047
12,AAPL,2016-06-25,0.39982,16.5172,37.9013,0.7613
13,MSFT,2019-06-30,0.26662600000000003,14.3893,42.4106,0.4615
14,MSFT,2019-03-31,0.40027199999999996,13.7294,40.1211,0.4804
15,MSFT,2018-12-31,0.419834,13.0291,39.3471,0.4602
16,MSFT,2018-09-30,0.400385,7.4278,21.4322,0.4535
17,MSFT,2018-06-30,0.363349,6.5092,19.4462,0.4335
18,MSFT,2018-03-31,0.435075,6.702000000000001,21.1683,0.4501
19,MSFT,2017-12-31,,5.6295,17.2659,0.4163
20,MSFT,2017-09-30,0.49239700000000003,11.2068,30.6759,0.4211
21,MSFT,2017-06-30,0.372165,11.2482,29.8464,0.4262
22,MSFT,2017-03-31,0.5484870000000001,11.1319,31.3377,0.4642
23,MSFT,2016-12-31,0.479177,10.3352,27.0678,0.4465
24,MSFT,2016-09-30,0.533616,10.7049,26.4366,0.4668
25,MSFT,2016-06-30,0.540103,10.8854,25.1745,0.4831
26,AMZN,2019-06-30,0.0,7.4334,27.4734,1.5490000000000002
27,AMZN,2019-03-31,0.0,7.886,30.0602,1.5867
28,AMZN,2018-12-31,0.0,6.8534,28.2719,1.5845
29,AMZN,2018-09-30,0.0,6.8751,27.9134,1.7065
30,AMZN,2018-06-30,0.0,5.6562,21.5602,1.876
31,AMZN,2018-03-31,0.0,3.7988,14.8221,1.8636
32,AMZN,2017-12-31,0.0,2.8252,12.908,1.6568
33,AMZN,2017-09-30,0.0,2.0691,9.0763,1.7313
34,AMZN,2017-06-30,0.0,2.5148,9.67,1.9642
35,AMZN,2017-03-31,0.0,3.6341,14.1751,2.0067
36,AMZN,2016-12-31,0.0,3.2008,14.5153,1.8358
37,AMZN,2016-09-30,0.0,3.3101,13.9282,2.0136
38,AMZN,2016-06-30,0.0,3.2864,13.6438,2.0531
39,FB,2019-06-30,0.0,16.4633,20.2969,0.604
40,FB,2019-03-31,0.0,19.7095,23.8266,0.5942
41,FB,2018-12-31,0.0,24.3179,27.9062,0.6141
42,FB,2018-09-30,0.0,22.7425,25.7288,0.6054
43,FB,2018-06-30,0.0,23.2286,26.1382,0.5909
44,FB,2018-03-31,0.0,22.64,25.5307,0.5656
45,FB,2017-12-31,0.0,21.2985,23.8414,0.5439
46,FB,2017-09-30,0.0,21.9424,24.2797,0.5263
47,FB,2017-06-30,0.0,20.2652,22.4706,0.512
48,FB,2017-03-31,0.0,19.068,21.065,0.5015
49,FB,2016-12-31,0.0,17.8179,19.7056,0.4833
50,FB,2016-09-30,0.0,15.4188,17.1309,0.4648
51,FB,2016-06-30,0.0,12.9249,14.3686,0.4438
52,INTC,2019-06-29,0.336633,15.3826,27.0688,0.5483
53,INTC,2019-03-30,0.356059,15.9447,28.3957,0.5491
54,INTC,2018-12-29,0.27583,16.7611,29.0653,0.564
55,INTC,2018-09-29,0.214473,11.8834,21.0996,0.5424
56,INTC,2018-06-30,0.278606,10.7135,18.9572,0.5339
57,INTC,2018-03-31,0.314818,9.0819,16.0961,0.5243
58,INTC,2017-12-30,,8.1166,14.0168,0.5306
59,INTC,2017-09-30,0.282879,11.5752,20.3966,0.5189
60,INTC,2017-07-01,0.457078,10.9616,19.4275,0.5321
61,INTC,2017-04-01,0.434216,10.1612,17.5507,0.5471
62,INTC,2016-12-31,0.34562,9.6058,15.9826,0.5529999999999999
63,INTC,2016-10-01,0.364369,9.8373,16.9947,0.5497
64,INTC,2016-07-02,0.924466,10.0817,16.9626,0.5652
65,CSCO,2019-07-27,0.675431,11.251,30.2729,0.5025
66,CSCO,2019-04-27,0.499014,12.5114,31.6732,0.4858
67,CSCO,2019-01-26,0.520907,10.997,27.735,0.4345
68,CSCO,2018-10-27,0.422654,1.0723,2.3127,0.4261
69,CSCO,2018-07-28,0.403629,0.0922,0.2012,0.4135
70,CSCO,2018-04-28,0.5841689999999999,-1.0577,-2.2652,0.4052
