,Ticker,Date,CR,QR,IntT,Wcap
0,AAPL,2019-06-29,1.0547,1.2125,34.6294,-11612.0
1,AAPL,2019-03-30,0.8541,1.015,25.5273,-10474.0
2,AAPL,2018-12-29,0.7982,0.9651,34.3616,-21228.0
3,AAPL,2018-09-29,0.5719,0.7719,37.1708,-28746.0
4,AAPL,2018-06-30,0.8015,0.9608,34.7034,-18449.0
5,AAPL,2018-03-31,0.9845,1.1449,28.8808,-12325.0
6,AAPL,2017-12-30,0.6663,0.8688,41.2881,-35124.0
7,AAPL,2017-09-30,0.7358,0.9131,40.3744,-26320.0
8,AAPL,2017-07-01,0.9441,1.0966,55.2297,-16370.0
9,AAPL,2017-04-01,0.9149,1.0728,52.3102,-14084.0
10,AAPL,2016-12-31,0.7186,0.8856,51.9473,-21741.0
11,AAPL,2016-09-24,0.85,1.0494,58.6369,-19408.0
12,AAPL,2016-06-25,0.8639,1.0278,68.8304,-12773.0
13,MSFT,2019-06-30,1.9277,2.353,18.163,22205.0
14,MSFT,2019-03-31,2.4437,2.8014,20.9368,13676.0
15,MSFT,2018-12-31,2.5371,2.9282,20.8572,14078.0
16,MSFT,2018-09-30,2.4145,2.7235,11.7158,12493.0
17,MSFT,2018-06-30,2.2871,2.7399,15.8385,20526.0
18,MSFT,2018-03-31,2.8671,3.2402,18.2461,11669.0
19,MSFT,2017-12-31,2.4575,2.7747,18.0918,12581.0
20,MSFT,2017-09-30,2.6828,2.9649,10.9569,10906.0
21,MSFT,2017-06-30,2.3855,2.7879,15.4607,17222.0
22,MSFT,2017-03-31,2.4232,2.6709,15.2558,8644.0
23,MSFT,2016-12-31,1.9167,2.178,14.3453,12118.0
24,MSFT,2016-09-30,2.6215,2.8795,9.633,10305.0
25,MSFT,2016-06-30,2.1325,2.5211,12.7227,15989.0
26,AMZN,2019-06-30,0.5951,0.8354,8.863999999999997,-736.0
27,AMZN,2019-03-31,0.5812,0.8321,9.4041,602.0
28,AMZN,2018-12-31,0.6031,0.847,8.3776,-4341.0
29,AMZN,2018-09-30,0.5379999999999999,0.7957,8.9855,-784.0
30,AMZN,2018-06-30,0.5325,0.7806,9.6765,-226.0
31,AMZN,2018-03-31,0.5196,0.7699,9.8387,694.0
32,AMZN,2017-12-31,0.5353,0.7627,8.1383,-5405.0
33,AMZN,2017-09-30,0.5164,0.7407,8.3909,-1807.0
34,AMZN,2017-06-30,0.5294,0.728,9.1107,-1883.0
35,AMZN,2017-03-31,0.5757,0.7717,9.101,-962.0
36,AMZN,2016-12-31,0.593,0.7833,8.1334,-5509.0
37,AMZN,2016-09-30,0.5477,0.7437,8.502,-1539.0
38,AMZN,2016-06-30,0.5589999999999999,0.7649,9.2792,-443.0
39,FB,2019-06-30,3.7442,4.3231,0.0,6858.0
40,FB,2019-03-31,4.5663,5.2198,0.0,5871.0
41,FB,2018-12-31,5.8592,6.9404,0.0,6767.0
42,FB,2018-09-30,7.5441,8.6532,0.0,5468.0
43,FB,2018-06-30,9.0597,10.2567,0.0,5171.0
44,FB,2018-03-31,8.6425,9.6483,0.0,4522.0
45,FB,2017-12-31,11.0934,12.6444,0.0,5452.0
46,FB,2017-09-30,11.5852,12.9238,0.0,4041.0
47,FB,2017-06-30,10.6944,11.87,0.0,3574.0
48,FB,2017-03-31,11.0335,12.1998,0.0,3245.0
49,FB,2016-12-31,10.2431,11.632,0.0,3691.0
50,FB,2016-09-30,10.0732,11.2563,0.0,2810.0
51,FB,2016-06-30,10.5351,11.8019,0.0,2671.0
52,INTC,2019-06-29,0.6061,0.9225,3.4703,10247.0
53,INTC,2019-03-30,0.6363,1.0042,3.7218,10663.0
54,INTC,2018-12-29,0.7007,1.105,3.8088,10151.0
55,INTC,2018-09-29,0.6736,0.9524,3.6226,9265.0
56,INTC,2018-06-30,0.6957,0.9596,3.693,7837.0
57,INTC,2018-03-31,0.8114,1.0559,3.7633,7610.0
58,INTC,2017-12-30,0.8037,1.1256,3.7752,9662.0
59,INTC,2017-09-30,0.8461,1.1338,3.722,9329.0
60,INTC,2017-07-01,1.3805,1.6679,3.8547,8050.0
61,INTC,2017-04-01,0.8118,1.0428,4.027,7501.0
62,INTC,2016-12-31,0.8422,1.0732,4.3276,7768.0
63,INTC,2016-10-01,0.8843,1.1308,4.1405,7554.0
64,INTC,2016-07-02,0.9454,1.1819,4.1081,6806.0
65,CSCO,2019-07-27,1.0536,1.3875,11.9158,9910.0
66,CSCO,2019-04-27,1.2411,1.5528,11.3132,8191.0
67,CSCO,2019-01-26,1.3699,1.6639,10.6895,8713.0
68,CSCO,2018-10-27,1.6125,1.9679,11.6025,9154.0
69,CSCO,2018-07-28,1.7218,2.1103,10.8169,10445.0
70,CSCO,2018-04-28,1.9004,2.2196,11.2609,9490.0
71,CSCO,2018-01-27,2.0836,2.3349,11.4601,9724.0
72,CSCO,2017-10-28,2.4446,2.7603,12.5633,9782.0
73,CSCO,2017-07-29,2.5556,2.9182,12.5528,10233.0
74,CSCO,2017-04-29,2.9921,3.4003,13.1835,9421.0
75,CSCO,2017-01-28,3.1639,3.5582000000000003,13.4912,9261.0
76,CSCO,2016-10-29,3.0567,3.4593,13.4725,9526.0
77,CSCO,2016-10-28,,,,
78,CSCO,2016-07-30,2.6396,3.0458,12.8601,10280.0
79,CMCSA,2019-06-30,0.1264,0.4758,0.0,10835.0
80,CMCSA,2019-03-31,0.1253,0.5099,0.0,10736.0
81,CMCSA,2018-12-31,0.1382,0.5404,0.0,11104.0
82,CMCSA,2018-09-30,0.5409,0.9986,0.0,8983.0
83,CMCSA,2018-06-30,0.3013,0.7667,0.0,8847.0
84,CMCSA,2018-03-31,0.3144,0.7711,0.0,8759.0
85,CMCSA,2017-12-31,0.1559,0.5575,0.0,8834.0
86,CMCSA,2017-09-30,0.1918,0.5608,0.0,7915.0
87,CMCSA,2017-06-30,0.1209,0.4732,0.0,7849.0
88,CMCSA,2017-03-31,0.2109,0.6054,0.0,7525.0
89,CMCSA,2016-12-31,0.1533,0.5227,0.0,7955.0
90,CMCSA,2016-09-30,0.1556,0.5732,0.0,7533.0
91,CMCSA,2016-06-30,0.265,0.6462,0.0,6708.0
92,PEP,2019-06-15,0.1798,0.6065,7.9035,12490.0
93,PEP,2019-03-23,0.2808,0.6792,8.5394,11158.0
94,PEP,2018-12-29,0.4062,0.6808,9.6728,1994.0
95,PEP,2018-09-08,0.7053,1.1101,9.2364,11117.0
96,PEP,2018-06-16,0.7382,1.0575,8.2683,11332.0
97,PEP,2018-03-24,0.7962,1.0732,8.814,10506.0
98,PEP,2017-12-30,0.9516,1.2421,10.1559,2176.0
99,PEP,2017-09-09,0.8175,1.1719,9.0002,11174.0
100,PEP,2017-06-17,0.7759999999999999,1.1171,8.0535,11155.0
101,PEP,2017-03-25,0.7387,1.0551,8.7239,10130.0
102,PEP,2016-12-31,0.763,1.0331,10.37,2274.0
103,PEP,2016-09-03,0.7179,1.094,8.8892,10865.0
104,PEP,2016-06-11,0.7248,1.1308,7.5379,10982.0
105,NFLX,2019-06-30,0.7217,0.7217,0.0,-442.194
106,NFLX,2019-03-31,0.4883,0.4883,0.0,-439.496
107,NFLX,2018-12-31,0.5849,0.5849,0.0,-562.985
108,NFLX,2018-09-30,0.487,0.487,0.0,-441.427
109,NFLX,2018-06-30,0.6425,0.6425,0.0,-448.219
110,NFLX,2018-03-31,0.4319,0.4319,0.0,-436.18300000000005
111,NFLX,2017-12-31,0.5164,0.5164,0.0,-359.555
112,NFLX,2017-09-30,0.3289,0.3289,0.0,-301.443
113,NFLX,2017-06-30,0.4226,0.4226,0.0,-273.398
114,NFLX,2017-03-31,0.2731,0.2731,0.0,-294.831
115,NFLX,2016-12-31,0.378,0.378,0.0,-312.842
116,NFLX,2016-09-30,0.3045,0.3045,0.0,-285.753
117,NFLX,2016-06-30,0.4527,0.4527,0.0,-240.458
118,ADBE,2019-05-31,0.4526,0.6181,0.0,1103.567
119,ADBE,2019-03-01,0.6072,0.8598,0.0,1197.0510000000004
120,ADBE,2018-11-30,0.7507,1.0566,0.0,1129.32
121,ADBE,2018-08-31,1.3039,1.5794,0.0,898.941
122,ADBE,2018-06-01,1.6986,1.9869,0.0,957.683
123,ADBE,2018-03-02,1.7384,2.0389,0.0,931.6
124,ADBE,2017-12-01,1.6498,1.9951,0.0,1104.43
