,Ticker,Date,STD,LTD,EBITDA_Int,AltZ
0,AAPL,2019-06-29,23482.0,84936.0,16.7171,4.3333
1,AAPL,2019-03-30,22429.0,90201.0,16.2921,4.0739
2,AAPL,2018-12-29,21741.0,92989.0,30.0461,3.4826
3,AAPL,2018-09-29,20748.0,93735.0,21.7419,4.2538
4,AAPL,2018-06-30,17472.0,97128.0,18.0579,4.1572
5,AAPL,2018-03-31,20478.0,101362.0,23.5265,3.9114
6,AAPL,2017-12-30,18478.0,103922.0,39.5354,3.5206
7,AAPL,2017-09-30,18473.0,97207.0,23.4294,3.6206
8,AAPL,2017-07-01,18475.0,89864.0,21.7973,3.8897
9,AAPL,2017-04-01,13991.0,84531.0,30.9981,4.0692
10,AAPL,2016-12-31,13992.0,73557.0,50.1829,3.6501
11,AAPL,2016-09-24,11605.0,75427.0,31.7978,3.743
12,AAPL,2016-06-25,15996.0,68939.0,30.8826,3.7009
13,MSFT,2019-06-30,7348.0,79107.0,23.5904,5.1541
14,MSFT,2019-03-31,8258.0,78085.0,20.4143,5.1466
15,MSFT,2018-12-31,5182.0,80301.0,20.3363,4.7305
16,MSFT,2018-09-30,8072.0,79856.0,19.5875,4.8944
17,MSFT,2018-06-30,5573.0,81935.0,19.7887,4.341
18,MSFT,2018-03-31,5240.0,83381.0,16.4935,4.3203
19,MSFT,2017-12-31,17411.0,82734.0,16.639,3.8702
20,MSFT,2017-09-30,10618.0,85150.0,15.7664,3.9086
21,MSFT,2017-06-30,11657.0,83870.0,15.3053,3.6488
22,MSFT,2017-03-31,7786.0,76222.0,15.0673,3.627
23,MSFT,2016-12-31,25664.0,59306.0,19.3301,3.469
24,MSFT,2016-09-30,14536.0,60154.0,19.5217,3.5613
25,MSFT,2016-06-30,12904.0,44814.0,22.9159,3.6828
26,AMZN,2019-06-30,13151.0,58463.0,23.9164,6.0056
27,AMZN,2019-03-31,12408.0,56597.0,27.623,6.067
28,AMZN,2018-12-31,9502.0,39787.0,20.7959,5.8486
29,AMZN,2018-09-30,6126.0,37784.0,20.9553,7.814
30,AMZN,2018-06-30,6951.0,38838.0,19.2799,7.1251
31,AMZN,2018-03-31,6547.0,37940.0,16.9636,6.4553
32,AMZN,2017-12-31,6221.0,37926.0,16.5929,5.0639
33,AMZN,2017-09-30,6576.0,36610.0,14.2939,4.8535
34,AMZN,2017-06-30,6136.0,17483.0,22.8042,6.35
35,AMZN,2017-03-31,5608.0,15991.0,24.7482,6.4518
36,AMZN,2016-12-31,5197.0,15213.0,26.6992,5.3536
37,AMZN,2016-09-30,3883.0,15105.0,22.5339,6.7154
38,AMZN,2016-06-30,3548.0,14312.0,27.5345,6.4910000000000005
39,FB,2019-06-30,688.0,7122.0,0.0,14.2701
40,FB,2019-03-31,645.0,6565.0,0.0,15.1813
41,FB,2018-12-31,0.0,0.0,0.0,20.3427
42,FB,2018-09-30,0.0,0.0,0.0,26.8171
43,FB,2018-06-30,0.0,0.0,0.0,34.28
44,FB,2018-03-31,0.0,0.0,0.0,27.844
45,FB,2017-12-31,0.0,0.0,0.0,33.4698
46,FB,2017-09-30,0.0,0.0,0.0,41.4006
47,FB,2017-06-30,0.0,0.0,0.0,38.7926
48,FB,2017-03-31,0.0,0.0,0.0,40.8596
49,FB,2016-12-31,0.0,0.0,0.0,37.6713
50,FB,2016-09-30,0.0,0.0,0.0,42.6932
51,FB,2016-06-30,0.0,0.0,0.0,39.4765
52,INTC,2019-06-29,3904.0,25515.0,53.4667,4.6974
53,INTC,2019-03-30,2927.0,26175.0,49.6087,5.0462
54,INTC,2018-12-29,1261.0,25098.0,66.542,4.9555
55,INTC,2018-09-29,3051.0,24823.0,88.2844,4.7413
56,INTC,2018-06-30,3510.0,24632.0,63.75,4.8497
57,INTC,2018-03-31,3842.0,24770.0,59.5179,4.7328
58,INTC,2017-12-30,1776.0,25037.0,49.5098,4.6975
59,INTC,2017-09-30,4142.0,27498.0,37.6963,4.0997
60,INTC,2017-07-01,4130.0,27855.0,37.3718,3.8353
61,INTC,2017-04-01,5073.0,20678.0,38.2055,4.0482
62,INTC,2016-12-31,4634.0,20649.0,40.8608,4.2057
63,INTC,2016-10-01,3573.0,24043.0,35.5,4.1556
64,INTC,2016-07-02,4560.0,24053.0,17.2995,3.9192
65,CSCO,2019-07-27,10191.0,14475.0,20.3627,4.9207
66,CSCO,2019-04-27,7777.0,15921.0,18.9289,4.337
67,CSCO,2019-01-26,9737.0,15893.0,16.583,3.8785
68,CSCO,2018-10-27,7241.0,18323.0,19.3213,3.8847
69,CSCO,2018-07-28,5238.0,20331.0,17.2411,4.4106
70,CSCO,2018-04-28,7736.0,20336.0,15.6034,3.6711
71,CSCO,2018-01-27,13741.0,25625.0,14.6518,3.1985
72,CSCO,2017-10-28,10239.0,25684.0,14.1362,3.4345
73,CSCO,2017-07-29,7992.0,25725.0,23.964,3.3722
74,CSCO,2017-04-29,4248.0,28222.0,17.0274,3.6811
75,CSCO,2017-01-28,4451.0,30471.0,15.5045,3.4391
76,CSCO,2016-10-29,4155.0,30634.0,17.5556,3.4176
77,CSCO,2016-10-28,,,,3.4176
78,CSCO,2016-07-30,4160.0,24483.0,30.2944,3.5618
79,CMCSA,2019-06-30,7050.0,105224.0,7.8241,3.0398
80,CMCSA,2019-03-31,5322.0,108478.0,7.631299999999999,2.9586
81,CMCSA,2018-12-31,4398.0,107345.0,6.8299,2.904
82,CMCSA,2018-09-30,3173.0,69711.0,8.5699,3.2364
83,CMCSA,2018-06-30,2634.0,61946.0,9.4504,3.4463
84,CMCSA,2018-03-31,3039.0,63678.0,9.323,3.4424
85,CMCSA,2017-12-31,5134.0,59422.0,8.3494,3.6154
86,CMCSA,2017-09-30,5241.0,59720.0,8.9856,3.2967
87,CMCSA,2017-06-30,6358.0,57210.0,9.3338,3.3575
88,CMCSA,2017-03-31,3509.0,58276.0,9.2848,3.3617
89,CMCSA,2016-12-31,5480.0,55566.0,8.9418,3.1953
90,CMCSA,2016-09-30,3333.0,57095.0,9.1012,3.2973
91,CMCSA,2016-06-30,2934.0,52629.0,8.8183,3.3678
92,PEP,2019-06-15,3873.0,28783.0,13.0,5.9357
93,PEP,2019-03-23,3671.0,29527.0,10.0899,5.7414
94,PEP,2018-12-29,4026.0,28295.0,5.1433,5.3463
95,PEP,2018-09-08,4474.0,30643.0,11.2914,5.4839
96,PEP,2018-06-16,9955.0,30638.0,11.6948,4.9057
97,PEP,2018-03-24,11600.0,31931.0,7.8333,4.6644
98,PEP,2017-12-30,5485.0,33796.0,9.137,5.0948
99,PEP,2017-09-09,7717.0,31452.0,13.0,5.1818
100,PEP,2017-06-17,8279.0,31205.0,13.1057,5.2617
101,PEP,2017-03-25,8577.0,30081.0,9.5635,5.3281
102,PEP,2016-12-31,6892.0,30053.0,5.3148,5.2807
103,PEP,2016-09-03,6284.0,29322.0,13.7166,5.2996
104,PEP,2016-06-11,4774.0,30847.0,13.8314,5.2663
105,NFLX,2019-06-30,137.662,13540.455,4.8142,7.346
106,NFLX,2019-03-31,122.498,11070.047,3.8785,8.0271
107,NFLX,2018-12-31,0.0,10360.058,1.8554,6.016
108,NFLX,2018-09-30,0.0,8336.586,4.6098,8.0504
109,NFLX,2018-06-30,0.0,8342.067,4.7434,8.0941
110,NFLX,2018-03-31,0.0,6542.373000000001,5.7329,7.1605
111,NFLX,2017-12-31,0.0,6499.432,3.5113,5.4897
112,NFLX,2017-09-30,0.0,4888.7829999999985,3.7547,5.7783
113,NFLX,2017-06-30,0.0,4836.502,2.6379,5.0593
114,NFLX,2017-03-31,0.0,3365.431,5.819,5.6018
115,NFLX,2016-12-31,0.0,3364.311,3.8573,4.9861
116,NFLX,2016-09-30,0.0,2373.966,3.3894,4.6182
117,NFLX,2016-06-30,0.0,2373.085,2.3833,4.5232
118,ADBE,2019-05-31,3145.668,987.938,22.0607,13.1486
119,ADBE,2019-03-01,892.7539999999998,3236.833,20.6865,13.3947
120,ADBE,2018-11-30,0.0,4124.8,29.6798,13.6319
121,ADBE,2018-08-31,0.0,1874.654,38.1625,16.6339
122,ADBE,2018-06-01,0.0,1874.057,38.0516,15.5086
123,ADBE,2018-03-02,0.0,1874.794,39.1605,13.6486
124,ADBE,2017-12-01,0.0,1881.421,51.022,12.6203
125,ADBE,2017-09-01,0.0,1889.218,42.0244,11.9438
126,ADBE,2017-06-02,0.0,1888.398,36.3289,11.6225
127,ADBE,2017-03-03,0.0,1884.074,30.3259,10.453
128,ADBE,2016-12-02,0.0,1892.2,31.6326,9.3919
129,ADBE,2016-09-02,0.0,1916.591,26.2334,9.8152
130,ADBE,2016-06-03,0.0,1918.389,24.9622,9.6377
131,PYPL,2019-06-30,2561.0,445.0,0.0,3.5197000000000003
132,PYPL,2019-03-31,2091.0,406.0,0.0,3.3604
