ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
AABA,169637730.0,BUY,2018-06-07,Completed,USD,0.0,
AABA,145556880.0,BUY,2017-05-16,Pending,USD,2999999000.0,
AABA,134035910.0,M&A,2016-10-26,Withdrawn,TWD,20000000000.0,Cash
AABA,116522070.0,M&A,2016-07-25,Completed,USD,4475799600.0,Cash
AABA,126850370.0,M&A,2016-06-08,Proposed,USD,1000000000.0,Cash
AABA,125965710.0,INV,2016-05-20,Completed,USD,1200000.0,Cash
AABA,121812270.0,INV,2016-03-03,Withdrawn,USD,0.0,Undisclosed
AABA,114353464.0,M&A,2015-10-20,Withdrawn,USD,0.0,Cash
AABA,111667110.0,M&A,2015-07-31,Completed,USD,0.0,Cash
AABA,108737450.0,INV,2015-06-25,Completed,USD,25000000.0,Cash
AABA,100918030.0,M&A,2015-01-03,Withdrawn,USD,0.0,Undisclosed
AABA,99269910.0,M&A,2014-11-28,Completed,USD,0.0,Undisclosed
AABA,97713120.0,M&A,2014-11-11,Completed,USD,640000000.0,Cash
AABA,97027860.0,M&A,2014-10-03,Completed,USD,0.0,Undisclosed
AABA,100780200.0,M&A,2014-09-30,Completed,USD,60000000.0,Cash
AABA,96519310.0,M&A,2014-09-22,Completed,INR,0.0,Undisclosed
AABA,95887550.0,M&A,2014-09-05,Completed,USD,0.0,Undisclosed
AABA,95400660.0,INV,2014-08-26,Completed,USD,485600000.0,Cash
AABA,95072500.0,M&A,2014-08-17,Completed,ILS,0.0,Undisclosed
AABA,94893740.0,M&A,2014-08-12,Completed,USD,0.0,Undisclosed
AABA,93925420.0,M&A,2014-07-21,Completed,USD,0.0,Cash
AABA,93663570.0,M&A,2014-07-11,Completed,USD,0.0,Undisclosed
AABA,99104296.0,M&A,2014-06-30,Completed,USD,23000000.0,Cash
AABA,92974600.0,M&A,2014-06-26,Withdrawn,USD,250000000.0,Undisclosed
AABA,91250540.0,M&A,2014-05-14,Completed,USD,0.0,Undisclosed
AABA,89356610.0,M&A,2014-03-31,Withdrawn,USD,300000000.0,Cash
AABA,89074610.0,INV,2014-03-25,Completed,USD,100000000.0,Cash
AABA,88271520.0,M&A,2014-03-05,Completed,USD,0.0,Undisclosed
AABA,87439890.0,M&A,2014-02-13,Completed,USD,0.0,Undisclosed
AABA,87299660.0,M&A,2014-02-11,Completed,USD,0.0,Undisclosed
AABA,86860220.0,M&A,2014-01-30,Completed,USD,0.0,Undisclosed
AABA,86842260.0,M&A,2014-01-30,Completed,USD,0.0,Undisclosed
AABA,86638936.0,M&A,2014-01-27,Completed,USD,0.0,Undisclosed
AABA,86479304.0,M&A,2014-01-21,Completed,USD,0.0,Undisclosed
AABA,86800136.0,M&A,2014-01-07,Completed,USD,0.0,Undisclosed
AABA,84667010.0,M&A,2013-12-06,Completed,USD,0.0,Undisclosed
AABA,84538380.0,M&A,2013-12-02,Completed,USD,0.0,Undisclosed
AABA,84430150.0,M&A,2013-12-02,Completed,USD,0.0,Undisclosed
AABA,82977350.0,M&A,2013-10-25,Completed,USD,0.0,Undisclosed
AABA,82547250.0,M&A,2013-10-13,Completed,USD,0.0,Undisclosed
AABA,84860750.0,M&A,2013-10-02,Completed,USD,0.0,Undisclosed
AABA,100780120.0,M&A,2013-09-30,Completed,USD,218000000.0,Cash
AABA,80791496.0,M&A,2013-08-25,Completed,USD,0.0,Undisclosed
AABA,80160240.0,M&A,2013-08-02,Completed,USD,0.0,Undisclosed
AABA,80029690.0,M&A,2013-07-31,Completed,USD,0.0,Undisclosed
AABA,81593224.0,M&A,2013-07-18,Completed,CNY,0.0,Undisclosed
AABA,79608150.0,M&A,2013-07-17,Completed,USD,0.0,Undisclosed
