ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
AAPL,195142160.0,M&A,2019-07-25,Pending,USD,1000000000.0,Cash
AAPL,194956030.0,M&A,2019-06-08,Completed,USD,0.0,Cash
AAPL,194058700.0,M&A,2019-05-24,Completed,USD,0.0,Cash
AAPL,189538220.0,M&A,2019-03-21,Completed,GBP,0.0,Undisclosed
AAPL,189016380.0,M&A,2019-03-13,Completed,USD,0.0,Undisclosed
AAPL,197065250.0,M&A,2019-02-16,Completed,USD,0.0,Cash
AAPL,187278240.0,M&A,2019-02-14,Completed,GBP,0.0,Undisclosed
AAPL,182685100.0,M&A,2018-12-07,Completed,GBP,0.0,Undisclosed
AAPL,181645710.0,M&A,2018-11-21,Completed,USD,0.0,Undisclosed
AAPL,179404580.0,M&A,2018-10-14,Completed,USD,100000000.0,Undisclosed
AAPL,179285220.0,M&A,2018-10-11,Pending,USD,600000000.0,Cash
AAPL,179206820.0,M&A,2018-10-10,Proposed,DKK,200000000.0,Cash
AAPL,176786780.0,M&A,2018-08-30,Completed,USD,0.0,Undisclosed
AAPL,174080940.0,M&A,2018-07-12,Completed,USD,0.0,Undisclosed
AAPL,167170780.0,JV,2018-05-10,Completed,GBP,120000000.0,Undisclosed
AAPL,165110500.0,M&A,2018-04-27,Pending,USD,8000000.0,Cash
AAPL,162422620.0,M&A,2018-03-12,Pending,USD,0.0,Cash
AAPL,158576210.0,M&A,2018-01-02,Completed,USD,0.0,Cash
AAPL,157178400.0,INV,2017-12-13,Completed,USD,390000000.0,Cash
AAPL,157024930.0,M&A,2017-12-08,Completed,USD,0.0,Cash
AAPL,168858910.0,M&A,2017-12-05,Completed,USD,0.0,Cash
AAPL,155874140.0,M&A,2017-11-21,Completed,CAD,30000000.0,Cash
AAPL,154311860.0,M&A,2017-10-24,Completed,NZD,0.0,Undisclosed
AAPL,138801200.0,M&A,2017-09-20,Completed,JPY,2000300000000.0,Cash
AAPL,151778100.0,M&A,2017-09-08,Withdrawn,JPY,2100000000000.0,Cash
AAPL,150159060.0,M&A,2017-08-07,Proposed,USD,1000000000.0,Cash
AAPL,147794990.0,M&A,2017-06-26,Completed,USD,0.0,Undisclosed
AAPL,145472000.0,M&A,2017-05-13,Completed,USD,200000000.0,Undisclosed
AAPL,145215230.0,M&A,2017-05-10,Completed,EUR,0.0,Undisclosed
AAPL,142964660.0,M&A,2017-03-23,Completed,USD,0.0,Cash
AAPL,140611860.0,M&A,2017-02-19,Completed,ILS,0.0,Undisclosed
AAPL,136676300.0,INV,2016-12-07,Pending,CNY,0.0,Undisclosed
AAPL,132320770.0,M&A,2016-09-22,Completed,INR,0.0,Undisclosed
AAPL,132258700.0,M&A,2016-09-21,Withdrawn,GBP,1500000000.0,Undisclosed
AAPL,132264104.0,M&A,2016-09-21,Withdrawn,USD,0.0,Undisclosed
AAPL,130717330.0,M&A,2016-08-22,Withdrawn,USD,0.0,Undisclosed
AAPL,130113870.0,M&A,2016-08-05,Completed,USD,200000000.0,Cash
AAPL,129028900.0,INV,2016-07-20,Completed,USD,3250000.0,Cash
AAPL,128118580.0,M&A,2016-06-30,Withdrawn,USD,0.0,Cash
AAPL,127218160.0,INV,2016-05-12,Completed,USD,4500000000.0,Cash
AAPL,122792110.0,M&A,2016-03-22,Withdrawn,GBP,0.0,Undisclosed
AAPL,119797130.0,M&A,2016-01-30,Completed,USD,0.0,Undisclosed
