ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
ADBE,189015400.0,INV,2019-03-13,Completed,USD,1750000.0,Cash
ADBE,185612500.0,M&A,2019-01-23,Completed,EUR,0.0,Undisclosed
ADBE,185009470.0,M&A,2019-01-10,Completed,USD,0.0,Cash
ADBE,179433490.0,INV,2018-10-15,Completed,USD,0.0,Cash
ADBE,177636220.0,M&A,2018-09-20,Completed,USD,4750000000.0,Cash
ADBE,168428450.0,M&A,2018-05-21,Completed,USD,1680000000.0,Cash
ADBE,171266220.0,M&A,2018-04-27,Completed,USD,0.0,Cash
ADBE,164489330.0,M&A,2018-04-16,Completed,USD,0.0,Undisclosed
ADBE,163875570.0,M&A,2018-04-03,Completed,USD,0.0,Cash
ADBE,154187500.0,M&A,2017-09-25,Completed,USD,0.0,Cash
ADBE,147596160.0,M&A,2017-06-21,Completed,USD,0.0,Cash
ADBE,146087730.0,INV,2017-05-25,Completed,USD,65000000.0,Cash
ADBE,134989300.0,M&A,2016-11-10,Completed,USD,444220930.0,Cash
ADBE,125052296.0,M&A,2016-05-03,Completed,USD,0.0,Cash
ADBE,115242450.0,M&A,2015-11-05,Completed,USD,45000000.0,Cash
ADBE,109692420.0,INV,2015-07-15,Completed,USD,30000000.0,Cash
ADBE,107730830.0,M&A,2015-06-02,Completed,USD,0.0,Cash
ADBE,102914130.0,INV,2015-02-19,Completed,USD,32000000.0,Cash
ADBE,99890760.0,M&A,2014-12-11,Completed,USD,800000000.0,Cash
ADBE,98304584.0,INV,2014-11-04,Completed,USD,35000000.0,Cash
ADBE,96459760.0,M&A,2014-09-22,Completed,USD,0.0,Undisclosed
ADBE,89022270.0,INV,2014-03-24,Completed,USD,15000000.0,Cash
ADBE,143541710.0,M&A,2013-06-27,Completed,USD,600000000.0,Cash
ADBE,77506660.0,M&A,2013-05-28,Completed,USD,0.0,Undisclosed
ADBE,75471410.0,INV,2013-03-27,Completed,USD,15000000.0,Cash
ADBE,82944380.0,M&A,2012-12-20,Completed,USD,0.0,Undisclosed
ADBE,65288490.0,INV,2012-06-11,Completed,USD,15300000.0,Cash
ADBE,78780720.0,M&A,2011-11-30,Completed,USD,400000000.0,Cash
ADBE,122601544.0,M&A,2011-10-31,Completed,USD,100000000.0,Cash
ADBE,58698416.0,INV,2011-10-25,Completed,USD,5000000.0,Cash
ADBE,58153144.0,M&A,2011-10-03,Completed,CAD,0.0,Undisclosed
ADBE,58159490.0,M&A,2011-10-03,Completed,USD,0.0,Undisclosed
ADBE,57558950.0,M&A,2011-09-08,Completed,USD,0.0,Cash
ADBE,56235980.0,M&A,2011-07-18,Completed,USD,0.0,Undisclosed
ADBE,55275650.0,INV,2011-06-13,Completed,USD,6500000.0,Cash
ADBE,54455600.0,INV,2011-05-12,Completed,USD,10000000.0,Cash
ADBE,87700730.0,M&A,2011-01-18,Completed,USD,0.0,Undisclosed
ADBE,47043070.0,M&A,2010-07-28,Completed,CHF,191842800.0,Cash
ADBE,39828764.0,M&A,2009-09-15,Completed,USD,1554444000.0,Cash
ADBE,39515884.0,M&A,2009-08-31,Completed,USD,0.0,Undisclosed
ADBE,56030996.0,INV,2008-12-10,Completed,USD,0.0,Cash
ADBE,33407028.0,M&A,2008-09-15,Completed,DKK,0.0,Undisclosed
ADBE,58423844.0,INV,2008-08-25,Completed,USD,8000000.0,Cash
ADBE,67110744.0,INV,2007-12-07,Completed,USD,20000000.0,Cash
ADBE,58602508.0,INV,2007-12-04,Completed,USD,20000000.0,Cash
ADBE,28237476.0,M&A,2007-10-01,Completed,USD,0.0,Undisclosed
ADBE,96276390.0,M&A,2007-05-03,Completed,USD,0.0,Cash
ADBE,25969476.0,INV,2007-03-23,Completed,TWD,1000000.0,Cash
ADBE,24966146.0,M&A,2007-01-31,Completed,USD,0.0,Undisclosed
ADBE,66313504.0,INV,2006-11-02,Completed,USD,100000000.0,Cash
ADBE,23617722.0,M&A,2006-10-18,Completed,USD,0.0,Undisclosed
ADBE,23292908.0,M&A,2006-09-05,Completed,RON,0.0,Undisclosed
ADBE,22238736.0,M&A,2006-06-26,Completed,DKK,0.0,Cash
ADBE,21490308.0,M&A,2006-04-21,Completed,USD,30900000.0,Cash
ADBE,20441046.0,M&A,2006-01-09,Completed,USD,0.0,Cash
ADBE,57187116.0,INV,2005-12-20,Completed,USD,20000000.0,Cash
ADBE,17915668.0,INV,2005-04-29,Completed,USD,4000000.0,Cash
ADBE,17784594.0,M&A,2005-04-18,Completed,USD,3151273000.0,Stock
ADBE,58399264.0,INV,2005-03-01,Completed,USD,10000000.0,Cash
ADBE,16477052.0,M&A,2004-12-07,Completed,EUR,0.0,Undisclosed
ADBE,58602430.0,INV,2004-11-08,Completed,USD,15000000.0,Cash
ADBE,58466800.0,INV,2004-09-22,Completed,USD,7600000.0,Cash
ADBE,14512698.0,M&A,2004-05-03,Completed,USD,0.0,Undisclosed
ADBE,12925303.0,M&A,2003-11-10,Completed,CAD,0.0,Undisclosed
ADBE,11274883.0,M&A,2003-05-19,Completed,USD,0.0,Undisclosed
ADBE,57189490.0,INV,2003-02-26,Completed,USD,5600000.0,Cash
ADBE,58604630.0,INV,2002-04-15,Completed,USD,14000000.0,Cash
ADBE,7708300.0,M&A,2002-02-01,Completed,CAD,101657000.0,Stock
