ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
ADI,189257840.0,INV,2019-03-18,Completed,USD,0.0,Undisclosed
ADI,188993800.0,INV,2019-03-13,Completed,USD,12400000.0,Cash
ADI,173446260.0,M&A,2018-04-30,Completed,USD,0.0,Cash
ADI,164574050.0,INV,2018-04-18,Completed,USD,11500000.0,Cash
ADI,162245920.0,M&A,2018-03-08,Completed,EUR,0.0,Undisclosed
ADI,142939220.0,M&A,2017-03-30,Completed,USD,0.0,Undisclosed
ADI,135462380.0,M&A,2016-11-17,Completed,USD,0.0,Cash
ADI,134119860.0,M&A,2016-10-27,Completed,USD,0.0,Undisclosed
ADI,130555120.0,M&A,2016-08-17,Completed,USD,42000000.0,Cash
ADI,129358990.0,M&A,2016-07-26,Completed,USD,12813776000.0,Cash and Stock
ADI,122594990.0,M&A,2016-03-17,Completed,CHF,0.0,Undisclosed
ADI,114118536.0,M&A,2015-10-14,Withdrawn,USD,10000000000.0,Undisclosed
ADI,92247400.0,M&A,2014-06-09,Completed,USD,1956022900.0,Cash
ADI,82568030.0,M&A,2013-10-14,Completed,USD,100000000.0,Cash
ADI,62994104.0,M&A,2012-03-30,Completed,USD,0.0,Cash
ADI,55265680.0,M&A,2011-06-13,Completed,USD,0.0,Undisclosed
ADI,28812698.0,M&A,2007-11-08,Completed,USD,185000000.0,Cash
ADI,27970144.0,M&A,2007-09-10,Completed,USD,350000000.0,Cash
ADI,23272984.0,M&A,2006-09-18,Completed,USD,19000000.0,Cash
ADI,22062080.0,M&A,2006-06-07,Completed,USD,127000000.0,Cash
ADI,20494852.0,M&A,2006-01-12,Completed,USD,31000000.0,Cash
ADI,6110893.0,M&A,2000-12-12,Completed,USD,0.0,Undisclosed
ADI,6085303.0,M&A,2000-11-20,Completed,USD,79953750.0,Stock
ADI,5710089.0,M&A,2000-06-30,Completed,GBP,96881990.0,Cash
ADI,4373783.0,M&A,1999-02-17,Completed,USD,0.0,Cash and Stock
ADI,4373777.0,M&A,1999-02-17,Completed,USD,0.0,Cash and Stock
ADI,2128444.0,M&A,1998-03-24,Completed,,40000000.0,
