ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
ADP,175982530.0,M&A,2018-08-15,Completed,USD,0.0,Cash
ADP,160801600.0,M&A,2018-01-22,Completed,USD,0.0,Cash
ADP,153363870.0,M&A,2017-10-05,Completed,USD,490000000.0,Cash
ADP,150060350.0,INV,2017-08-04,Completed,USD,0.0,Undisclosed
ADP,138791970.0,M&A,2017-01-17,Completed,USD,0.0,Undisclosed
ADP,134471000.0,M&A,2016-11-01,Completed,USD,235000000.0,Cash
ADP,110829210.0,M&A,2015-08-06,Completed,USD,0.0,Cash
ADP,108877400.0,M&A,2015-06-29,Completed,USD,0.0,Cash
ADP,100090820.0,M&A,2014-08-07,Completed,EUR,0.0,Undisclosed
ADP,89841450.0,SPIN,2014-04-10,Completed,USD,4969300000.0,
ADP,88539544.0,M&A,2014-03-03,Completed,CAD,32000000.0,Cash
ADP,77779520.0,M&A,2013-06-04,Completed,CLP,0.0,Undisclosed
ADP,70528970.0,M&A,2012-11-06,Completed,USD,0.0,Cash
ADP,62333770.0,M&A,2012-03-08,Completed,USD,0.0,Cash
ADP,61269068.0,M&A,2012-01-31,Completed,USD,0.0,Undisclosed
ADP,60832190.0,M&A,2012-01-16,Completed,EUR,0.0,Cash
ADP,58432996.0,M&A,2011-10-13,Completed,USD,0.0,Undisclosed
ADP,58334344.0,M&A,2011-10-10,Completed,USD,0.0,Undisclosed
ADP,57697572.0,M&A,2011-09-14,Completed,USD,0.0,Undisclosed
ADP,53010336.0,M&A,2011-03-15,Completed,EUR,0.0,Undisclosed
ADP,52871920.0,M&A,2011-03-01,Completed,USD,0.0,Undisclosed
ADP,48785228.0,M&A,2010-10-07,Completed,USD,0.0,Undisclosed
ADP,46636904.0,M&A,2010-07-09,Completed,USD,400000000.0,Cash
ADP,46693430.0,M&A,2010-07-01,Completed,USD,0.0,Undisclosed
ADP,43051680.0,M&A,2010-02-11,Completed,GBP,15600000.0,Cash
ADP,42197852.0,M&A,2010-01-05,Completed,CAD,0.0,Undisclosed
ADP,41049550.0,M&A,2009-11-12,Completed,USD,0.0,Undisclosed
ADP,35482384.0,M&A,2009-01-24,Completed,EUR,0.0,Undisclosed
ADP,36159864.0,JV,2009-01-21,Completed,USD,0.0,Undisclosed
ADP,31098308.0,M&A,2008-04-09,Completed,USD,0.0,Cash
ADP,30188896.0,M&A,2008-01-24,Completed,JPY,2700000000.0,Cash
ADP,28182664.0,M&A,2007-09-20,Completed,EUR,0.0,Cash
ADP,27768104.0,M&A,2007-07-02,Completed,EUR,0.0,Undisclosed
ADP,25270616.0,M&A,2007-02-22,Completed,USD,0.0,Cash
ADP,24546794.0,M&A,2006-12-26,Completed,USD,11700000.0,Cash
ADP,23735848.0,M&A,2006-10-30,Completed,USD,125000000.0,Cash
ADP,23530630.0,M&A,2006-10-10,Completed,USD,0.0,Undisclosed
ADP,22832252.0,M&A,2006-08-17,Completed,USD,0.0,Undisclosed
ADP,22669976.0,SPIN,2006-08-02,Completed,USD,2897293000.0,
ADP,22507516.0,M&A,2006-07-19,Completed,USD,0.0,Undisclosed
ADP,20751466.0,M&A,2006-02-09,Completed,USD,975000000.0,Cash
ADP,20541832.0,M&A,2006-01-19,Completed,EUR,0.0,Undisclosed
