ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
ALXN,186569700.0,INV,2019-02-01,Completed,USD,0.0,Undisclosed
ALXN,178359710.0,M&A,2018-09-26,Completed,USD,1200000000.0,Cash
ALXN,169849540.0,M&A,2018-06-11,Pending,USD,0.0,Cash
ALXN,164232620.0,M&A,2018-04-11,Completed,SEK,6095111700.0,Cash
ALXN,137289940.0,M&A,2016-12-20,Withdrawn,USD,26275099000.0,Undisclosed
ALXN,106516960.0,M&A,2015-05-06,Completed,USD,7940648000.0,Cash and Stock
ALXN,103609576.0,M&A,2015-03-03,Completed,USD,15000000.0,Cash
ALXN,101045680.0,INV,2015-01-05,Completed,USD,450000000.0,Cash
ALXN,60363908.0,M&A,2011-12-28,Completed,USD,610000000.0,Cash
ALXN,55757150.0,M&A,2011-06-28,Completed,USD,3000000.0,Cash
ALXN,51682290.0,M&A,2011-01-31,Completed,USD,111000000.0,Cash
ALXN,30250748.0,M&A,2008-02-14,Completed,USD,10000000.0,Cash
ALXN,22453450.0,M&A,2006-07-13,Completed,USD,0.0,Cash
ALXN,5996266.0,INV,2000-10-27,Completed,USD,209000000.0,Cash
ALXN,5921405.0,M&A,2000-09-25,Completed,USD,41000000.0,Stock
