ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
AMAT,186499360.0,M&A,2019-07-01,Pending,USD,2200000000.0,Cash
AMAT,192596450.0,M&A,2019-05-08,Completed,USD,0.0,Cash
AMAT,195963200.0,INV,2019-02-11,Completed,USD,2000000.0,Cash
AMAT,147141680.0,M&A,2017-03-22,Completed,KRW,0.0,Undisclosed
AMAT,132696920.0,M&A,2016-09-15,Completed,EUR,0.0,Undisclosed
AMAT,127895416.0,M&A,2016-06-28,Completed,TWD,2060000000.0,Cash
AMAT,114270530.0,JV,2015-10-19,Pending,SGD,150000000.0,Undisclosed
AMAT,81912970.0,M&A,2013-09-27,Completed,USD,0.0,Undisclosed
AMAT,81770210.0,M&A,2013-09-24,Terminated,JPY,671782500000.0,Stock
AMAT,72424210.0,INV,2012-12-28,Completed,CNY,0.0,Cash
AMAT,72387680.0,INV,2012-12-27,Completed,USD,0.0,Cash
AMAT,63994310.0,INV,2012-05-02,Completed,USD,10000000.0,Cash
AMAT,65720690.0,INV,2012-04-04,Completed,KRW,5100000.0,Cash
AMAT,64746650.0,INV,2012-03-18,Completed,USD,13500000.0,Cash
AMAT,61142570.0,INV,2012-01-26,Completed,USD,3250000.0,Cash
AMAT,57290930.0,INV,2011-08-29,Completed,USD,6500000.0,Cash
AMAT,56507990.0,M&A,2011-07-28,Completed,USD,0.0,Undisclosed
AMAT,54217000.0,M&A,2011-05-04,Completed,USD,4572389400.0,Cash
AMAT,53428250.0,M&A,2011-04-05,Completed,USD,0.0,Cash
AMAT,60589496.0,INV,2010-08-17,Completed,USD,20000000.0,Cash
AMAT,59628290.0,INV,2010-06-03,Completed,USD,63000000.0,Cash
AMAT,61656970.0,INV,2010-04-07,Completed,INR,0.0,Cash
AMAT,41134096.0,M&A,2009-11-17,Completed,USD,346085800.0,Cash
AMAT,40951020.0,M&A,2009-11-06,Completed,USD,0.0,Undisclosed
AMAT,61655012.0,INV,2009-08-25,Completed,SGD,0.0,Cash
AMAT,38151150.0,INV,2009-06-23,Completed,USD,0.0,Undisclosed
AMAT,58261776.0,INV,2009-02-24,Completed,USD,20000000.0,Cash
AMAT,60589584.0,INV,2008-12-03,Completed,USD,13000000.0,Cash
AMAT,59130588.0,INV,2008-07-16,Completed,USD,9500000.0,Cash
AMAT,32055488.0,M&A,2008-06-06,Terminated,USD,800000000.0,Cash
AMAT,59907044.0,INV,2008-05-23,Completed,USD,131000000.0,Cash
AMAT,28939352.0,M&A,2007-11-19,Completed,EUR,225000000.0,Cash
AMAT,28828572.0,M&A,2007-11-09,Completed,GBP,0.0,Cash
AMAT,59833324.0,INV,2007-11-07,Completed,USD,0.0,Undisclosed
AMAT,27811292.0,M&A,2007-08-28,Completed,EUR,0.0,Cash
AMAT,59903936.0,INV,2007-07-17,Completed,USD,16000000.0,Cash
AMAT,26963074.0,M&A,2007-06-26,Completed,CHF,583000000.0,Cash
AMAT,58658840.0,INV,2007-05-08,Completed,USD,27100000.0,Cash
AMAT,53403290.0,M&A,2007-05-01,Completed,USD,0.0,Cash
AMAT,26055544.0,M&A,2007-04-19,Completed,USD,15750000.0,Cash
AMAT,58658784.0,INV,2006-11-20,Completed,USD,3000000.0,Cash
AMAT,23825540.0,M&A,2006-11-06,Completed,USD,125000000.0,Cash
AMAT,58204064.0,INV,2006-09-06,Completed,USD,34700000.0,Cash
AMAT,21775704.0,INV,2006-05-15,Completed,JPY,16614961000.0,Cash
AMAT,21715946.0,M&A,2006-05-10,Completed,USD,9280000.0,Cash
AMAT,21652156.0,M&A,2006-05-04,Completed,USD,289833800.0,Cash
AMAT,69517820.0,INV,2005-07-29,Completed,USD,10000000.0,Cash
AMAT,18542600.0,M&A,2005-06-28,Completed,USD,24000000.0,Cash
AMAT,57190760.0,INV,2005-01-31,Completed,USD,12200000.0,Cash
AMAT,16577496.0,M&A,2004-12-16,Completed,USD,16000000.0,Cash
AMAT,83962170.0,INV,2004-10-19,Completed,USD,52000000.0,Cash
AMAT,16572628.0,M&A,2004-08-16,Completed,USD,84567000.0,Cash
AMAT,14917049.0,M&A,2004-06-14,Completed,USD,7000000.0,Cash
AMAT,17491474.0,M&A,2004-04-30,Completed,TWD,1668449900.0,Cash
AMAT,11684858.0,M&A,2003-04-29,Completed,USD,0.0,Undisclosed
AMAT,7433058.0,M&A,2001-12-04,Completed,USD,0.0,Undisclosed
AMAT,7392030.0,M&A,2001-11-26,Completed,USD,0.0,Cash
AMAT,6677809.0,M&A,2001-05-29,Completed,ILS,0.0,Cash
AMAT,5665661.0,M&A,2000-06-13,Completed,USD,0.0,Undisclosed
AMAT,5665293.0,INV,2000-06-13,Completed,CAD,2190600.0,Cash
AMAT,5162665.0,M&A,2000-01-13,Completed,USD,1676204000.0,Stock
AMAT,4846075.0,M&A,1999-09-28,Completed,JPY,9032000000.0,Cash
AMAT,4628757.0,M&A,1999-05-28,Completed,USD,149128910.0,Stock
AMAT,4663182.0,M&A,1999-03-31,Completed,USD,0.0,Undisclosed
AMAT,2478057.0,M&A,1998-10-12,Completed,USD,56327200.0,Stock
AMAT,5993296.0,M&A,1997-01-09,Completed,USD,161690000.0,Cash
