ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
AMD,190547820.0,M&A,2019-04-03,Completed,USD,0.0,Cash
AMD,143631780.0,M&A,2017-04-10,Completed,USD,0.0,Cash
AMD,127976670.0,M&A,2016-06-29,Completed,USD,0.0,Undisclosed
AMD,128790450.0,JV,2016-04-21,Pending,USD,0.0,Undisclosed
AMD,114493360.0,M&A,2015-10-16,Completed,USD,370600000.0,Cash
AMD,114178310.0,JV,2015-10-15,Completed,USD,501000000.0,Cash
AMD,109077850.0,INV,2015-06-29,Withdrawn,USD,0.0,Undisclosed
AMD,108744930.0,INV,2015-06-25,Completed,USD,30000000.0,Cash
AMD,104833640.0,INV,2015-03-31,Completed,USD,14000000.0,Cash
AMD,93396130.0,INV,2014-07-07,Completed,USD,16000000.0,Cash
AMD,81914410.0,M&A,2013-08-23,Completed,USD,67200000.0,Cash
AMD,74939790.0,M&A,2013-03-12,Completed,USD,0.0,Cash
AMD,62083028.0,M&A,2012-02-29,Completed,USD,334000000.0,Cash
AMD,60673840.0,INV,2012-01-08,Completed,USD,1500000.0,Cash
AMD,58599188.0,INV,2011-10-20,Completed,USD,3400000.0,Cash
AMD,50815484.0,M&A,2010-07-01,Completed,ILS,0.0,Undisclosed
AMD,35403960.0,M&A,2009-01-20,Completed,USD,65000000.0,Cash
AMD,33754984.0,INV,2008-10-07,Completed,USD,314000000.0,Cash
AMD,33755980.0,JV,2008-10-07,Completed,USD,2100000000.0,Undisclosed
AMD,33103878.0,M&A,2008-08-25,Completed,USD,192800000.0,Cash
AMD,24871856.0,M&A,2007-01-24,Completed,USD,0.0,Cash
AMD,22542592.0,M&A,2006-07-24,Completed,USD,5028284400.0,Cash or Stock
AMD,22411244.0,M&A,2006-07-10,Completed,USD,0.0,Cash
AMD,67697680.0,M&A,2003-08-06,Completed,USD,0.0,Undisclosed
AMD,12053207.0,M&A,2003-08-06,Completed,USD,0.0,Undisclosed
AMD,13191227.0,JV,2003-03-31,Completed,USD,0.0,Undisclosed
AMD,66839840.0,INV,2002-12-10,Completed,USD,25000000.0,Cash
AMD,7729109.0,M&A,2002-02-06,Completed,USD,0.0,Undisclosed
AMD,66839890.0,INV,2001-11-18,Completed,USD,27900000.0,Cash
AMD,58396484.0,INV,2001-04-09,Completed,USD,34000000.0,Cash
AMD,5665661.0,M&A,2000-06-13,Completed,USD,0.0,Undisclosed
AMD,5609035.0,M&A,2000-05-22,Completed,USD,375000000.0,Cash
AMD,4508616.0,M&A,1999-04-21,Completed,USD,500000000.0,Cash
AMD,4374473.0,M&A,1999-02-17,Completed,,0.0,
AMD,4333626.0,M&A,1999-01-28,Completed,USD,95000000.0,Undisclosed
AMD,5684686.0,M&A,1995-10-20,Completed,USD,750272000.0,Stock
AMD,67450860.0,INV,1992-12-31,Completed,USD,10000000.0,Cash
