ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
AMTD,191241660.0,M&A,2019-04-17,Completed,USD,0.0,Cash
AMTD,185273740.0,INV,2019-01-16,Completed,USD,30000000.0,Cash
AMTD,132597200.0,M&A,2016-10-24,Completed,USD,2673321000.0,Cash and Stock
AMTD,133893170.0,INV,2016-10-24,Completed,USD,400000000.0,Stock
AMTD,120156500.0,M&A,2016-02-04,Completed,USD,0.0,Undisclosed
AMTD,55824184.0,M&A,2011-06-30,Completed,USD,0.0,Undisclosed
AMTD,48685850.0,M&A,2010-10-04,Completed,USD,0.0,Cash
AMTD,42886748.0,M&A,2010-01-27,Completed,USD,0.0,Cash
AMTD,39701304.0,INV,2009-09-09,Completed,USD,0.0,Undisclosed
AMTD,42100264.0,M&A,2009-08-31,Completed,GBP,0.0,Cash
AMTD,42100070.0,M&A,2009-04-30,Completed,USD,0.0,Undisclosed
AMTD,35747640.0,INV,2009-02-06,Completed,USD,515000000.0,Cash
AMTD,35204704.0,M&A,2009-01-08,Completed,USD,615940700.0,Cash and Stock
AMTD,32587246.0,M&A,2008-07-15,Completed,USD,5777180.0,Cash
AMTD,32612592.0,M&A,2007-05-24,Completed,USD,225000000.0,Cash
AMTD,18472024.0,M&A,2005-06-22,Completed,USD,60000000.0,Cash
AMTD,20592784.0,INV,2005-06-22,Completed,USD,479249600.0,Cash
AMTD,18471948.0,M&A,2005-06-22,Completed,CAD,3517982000.0,Cash and Stock
AMTD,18054074.0,M&A,2005-05-12,Terminated,USD,0.0,Cash and Stock
AMTD,14865497.0,M&A,2004-06-07,Completed,USD,25870000.0,Cash
AMTD,12852511.0,M&A,2003-11-06,Completed,USD,0.0,Undisclosed
AMTD,12552067.0,M&A,2003-10-02,Completed,USD,0.0,Undisclosed
AMTD,11024583.0,M&A,2003-04-22,Completed,USD,4200000.0,Undisclosed
AMTD,9949310.0,M&A,2003-01-07,Completed,USD,23500000.0,Cash
AMTD,64778628.0,M&A,2002-04-08,Completed,USD,0.0,Cash
AMTD,7971703.0,M&A,2002-04-08,Completed,USD,1289000000.0,Stock
AMTD,6956417.0,M&A,2001-07-31,Completed,EUR,190832000.0,Stock
AMTD,6282329.0,M&A,2001-02-14,Completed,USD,72996000.0,Stock
AMTD,5824291.0,M&A,2000-06-30,Completed,USD,0.0,Cash or Stock
AMTD,5671886.0,M&A,2000-06-15,Completed,USD,0.0,Undisclosed
AMTD,4756788.0,M&A,1999-08-09,Completed,USD,0.0,Undisclosed
AMTD,732022.0,M&A,1998-03-13,Completed,USD,0.0,Undisclosed
