ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
AMZN,198368020.0,INV,2019-08-01,Proposed,INR,0.0,Undisclosed
AMZN,198270620.0,M&A,2019-07-31,Pending,USD,60000000.0,Cash
AMZN,195523150.0,M&A,2019-06-18,Completed,USD,0.0,Undisclosed
AMZN,181832060.0,INV,2019-05-17,Pending,USD,575000000.0,Cash
AMZN,193318500.0,M&A,2019-05-16,Proposed,USD,0.0,Cash
AMZN,190908770.0,M&A,2019-04-10,Completed,USD,0.0,Undisclosed
AMZN,187906660.0,M&A,2019-03-19,Completed,USD,110000000.0,Cash
AMZN,188996880.0,INV,2019-03-13,Completed,USD,65000000.0,Cash
AMZN,188017420.0,INV,2019-02-27,Proposed,INR,0.0,Undisclosed
AMZN,187704960.0,M&A,2019-02-21,Proposed,USD,0.0,Stock
AMZN,187549500.0,INV,2019-02-20,Completed,USD,40000000.0,Cash
AMZN,187122020.0,INV,2019-02-15,Completed,USD,700000000.0,Cash
AMZN,190771540.0,M&A,2019-02-11,Completed,USD,97000000.0,Cash
AMZN,184841890.0,INV,2019-02-07,Completed,USD,600000000.0,Cash
AMZN,186797840.0,INV,2019-02-07,Completed,USD,0.0,Cash
AMZN,186687650.0,INV,2019-02-05,Completed,USD,0.0,Cash
AMZN,185208300.0,M&A,2019-01-15,Completed,CAD,0.0,Undisclosed
AMZN,184765950.0,M&A,2019-01-07,Completed,USD,200000000.0,Cash
AMZN,184014740.0,M&A,2018-12-26,Completed,USD,78000000.0,Cash
AMZN,183241300.0,INV,2018-12-17,Proposed,USD,100000000.0,Cash
AMZN,182879550.0,M&A,2018-12-11,Proposed,GBP,0.0,Undisclosed
AMZN,194866180.0,INV,2018-12-04,Withdrawn,INR,0.0,Cash
AMZN,179919400.0,INV,2018-10-24,Completed,USD,25000000.0,Cash
AMZN,179909760.0,M&A,2018-10-24,Completed,GBP,2765000.0,Cash
AMZN,179855340.0,INV,2018-10-23,Pending,USD,10000000.0,Cash
AMZN,179563840.0,INV,2018-10-17,Completed,USD,35000000.0,Cash
AMZN,179501010.0,M&A,2018-10-16,Withdrawn,EUR,400000000.0,Cash
AMZN,178275790.0,INV,2018-09-25,Completed,USD,6700000.0,Cash
AMZN,178106460.0,INV,2018-09-21,Pending,INR,0.0,Cash
AMZN,176653380.0,M&A,2018-08-28,Completed,USD,40000000.0,Cash and Stock
AMZN,174965250.0,INV,2018-07-30,Completed,USD,16880000.0,Cash
AMZN,163776830.0,M&A,2018-06-28,Completed,USD,1000000000.0,Cash
AMZN,168799410.0,INV,2018-05-30,Completed,INR,10000000.0,Cash
AMZN,158512420.0,INV,2018-05-28,Completed,USD,12000000.0,Cash
AMZN,168602430.0,M&A,2018-05-24,Withdrawn,USD,0.0,Cash
AMZN,166684270.0,INV,2018-05-10,Proposed,INR,20000000000.0,Undisclosed
AMZN,165502750.0,M&A,2018-05-02,Withdrawn,INR,0.0,Undisclosed
AMZN,157466640.0,INV,2018-04-24,Completed,USD,22000000.0,Cash
AMZN,162818770.0,M&A,2018-03-19,Proposed,USD,0.0,Cash
AMZN,162033120.0,M&A,2018-03-05,Completed,EUR,0.0,Undisclosed
AMZN,164388640.0,M&A,2018-02-27,Completed,USD,0.0,Cash
AMZN,160061950.0,JV,2018-01-30,Pending,USD,0.0,Undisclosed
AMZN,160090530.0,M&A,2018-01-09,Completed,USD,0.0,Cash
AMZN,158108240.0,M&A,2017-12-26,Withdrawn,ILS,0.0,Cash
AMZN,157903840.0,M&A,2017-12-22,Completed,USD,0.0,Undisclosed
AMZN,190708460.0,M&A,2017-12-22,Completed,USD,0.0,Cash
AMZN,157465260.0,M&A,2017-12-17,Completed,USD,0.0,Cash
AMZN,156305280.0,INV,2017-11-30,Completed,CAD,30000000.0,Cash
AMZN,155476380.0,M&A,2017-11-14,Pending,CNY,2000000000.0,Cash
AMZN,159541310.0,M&A,2017-11-08,Completed,USD,0.0,Cash
AMZN,154206940.0,M&A,2017-10-03,Completed,USD,0.0,Cash
AMZN,152561970.0,JV,2017-09-25,Completed,USD,0.0,Undisclosed
AMZN,152116830.0,M&A,2017-09-15,Proposed,EUR,380476000.0,Undisclosed
AMZN,151654190.0,M&A,2017-09-06,Completed,AED,0.0,Undisclosed
AMZN,151141660.0,M&A,2017-08-29,Proposed,INR,0.0,Cash
AMZN,165053140.0,M&A,2017-07-20,Completed,USD,0.0,Cash
AMZN,157505840.0,M&A,2017-07-20,Completed,USD,50000000.0,Undisclosed
AMZN,147833500.0,INV,2017-06-27,Completed,USD,15000000.0,Cash
AMZN,147314160.0,M&A,2017-06-16,Completed,USD,13605361000.0,Cash
AMZN,147083150.0,M&A,2017-06-13,Withdrawn,INR,0.0,Undisclosed
AMZN,146941280.0,M&A,2017-06-08,Withdrawn,USD,29804200000.0,Undisclosed
AMZN,150259500.0,INV,2017-06-07,Completed,USD,300000000.0,Cash
AMZN,143873230.0,M&A,2017-04-15,Withdrawn,USD,4000000000.0,Cash
AMZN,143412020.0,INV,2017-04-05,Pending,USD,0.0,Stock
AMZN,131596380.0,M&A,2017-03-28,Completed,USD,0.0,Cash
AMZN,141540930.0,M&A,2017-03-07,Completed,USD,0.0,Undisclosed
AMZN,138325170.0,INV,2017-03-01,Completed,USD,900000000.0,Cash
AMZN,138435760.0,M&A,2017-01-09,Completed,USD,20000000.0,Cash
AMZN,134185010.0,M&A,2016-10-28,Completed,INR,398000000.0,Undisclosed
AMZN,134064560.0,M&A,2016-10-26,Completed,USD,0.0,Cash
AMZN,130496030.0,M&A,2016-08-16,Completed,USD,0.0,Cash
AMZN,129244470.0,INV,2016-07-25,Completed,USD,10000000.0,Cash
AMZN,128784000.0,M&A,2016-07-14,Completed,USD,0.0,Cash
AMZN,126478390.0,INV,2016-06-01,Completed,USD,45000000.0,Cash
AMZN,124952550.0,INV,2016-05-02,Proposed,USD,500000.0,Cash
AMZN,123738104.0,INV,2016-04-07,Completed,USD,12500000.0,Cash
AMZN,122577150.0,M&A,2016-03-17,Terminated,USD,0.0,Cash
AMZN,122516024.0,M&A,2016-03-16,Withdrawn,INR,0.0,Undisclosed
AMZN,132525624.0,M&A,2016-02-24,Pending,EUR,140000000.0,Cash
AMZN,120774460.0,M&A,2016-02-18,Withdrawn,GBP,0.0,Cash
AMZN,120671100.0,M&A,2016-02-16,Completed,INR,0.0,Undisclosed
AMZN,120639190.0,M&A,2016-02-12,Pending,EUR,0.0,Undisclosed
AMZN,120504000.0,INV,2016-02-11,Completed,INR,95000000.0,Cash
AMZN,154576690.0,INV,2016-01-30,Pending,USD,0.0,Cash
AMZN,117363070.0,INV,2015-12-15,Completed,INR,1500000000.0,Cash
AMZN,114599370.0,INV,2015-10-26,Completed,USD,4000000.0,Cash
AMZN,114182850.0,M&A,2015-10-15,Terminated,EUR,0.0,Undisclosed
AMZN,112055480.0,M&A,2015-09-04,Completed,USD,0.0,Cash
AMZN,113111470.0,M&A,2015-09-02,Pending,USD,0.0,Undisclosed
AMZN,111112850.0,INV,2015-08-13,Completed,USD,8000000.0,Cash
AMZN,110257350.0,INV,2015-07-29,Completed,USD,130000000.0,Cash
AMZN,109699570.0,M&A,2015-07-14,Completed,USD,0.0,Cash
AMZN,109138670.0,INV,2015-07-02,Completed,INR,3750000000.0,Cash
AMZN,108903730.0,INV,2015-06-29,Completed,CAD,0.0,Cash
AMZN,105421360.0,M&A,2015-04-13,Completed,USD,0.0,Undisclosed
AMZN,197749280.0,M&A,2015-04-13,Completed,USD,0.0,Cash
AMZN,104587350.0,M&A,2015-03-26,Withdrawn,EUR,2000000000.0,Undisclosed
AMZN,152293890.0,M&A,2015-03-18,Completed,USD,0.0,Undisclosed
AMZN,103973760.0,M&A,2015-03-12,Completed,USD,0.0,Undisclosed
AMZN,101677100.0,M&A,2015-01-23,Completed,USD,370000000.0,Undisclosed
AMZN,101406376.0,M&A,2015-01-14,Withdrawn,EUR,0.0,Undisclosed
AMZN,97971320.0,INV,2014-12-26,Completed,USD,10000000.0,Cash
AMZN,99768330.0,M&A,2014-12-09,Completed,USD,0.0,Undisclosed
AMZN,99237380.0,M&A,2014-11-26,Withdrawn,USD,1200000000.0,Undisclosed
AMZN,136835500.0,JV,2014-10-06,Completed,USD,0.0,Undisclosed
AMZN,95499140.0,INV,2014-08-27,Completed,USD,15000000.0,Cash
AMZN,95343470.0,M&A,2014-08-25,Completed,USD,970000000.0,Cash
AMZN,94989020.0,INV,2014-08-14,Completed,USD,0.0,Cash
AMZN,99268960.0,INV,2014-04-30,Completed,EUR,0.0,Undisclosed
AMZN,89850400.0,M&A,2014-04-10,Completed,USD,0.0,Undisclosed
AMZN,87129976.0,M&A,2014-02-06,Completed,USD,0.0,Undisclosed
AMZN,85672424.0,M&A,2013-12-20,Completed,USD,0.0,Cash
AMZN,82462120.0,M&A,2013-10-10,Completed,USD,0.0,Undisclosed
AMZN,81291704.0,INV,2013-09-10,Completed,USD,4700000.0,Cash
