ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
ASML,185900820.0,M&A,2019-01-28,Completed,USD,0.0,Cash
ASML,151239420.0,M&A,2017-07-06,Completed,EUR,0.0,Undisclosed
ASML,134645170.0,INV,2016-11-03,Completed,EUR,1000000000.0,Cash
ASML,127244140.0,M&A,2016-06-16,Completed,TWD,89031110000.0,Cash
ASML,69880570.0,M&A,2012-10-17,Completed,USD,2345625900.0,Cash and Stock
ASML,68079790.0,INV,2012-08-27,Completed,EUR,503000000.0,Cash
ASML,67185010.0,INV,2012-08-05,Completed,EUR,838110000.0,Cash
ASML,66221800.0,INV,2012-07-09,Completed,EUR,2500000000.0,Cash
ASML,113152990.0,M&A,2006-12-19,Completed,USD,270000000.0,Cash
ASML,12714111.0,M&A,2003-10-16,Completed,USD,0.0,Undisclosed
ASML,11748003.0,M&A,2003-07-03,Completed,EUR,0.0,Undisclosed
ASML,7514343.0,M&A,2001-12-18,Completed,USD,0.0,Undisclosed
ASML,5936323.0,M&A,2000-10-02,Completed,USD,1530318000.0,Stock
ASML,4599919.0,M&A,1999-06-01,Completed,USD,0.0,Undisclosed
