ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
ATVI,193523000.0,M&A,2019-05-02,Completed,USD,0.0,Cash
ATVI,177726500.0,M&A,2018-09-07,Completed,EUR,0.0,Undisclosed
ATVI,139365170.0,M&A,2017-01-27,Completed,USD,0.0,Cash
ATVI,118558890.0,M&A,2016-01-01,Completed,USD,46000000.0,Cash
ATVI,115060210.0,M&A,2015-11-02,Completed,USD,4880522000.0,Cash
ATVI,102350320.0,INV,2015-02-06,Withdrawn,USD,0.0,Cash
ATVI,79870320.0,INV,2013-07-26,Completed,USD,2339200000.0,Cash
ATVI,79870210.0,INV,2013-07-26,Completed,USD,5830000000.0,Cash
ATVI,34374990.0,M&A,2008-11-20,Completed,USD,0.0,Undisclosed
ATVI,34229416.0,M&A,2008-11-11,Completed,USD,0.0,Cash
ATVI,34214556.0,M&A,2008-11-10,Completed,USD,0.0,Undisclosed
ATVI,34806916.0,M&A,2008-10-10,Completed,USD,0.0,Undisclosed
ATVI,29143736.0,M&A,2007-12-02,Completed,USD,6215031000.0,Stock
ATVI,29125824.0,BUY,2007-12-02,Completed,USD,2362690.0,
ATVI,29123312.0,M&A,2007-12-02,Completed,USD,1750678900.0,Cash
ATVI,28178540.0,M&A,2007-09-26,Completed,GBP,0.0,Undisclosed
ATVI,25427764.0,M&A,2007-03-06,Completed,,0.0,Undisclosed
ATVI,21691384.0,M&A,2006-05-09,Completed,USD,0.0,Cash and Stock
ATVI,18188240.0,M&A,2005-05-25,Completed,USD,0.0,Undisclosed
ATVI,17953910.0,M&A,2005-05-03,Completed,USD,0.0,Undisclosed
ATVI,16902176.0,M&A,2005-01-20,Completed,USD,0.0,Undisclosed
ATVI,12756694.0,M&A,2003-10-30,Completed,USD,0.0,Undisclosed
ATVI,9222871.0,M&A,2002-10-11,Completed,USD,0.0,Undisclosed
ATVI,8152955.0,M&A,2002-05-22,Completed,USD,19438500.0,Cash and Stock
ATVI,7948403.0,M&A,2002-04-02,Completed,USD,7715310.5,Stock
ATVI,7629175.0,M&A,2002-01-14,Completed,USD,3457824.8,Stock
ATVI,7204054.0,M&A,2001-10-03,Completed,USD,16491144.0,Stock
ATVI,6010789.0,M&A,2000-11-02,Completed,JPY,0.0,Undisclosed
ATVI,5305513.0,M&A,2000-03-16,Completed,JPY,0.0,Undisclosed
ATVI,4856513.0,M&A,1999-10-04,Completed,USD,11593750.0,Stock
ATVI,4694602.0,M&A,1999-06-29,Completed,USD,2754000.0,Stock
ATVI,4406313.0,M&A,1999-03-04,Completed,USD,21549400.0,Cash
ATVI,2120264.0,M&A,1998-07-01,Completed,USD,0.0,Stock
ATVI,1971214.0,M&A,1998-05-11,Completed,USD,0.0,Undisclosed
ATVI,892568.0,M&A,1998-04-24,Completed,,0.0,Undisclosed
ATVI,37059.0,M&A,1997-08-07,Completed,USD,1039999.94,Stock
