ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
AVGO,198908820.0,M&A,2019-08-08,Pending,USD,10700000000.0,Cash
AVGO,196644900.0,M&A,2019-07-02,Proposed,USD,20954814000.0,Cash
AVGO,180718780.0,M&A,2018-11-05,Completed,USD,950000000.0,Cash
AVGO,174011250.0,M&A,2018-07-11,Completed,USD,18128000000.0,Cash
AVGO,163890620.0,M&A,2018-03-09,Withdrawn,USD,104173400000.0,Undisclosed
AVGO,154991120.0,M&A,2017-11-03,Withdrawn,USD,100244550000.0,Cash and Stock
AVGO,163890750.0,M&A,2017-05-31,Completed,USD,0.0,Undisclosed
AVGO,134278420.0,M&A,2016-11-02,Completed,USD,5551408000.0,Cash
AVGO,125690616.0,M&A,2016-05-16,Completed,USD,60000000.0,Cash
AVGO,163902110.0,M&A,2016-05-12,Pending,USD,30148728.0,Cash and Stock
AVGO,163904420.0,M&A,2016-05-09,Completed,USD,80000000.0,Cash
AVGO,163890640.0,M&A,2016-04-28,Completed,USD,550000000.0,Cash
AVGO,180833420.0,INV,2014-10-29,Completed,USD,5000000.0,Cash
