ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
BIDU,199060370.0,INV,2019-08-12,Completed,USD,434000000.0,Cash
BIDU,198848420.0,INV,2019-08-08,Pending,USD,177000000.0,Cash
BIDU,189923890.0,M&A,2019-03-25,Completed,USD,0.0,Cash
BIDU,188917090.0,INV,2019-03-12,Completed,USD,150000000.0,Cash
BIDU,181302720.0,INV,2018-11-14,Completed,CNY,2100000000.0,Cash
BIDU,180258670.0,INV,2018-11-12,Completed,USD,600000000.0,Cash
BIDU,179976080.0,INV,2018-10-25,Completed,CNY,3000000000.0,Cash
BIDU,177270480.0,INV,2018-09-05,Completed,USD,100000000.0,Cash
BIDU,184019230.0,INV,2018-06-29,Completed,USD,5000000.0,Cash
BIDU,199216620.0,INV,2018-06-19,Completed,USD,40000000.0,Cash
BIDU,168428480.0,M&A,2018-05-22,Pending,CNY,0.0,Cash
BIDU,167441970.0,M&A,2018-05-14,Completed,USD,200000000.0,Cash
BIDU,159672370.0,M&A,2018-04-30,Completed,USD,1900000000.0,Cash
BIDU,164515840.0,INV,2018-04-17,Completed,CNY,616000000.0,Cash
BIDU,161506510.0,M&A,2018-04-01,Completed,USD,0.0,Cash
BIDU,160543170.0,INV,2018-02-07,Completed,CNY,343000000.0,Cash
BIDU,158932130.0,JV,2018-01-09,Completed,USD,0.0,Undisclosed
BIDU,157171250.0,INV,2017-12-13,Completed,CNY,300000000.0,Cash
BIDU,155823200.0,INV,2017-11-21,Completed,CNY,700000000.0,Cash
BIDU,155257180.0,INV,2017-11-09,Completed,USD,140000000.0,Cash
BIDU,154106580.0,M&A,2017-10-20,Completed,USD,0.0,Undisclosed
BIDU,152908940.0,INV,2017-09-29,Completed,CNY,1000000000.0,Cash
BIDU,149632910.0,M&A,2017-08-24,Completed,USD,0.0,Undisclosed
BIDU,148362110.0,M&A,2017-07-05,Completed,USD,0.0,Cash
BIDU,143806000.0,M&A,2017-04-13,Completed,USD,0.0,Undisclosed
BIDU,176584420.0,M&A,2017-02-16,Completed,CNY,0.0,Undisclosed
BIDU,140470220.0,M&A,2017-02-16,Pending,CNY,0.0,Undisclosed
BIDU,143020430.0,M&A,2017-01-13,Completed,USD,172690000.0,Cash
BIDU,137374900.0,INV,2016-12-20,Completed,USD,31000000.0,Cash
BIDU,134726560.0,INV,2016-11-04,Withdrawn,USD,300000000.0,Cash
BIDU,132117210.0,M&A,2016-09-19,Completed,SGD,4586899.0,Stock
BIDU,131864600.0,INV,2016-09-13,Completed,USD,25000000.0,Cash
BIDU,130905800.0,INV,2016-08-25,Completed,CNY,216000000.0,Cash
BIDU,131071400.0,INV,2016-08-16,Completed,USD,150000000.0,Cash
BIDU,130031600.0,INV,2016-08-05,Completed,USD,550000000.0,Cash
BIDU,129635144.0,M&A,2016-08-01,Completed,USD,0.0,Stock
BIDU,128904820.0,INV,2016-07-18,Completed,USD,0.0,Cash
BIDU,127643710.0,INV,2016-06-22,Completed,USD,60000000.0,Cash
BIDU,127056820.0,JV,2016-06-13,Terminated,CNY,1000000000.0,Cash
BIDU,126751300.0,INV,2016-06-06,Completed,USD,150000000.0,Cash
BIDU,123645784.0,INV,2016-04-07,Completed,CNY,6000000000.0,Cash
BIDU,122064900.0,INV,2016-03-07,Completed,CNY,56000000.0,Cash
BIDU,121021050.0,INV,2016-02-23,Pending,USD,200000000.0,Cash
BIDU,120587224.0,M&A,2016-02-12,Terminated,USD,2254000000.0,Cash
BIDU,119269064.0,M&A,2016-01-21,Proposed,USD,0.0,Undisclosed
BIDU,116234240.0,JV,2015-11-26,Pending,USD,0.0,Undisclosed
BIDU,116050900.0,INV,2015-11-22,Withdrawn,USD,0.0,Undisclosed
BIDU,115887060.0,JV,2015-11-18,Pending,CNY,0.0,Undisclosed
BIDU,115619224.0,M&A,2015-11-11,Proposed,CNY,1200000000.0,Cash
BIDU,115536080.0,M&A,2015-11-10,Withdrawn,USD,100000000.0,Undisclosed
BIDU,114732910.0,INV,2015-10-28,Completed,CNY,500000000.0,Cash
BIDU,114582936.0,INV,2015-10-26,Completed,USD,30000000.0,Cash
BIDU,114647210.0,INV,2015-10-26,Completed,USD,3148621000.0,Stock
BIDU,113929544.0,INV,2015-10-12,Completed,USD,200000000.0,Cash
BIDU,112833470.0,INV,2015-09-22,Completed,USD,110000000.0,Cash
BIDU,112528616.0,M&A,2015-09-14,Withdrawn,CNY,0.0,Undisclosed
BIDU,112190000.0,INV,2015-09-08,Completed,USD,150000000.0,Cash
BIDU,112087060.0,INV,2015-09-03,Completed,USD,0.0,Cash
BIDU,110751304.0,INV,2015-08-05,Completed,USD,100000000.0,Cash
BIDU,108029096.0,M&A,2015-06-09,Completed,JPY,1000000000.0,Cash
BIDU,107885736.0,INV,2015-06-05,Completed,CNY,100000000.0,Cash
BIDU,107015940.0,INV,2015-05-18,Completed,USD,0.0,Cash
BIDU,105779420.0,M&A,2015-04-21,Completed,USD,0.0,Cash
BIDU,105456720.0,INV,2015-04-14,Completed,USD,10000000.0,Cash
BIDU,105480720.0,INV,2015-04-14,Completed,USD,5000000.0,Cash
BIDU,104192620.0,INV,2015-03-18,Completed,USD,170000000.0,Cash
BIDU,118863270.0,INV,2014-12-17,Completed,USD,1200000000.0,Cash
BIDU,100184220.0,INV,2014-12-16,Completed,CAD,3100000.0,Cash
BIDU,194271180.0,INV,2014-12-07,Completed,USD,3000000.0,Cash
BIDU,98588140.0,INV,2014-11-19,Pending,CNY,1800000000.0,Cash
BIDU,98834950.0,M&A,2014-11-17,Completed,CNY,2000000000.0,Cash
BIDU,99137850.0,INV,2014-10-31,Completed,USD,6000000.0,Cash
BIDU,97429470.0,M&A,2014-10-10,Completed,USD,0.0,Cash
BIDU,96075250.0,INV,2014-09-11,Completed,USD,10600000.0,Cash
BIDU,95684550.0,INV,2014-09-03,Completed,USD,10000000.0,Cash
BIDU,102555544.0,JV,2014-08-29,Pending,USD,0.0,Cash
BIDU,94511360.0,INV,2014-08-04,Completed,CNY,0.0,Cash
BIDU,93497790.0,INV,2014-07-08,Completed,USD,0.0,Cash
BIDU,89676770.0,INV,2014-04-07,Withdrawn,USD,0.0,Undisclosed
BIDU,86565160.0,M&A,2014-01-23,Completed,USD,0.0,Undisclosed
BIDU,85527950.0,M&A,2013-12-27,Completed,CNY,191500000.0,Cash
BIDU,83889020.0,INV,2013-11-18,Completed,CNY,0.0,Cash
BIDU,80749000.0,M&A,2013-08-23,Completed,USD,160000000.0,Cash
BIDU,79551450.0,M&A,2013-07-16,Completed,USD,1847940000.0,Cash
BIDU,76816100.0,M&A,2013-05-07,Completed,USD,370000000.0,Cash
