ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
BIIB,188909400.0,M&A,2019-03-12,Completed,USD,890000000.0,Cash
BIIB,188385280.0,M&A,2019-03-04,Completed,USD,753070500.0,Cash
BIIB,188385620.0,INV,2019-03-04,Completed,CHF,10000000.0,Cash
BIIB,174636880.0,M&A,2018-07-24,Completed,USD,27500000.0,Cash
BIIB,172774300.0,INV,2018-06-29,Completed,KRW,759500000000.0,Cash
BIIB,169643070.0,M&A,2018-06-07,Pending,USD,4000000.0,Cash
BIIB,164705730.0,INV,2018-04-20,Completed,USD,625074240.0,Cash
BIIB,162410260.0,M&A,2018-03-12,Completed,USD,0.0,Cash
BIIB,161268850.0,M&A,2018-02-07,Completed,GBP,0.0,Undisclosed
BIIB,159763360.0,M&A,2018-01-25,Completed,USD,10000000.0,Cash
BIIB,145490510.0,M&A,2017-05-15,Completed,USD,120000000.0,Cash
BIIB,160088420.0,INV,2017-03-30,Completed,USD,50000000.0,Cash
BIIB,160937550.0,INV,2017-03-30,Completed,USD,50000000.0,Cash
BIIB,138468290.0,INV,2017-01-10,Completed,CHF,0.0,Cash
BIIB,129855896.0,M&A,2016-08-02,Withdrawn,USD,72479700000.0,Undisclosed
BIIB,125034664.0,SPIN,2016-05-03,Completed,USD,4789674000.0,
BIIB,120430740.0,INV,2016-02-10,Completed,USD,45000000.0,Cash
BIIB,118627800.0,INV,2016-01-06,Completed,USD,17300000.0,Cash
BIIB,115091890.0,INV,2015-11-03,Completed,USD,42500000.0,Cash
BIIB,118118824.0,INV,2015-07-02,Completed,USD,124000000.0,Cash
BIIB,101294616.0,M&A,2015-01-12,Completed,USD,200000000.0,Cash
BIIB,88715290.0,INV,2014-03-17,Completed,USD,17000000.0,Cash
BIIB,73774370.0,M&A,2013-02-06,Completed,USD,3250000000.0,Cash
BIIB,61664790.0,M&A,2012-02-14,Completed,USD,75000000.0,Cash
BIIB,61978456.0,INV,2012-01-04,Completed,EUR,15000000.0,Cash
BIIB,59758156.0,JV,2011-12-06,Completed,KRW,225000000.0,Undisclosed
BIIB,57532330.0,M&A,2011-09-06,Completed,EUR,0.0,Cash
BIIB,52192944.0,INV,2011-02-16,Completed,USD,6000000.0,Cash
BIIB,50677464.0,M&A,2010-12-20,Completed,USD,32500000.0,Cash
BIIB,52237300.0,INV,2010-09-08,Completed,USD,6000000.0,Cash
BIIB,52153340.0,INV,2009-12-15,Completed,USD,12000000.0,Cash
BIIB,59842400.0,INV,2009-11-02,Completed,EUR,36000000.0,Cash
BIIB,49925300.0,INV,2009-10-29,Completed,USD,47750000.0,Cash
BIIB,39655188.0,M&A,2009-09-04,Terminated,USD,129836300.0,Cash
BIIB,65414680.0,INV,2009-07-09,Completed,USD,51000000.0,Cash
BIIB,47368036.0,INV,2009-01-16,Completed,USD,22200000.0,Cash
BIIB,52153284.0,INV,2009-01-04,Completed,USD,4000000.0,Cash
BIIB,59870024.0,INV,2008-04-22,Completed,USD,25000000.0,Cash
BIIB,59518784.0,INV,2008-04-22,Completed,USD,5400000.0,Cash
BIIB,47367868.0,INV,2008-03-13,Completed,USD,34000000.0,Cash
BIIB,67034800.0,INV,2008-03-05,Completed,EUR,23000000.0,Cash
BIIB,59737132.0,INV,2007-10-09,Completed,USD,37000000.0,Cash
BIIB,29349848.0,M&A,2007-08-15,Completed,USD,10000000.0,Cash
BIIB,26574274.0,BUY,2007-05-29,Completed,USD,2821207800.0,
BIIB,101647680.0,M&A,2007-01-04,Completed,USD,40000000.0,Cash
BIIB,23246976.0,M&A,2006-09-14,Completed,USD,7500000.0,Cash
BIIB,21961156.0,M&A,2006-05-31,Completed,CHF,0.0,Undisclosed
BIIB,21636352.0,M&A,2006-05-03,Completed,USD,150000000.0,Cash
BIIB,101471220.0,M&A,2006-05-02,Completed,USD,150000000.0,Cash
BIIB,21309056.0,M&A,2006-04-03,Completed,USD,60000000.0,Cash
BIIB,58903650.0,INV,2006-01-10,Completed,USD,38400000.0,Cash
BIIB,18890184.0,M&A,2005-08-02,Completed,USD,40000000.0,Cash
BIIB,18427334.0,M&A,2005-06-16,Completed,USD,408000000.0,Cash
BIIB,15994106.0,M&A,2004-10-15,Completed,USD,5500000.0,Cash
BIIB,11616503.0,M&A,2003-06-23,Completed,USD,6121523000.0,Stock
BIIB,6273374.0,M&A,2001-02-12,Completed,USD,0.0,Stock
BIIB,116581040.0,INV,2000-09-28,Completed,USD,27500000.0,Cash
