ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
CHTR,178661970.0,INV,2018-09-30,Withdrawn,USD,0.0,Undisclosed
CHTR,167599550.0,INV,2018-05-17,Completed,USD,0.0,Cash
CHTR,152043440.0,INV,2017-09-14,Completed,USD,42000000.0,Cash
CHTR,149631650.0,M&A,2017-07-30,Withdrawn,USD,0.0,Undisclosed
CHTR,147796100.0,M&A,2017-06-27,Withdrawn,USD,31995500000.0,Undisclosed
CHTR,147571280.0,M&A,2017-06-21,Withdrawn,USD,0.0,Undisclosed
CHTR,139271070.0,M&A,2017-01-26,Withdrawn,USD,169097150000.0,Cash
CHTR,125830150.0,INV,2015-05-26,Completed,USD,4300000000.0,Cash
CHTR,103968950.0,M&A,2015-03-31,Completed,USD,10400000000.0,Cash and Stock
CHTR,125829580.0,INV,2015-03-31,Completed,USD,700000000.0,Stock
