ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
CME,196814350.0,M&A,2019-07-05,Pending,GBP,3700000.0,Cash
CME,162646160.0,M&A,2018-03-29,Completed,GBP,3852563000.0,Cash and Stock
CME,148858370.0,M&A,2017-07-14,Pending,USD,0.0,Cash
CME,133432744.0,INV,2016-10-13,Withdrawn,INR,0.0,Undisclosed
CME,123843340.0,M&A,2016-10-03,Completed,GBP,0.0,Undisclosed
CME,122482490.0,M&A,2016-03-15,Completed,USD,130000000.0,Cash
CME,110765450.0,JV,2015-08-05,Pending,USD,0.0,Undisclosed
CME,107830080.0,INV,2015-06-04,Completed,USD,20500000.0,Cash
CME,107072070.0,INV,2015-05-19,Completed,USD,32000000.0,Cash
CME,104222880.0,M&A,2015-03-17,Withdrawn,USD,600000000.0,Cash
CME,97973010.0,INV,2014-10-28,Withdrawn,KRW,0.0,Undisclosed
CME,97233710.0,INV,2014-10-09,Completed,USD,0.0,Cash
CME,96792160.0,INV,2014-09-30,Completed,USD,9700000.0,Cash
CME,94302100.0,M&A,2014-07-30,Terminated,USD,746117400.0,Cash and Stock
CME,94302380.0,M&A,2014-07-30,Terminated,USD,165000000.0,Cash
CME,92968710.0,INV,2014-06-26,Completed,USD,30000000.0,Cash
CME,69891330.0,M&A,2012-10-17,Completed,USD,126000000.0,Cash
CME,67231016.0,M&A,2012-08-07,Completed,USD,0.0,Cash
CME,65983268.0,M&A,2012-07-02,Completed,USD,0.0,Undisclosed
CME,63088580.0,M&A,2012-04-03,Completed,USD,0.0,Undisclosed
CME,61824650.0,INV,2012-02-21,Completed,AED,0.0,Undisclosed
CME,59024932.0,JV,2011-11-04,Completed,USD,0.0,Undisclosed
CME,50336280.0,M&A,2010-12-09,Completed,GBP,0.0,Undisclosed
CME,48218564.0,INV,2010-03-08,Completed,MXN,0.0,Undisclosed
CME,43090420.0,INV,2010-02-12,Completed,USD,585623400.0,Cash
CME,43039936.0,JV,2010-02-10,Completed,USD,675000000.0,Undisclosed
CME,39862590.0,INV,2009-09-17,Completed,MYR,76220000.0,Cash and Stock
CME,33756464.0,JV,2008-10-07,Completed,USD,0.0,Undisclosed
CME,30808092.0,M&A,2008-03-25,Completed,GBP,0.0,Undisclosed
CME,30710382.0,M&A,2008-03-17,Completed,USD,9743320000.0,Cash or Stock
CME,30701056.0,M&A,2008-03-14,Completed,USD,0.0,Cash
CME,28698704.0,INV,2007-10-23,Completed,USD,726433700.0,Stock
CME,26341568.0,BUY,2007-05-11,Completed,USD,949340000.0,
CME,23595524.0,M&A,2006-10-17,Completed,USD,9591467000.0,Stock
CME,22353836.0,M&A,2006-07-05,Completed,USD,15000000.0,Cash
CME,22175488.0,JV,2006-05-04,Completed,USD,45000000.0,Undisclosed
CME,13413911.0,M&A,2004-01-12,Completed,USD,0.0,Undisclosed
