ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
CSCO,198725380.0,M&A,2019-08-06,Pending,USD,0.0,Cash
CSCO,197601710.0,M&A,2019-07-19,Proposed,USD,0.0,Cash
CSCO,196989390.0,M&A,2019-07-09,Pending,USD,2473134000.0,Cash
CSCO,194881340.0,M&A,2019-06-06,Pending,USD,0.0,Cash
CSCO,188942560.0,INV,2019-03-12,Completed,USD,50000000.0,Cash
CSCO,186602990.0,M&A,2019-02-05,Completed,USD,0.0,Undisclosed
CSCO,182904290.0,M&A,2018-12-18,Completed,USD,660000000.0,Cash
CSCO,181691980.0,M&A,2018-11-21,Completed,USD,0.0,Undisclosed
CSCO,177807310.0,M&A,2018-09-17,Completed,USD,0.0,Cash
CSCO,175332620.0,M&A,2018-08-02,Completed,USD,2350000000.0,Cash
CSCO,170416180.0,M&A,2018-06-19,Completed,USD,0.0,Cash
CSCO,154735020.0,M&A,2018-05-01,Completed,USD,0.0,Cash
CSCO,170632770.0,M&A,2018-05-01,Completed,USD,270000000.0,Cash
CSCO,159729890.0,M&A,2018-01-25,Completed,USD,0.0,Cash
CSCO,156833760.0,M&A,2017-12-07,Completed,USD,0.0,Undisclosed
CSCO,154173520.0,M&A,2017-10-23,Completed,USD,1545911900.0,Cash
CSCO,154048080.0,M&A,2017-10-19,Completed,USD,0.0,Undisclosed
CSCO,153364130.0,M&A,2017-10-05,Completed,USD,0.0,Undisclosed
CSCO,152765820.0,INV,2017-09-27,Completed,GBP,0.0,Cash
CSCO,150765170.0,M&A,2017-08-21,Completed,USD,320000000.0,Cash
CSCO,148797740.0,M&A,2017-07-13,Completed,USD,0.0,Undisclosed
CSCO,145471100.0,INV,2017-05-12,Completed,USD,0.0,Undisclosed
CSCO,145320160.0,M&A,2017-05-11,Completed,USD,125000000.0,Cash
CSCO,145815220.0,M&A,2017-05-04,Completed,USD,0.0,Cash
CSCO,144683060.0,M&A,2017-05-01,Completed,USD,610000000.0,Cash
CSCO,139150180.0,M&A,2017-01-24,Completed,USD,3575875000.0,Cash
CSCO,133922660.0,INV,2016-10-24,Completed,USD,33500000.0,Cash
CSCO,133590680.0,M&A,2016-10-17,Completed,USD,0.0,Undisclosed
CSCO,131120250.0,M&A,2016-08-30,Completed,USD,0.0,Undisclosed
CSCO,127904700.0,M&A,2016-06-28,Completed,USD,293000000.0,Cash
CSCO,127126664.0,INV,2016-06-14,Completed,USD,11500000.0,Cash
CSCO,120095380.0,M&A,2016-03-10,Completed,USD,1400000000.0,Cash
CSCO,122121390.0,INV,2016-03-08,Completed,USD,10000000.0,Cash
CSCO,122115384.0,M&A,2016-03-08,Completed,USD,0.0,Undisclosed
CSCO,122279090.0,M&A,2016-03-03,Completed,USD,320000000.0,Cash
CSCO,121443490.0,M&A,2016-03-01,Completed,USD,260000000.0,Cash
CSCO,116013960.0,M&A,2015-11-20,Completed,USD,700000000.0,Cash
CSCO,114746290.0,M&A,2015-10-28,Completed,USD,0.0,Cash
CSCO,114670220.0,M&A,2015-10-27,Completed,USD,452500000.0,Cash
CSCO,114592450.0,M&A,2015-10-26,Completed,USD,0.0,Cash
CSCO,113231390.0,M&A,2015-09-30,Completed,GBP,0.0,Undisclosed
CSCO,112937100.0,JV,2015-09-24,Completed,USD,0.0,Undisclosed
CSCO,149494770.0,M&A,2015-07-30,Completed,USD,0.0,Cash
CSCO,110013370.0,M&A,2015-07-23,Completed,USD,584228160.0,Cash and Stock
CSCO,109311320.0,M&A,2015-07-07,Completed,USD,139000000.0,Cash
CSCO,111680296.0,M&A,2015-06-04,Completed,INR,0.0,Undisclosed
CSCO,106591080.0,M&A,2015-05-07,Completed,USD,0.0,Undisclosed
CSCO,106228760.0,M&A,2015-04-30,Completed,EUR,0.0,Cash
CSCO,104844550.0,JV,2015-03-30,Completed,CHF,0.0,Undisclosed
CSCO,99816110.0,M&A,2014-12-10,Completed,USD,0.0,Undisclosed
CSCO,98889110.0,INV,2014-11-18,Completed,USD,8900000.0,Cash
CSCO,97836970.0,JV,2014-10-09,Completed,USD,64000000.0,Cash
CSCO,96349130.0,M&A,2014-09-18,Completed,USD,0.0,Cash
CSCO,96280830.0,M&A,2014-09-17,Completed,USD,0.0,Undisclosed
CSCO,182537820.0,INV,2014-09-16,Completed,USD,14000000.0,Cash
CSCO,92577780.0,M&A,2014-06-17,Completed,USD,175000000.0,Cash
CSCO,91518510.0,M&A,2014-05-21,Completed,USD,0.0,Undisclosed
CSCO,95543760.0,INV,2014-05-15,Completed,KRW,6000000000.0,Cash
CSCO,85111390.0,M&A,2013-12-17,Completed,USD,0.0,Undisclosed
CSCO,83593030.0,M&A,2013-11-06,Completed,USD,863000000.0,Cash
CSCO,81289224.0,M&A,2013-09-10,Completed,USD,415000000.0,Cash
CSCO,79752720.0,M&A,2013-07-23,Completed,USD,2185228000.0,Cash
CSCO,78552490.0,M&A,2013-06-20,Completed,USD,180000000.0,Cash
CSCO,77506920.0,M&A,2013-05-29,Completed,USD,107000000.0,Cash
CSCO,75707590.0,M&A,2013-04-03,Completed,USD,310000000.0,Cash
CSCO,75380050.0,M&A,2013-03-25,Completed,EUR,0.0,Undisclosed
CSCO,73479590.0,JV,2013-01-30,Completed,CNY,0.0,Undisclosed
CSCO,73457860.0,M&A,2013-01-29,Completed,CZK,0.0,Undisclosed
CSCO,73323280.0,M&A,2013-01-24,Completed,USD,0.0,Cash
CSCO,73268290.0,M&A,2013-01-23,Completed,USD,475000000.0,Cash
CSCO,72300264.0,M&A,2012-12-19,Completed,USD,0.0,Undisclosed
CSCO,71244584.0,M&A,2012-11-29,Completed,USD,141000000.0,Cash
CSCO,105788620.0,M&A,2012-11-18,Completed,USD,1200000000.0,Cash
CSCO,70823910.0,M&A,2012-11-15,Completed,USD,125000000.0,Cash
CSCO,70272904.0,INV,2012-10-30,Completed,USD,5000000.0,Cash
CSCO,69563610.0,M&A,2012-10-05,Completed,USD,0.0,Undisclosed
CSCO,69185640.0,M&A,2012-09-26,Completed,EUR,0.0,Undisclosed
CSCO,66439868.0,M&A,2012-07-16,Completed,USD,0.0,Undisclosed
CSCO,95144580.0,M&A,2012-06-05,Completed,USD,250000000.0,Cash
CSCO,64040916.0,M&A,2012-05-03,Completed,USD,20000000.0,Cash
CSCO,151192820.0,M&A,2012-03-28,Completed,USD,0.0,Undisclosed
CSCO,62539764.0,M&A,2012-03-15,Completed,USD,5000000000.0,Cash
CSCO,61943510.0,M&A,2012-02-24,Completed,USD,271000000.0,Cash
CSCO,59153816.0,INV,2011-11-10,Completed,USD,21000000.0,Cash
CSCO,59083080.0,JV,2011-11-08,Completed,USD,0.0,Undisclosed
CSCO,58596772.0,M&A,2011-10-20,Completed,USD,99000000.0,Cash
CSCO,57627508.0,INV,2011-09-12,Completed,USD,7500000.0,Cash
CSCO,57282990.0,M&A,2011-08-29,Completed,USD,0.0,Undisclosed
CSCO,57102870.0,M&A,2011-08-22,Completed,USD,31000000.0,Cash
CSCO,58355830.0,M&A,2011-07-18,Completed,USD,44949000.0,Cash
CSCO,57103870.0,JV,2011-07-04,Completed,USD,47000000.0,Cash
CSCO,53185856.0,M&A,2011-03-29,Completed,USD,0.0,Undisclosed
CSCO,59029548.0,INV,2011-02-28,Completed,USD,5000000.0,Cash
CSCO,52116010.0,M&A,2011-02-16,Completed,USD,0.0,Cash
CSCO,51843290.0,M&A,2011-02-04,Completed,USD,95000000.0,Cash
CSCO,51576920.0,M&A,2011-01-26,Completed,USD,0.0,Undisclosed
CSCO,50115800.0,M&A,2010-12-01,Completed,USD,0.0,Undisclosed
CSCO,62080012.0,INV,2010-11-09,Completed,USD,2400000.0,Cash
CSCO,53382264.0,INV,2010-11-04,Completed,USD,16000000.0,Cash
CSCO,49435916.0,INV,2010-10-05,Completed,INR,700000000.0,Cash
CSCO,47949230.0,M&A,2010-09-02,Completed,USD,0.0,Undisclosed
CSCO,47758796.0,M&A,2010-08-26,Completed,CAD,0.0,Undisclosed
CSCO,67154450.0,INV,2010-07-07,Completed,USD,250000.0,Cash
CSCO,48087864.0,INV,2010-07-07,Completed,INR,0.0,Undisclosed
CSCO,45460050.0,M&A,2010-05-20,Completed,USD,99000000.0,Cash
CSCO,45400388.0,M&A,2010-05-18,Completed,USD,0.0,Undisclosed
CSCO,57255332.0,INV,2010-04-15,Completed,USD,16000000.0,Cash
CSCO,44103240.0,INV,2010-03-25,Completed,USD,0.0,Undisclosed
CSCO,57253340.0,INV,2010-03-09,Completed,USD,36500000.0,Cash
CSCO,42229936.0,M&A,2010-01-05,Completed,USD,0.0,Undisclosed
CSCO,40879676.0,JV,2009-11-04,Completed,USD,0.0,Undisclosed
CSCO,40827404.0,M&A,2009-11-02,Completed,USD,17500000.0,Cash
CSCO,40672870.0,M&A,2009-10-27,Completed,USD,183000000.0,Cash
CSCO,40395476.0,M&A,2009-10-13,Completed,USD,2244804900.0,Cash
CSCO,40146260.0,M&A,2009-10-01,Completed,NOK,17699930000.0,Cash
CSCO,67444584.0,INV,2009-07-01,Completed,USD,250000.0,Cash
CSCO,53381950.0,INV,2009-06-28,Completed,USD,7000000.0,Cash
CSCO,37590468.0,M&A,2009-05-28,Completed,USD,0.0,Undisclosed
CSCO,101578780.0,M&A,2009-04-09,Completed,USD,105000000.0,Cash
CSCO,36352916.0,M&A,2009-03-19,Completed,USD,590000000.0,Stock
CSCO,36063536.0,INV,2009-03-02,Completed,USD,669419.56,Cash
CSCO,149490960.0,INV,2009-02-18,Completed,USD,3000000.0,Cash
CSCO,35502110.0,M&A,2009-01-27,Completed,USD,0.0,Undisclosed
CSCO,57256492.0,INV,2009-01-05,Completed,USD,7000000.0,Cash
CSCO,33650280.0,INV,2008-09-30,Completed,USD,0.0,Cash
CSCO,53082264.0,INV,2008-09-23,Completed,USD,47500000.0,Cash
CSCO,33484188.0,M&A,2008-09-19,Completed,USD,0.0,Undisclosed
CSCO,33145928.0,M&A,2008-08-27,Completed,USD,215000000.0,Undisclosed
CSCO,58967200.0,INV,2008-08-06,Completed,USD,22000000.0,Cash
CSCO,32683224.0,M&A,2008-07-23,Completed,USD,120000000.0,Cash
CSCO,32081996.0,M&A,2008-06-10,Completed,DKK,0.0,Undisclosed
CSCO,32894860.0,M&A,2008-05-16,Completed,USD,0.0,Undisclosed
CSCO,32249560.0,INV,2008-04-30,Completed,EUR,28000000.0,Cash
CSCO,66177696.0,INV,2008-04-15,Completed,USD,12000000.0,Cash
CSCO,58850004.0,INV,2008-04-14,Completed,USD,46000000.0,Cash
CSCO,31087306.0,M&A,2008-04-08,Completed,USD,0.0,Undisclosed
CSCO,65926496.0,INV,2008-03-25,Completed,USD,0.0,Cash
CSCO,149489780.0,INV,2008-01-07,Completed,USD,9500000.0,Cash
CSCO,28700712.0,M&A,2007-11-01,Completed,USD,100000000.0,Cash
CSCO,101966620.0,M&A,2007-10-23,Completed,USD,330000000.0,Cash
CSCO,150059710.0,M&A,2007-10-23,Completed,USD,330000000.0,Cash
CSCO,28198580.0,M&A,2007-09-27,Completed,USD,0.0,Undisclosed
CSCO,28074036.0,M&A,2007-09-18,Completed,USD,0.0,Undisclosed
CSCO,58204052.0,INV,2007-07-09,Completed,USD,17000000.0,Cash
CSCO,69050140.0,INV,2007-06-06,Completed,USD,13000000.0,Cash
CSCO,26460986.0,M&A,2007-05-22,Completed,USD,0.0,Undisclosed
CSCO,25731098.0,M&A,2007-03-28,Completed,USD,0.0,Undisclosed
CSCO,25565376.0,M&A,2007-03-15,Completed,USD,2631800000.0,Cash
CSCO,25519780.0,M&A,2007-03-13,Completed,USD,0.0,Undisclosed
CSCO,25409610.0,M&A,2007-03-05,Completed,USD,0.0,Cash
CSCO,53381910.0,INV,2007-03-02,Completed,USD,21000000.0,Cash
CSCO,196162820.0,M&A,2007-02-21,Completed,USD,135000000.0,Cash
CSCO,25114734.0,M&A,2007-02-09,Completed,USD,0.0,Undisclosed
CSCO,24669350.0,M&A,2007-01-04,Completed,USD,830000000.0,Cash and Stock
CSCO,24399372.0,M&A,2006-12-15,Completed,USD,0.0,Undisclosed
CSCO,23901172.0,M&A,2006-11-13,Completed,USD,0.0,Undisclosed
CSCO,23680196.0,M&A,2006-10-26,Completed,USD,31000000.0,Cash
CSCO,23524894.0,M&A,2006-10-10,Completed,USD,0.0,Cash
CSCO,22876890.0,M&A,2006-08-21,Completed,USD,92000000.0,Cash
CSCO,22770056.0,M&A,2006-08-10,Completed,USD,50000000.0,Cash
CSCO,22390388.0,M&A,2006-07-06,Completed,USD,43700000.0,Cash
CSCO,66973492.0,INV,2006-06-26,Completed,USD,15500000.0,Cash
CSCO,151315540.0,M&A,2006-06-20,Completed,USD,10900000.0,Cash
CSCO,66267896.0,INV,2006-06-13,Completed,USD,20300000.0,Cash
CSCO,22075796.0,M&A,2006-06-08,Completed,USD,28000000.0,Cash
CSCO,23140884.0,M&A,2006-06-08,Completed,USD,19800000.0,Cash
CSCO,59130650.0,INV,2006-05-23,Completed,USD,11000000.0,Cash
CSCO,66352070.0,INV,2006-03-27,Completed,USD,18000000.0,Cash
CSCO,21011890.0,M&A,2006-03-07,Completed,USD,51000000.0,Cash
CSCO,152440320.0,INV,2006-02-01,Completed,USD,6000000.0,Cash
CSCO,57913524.0,INV,2006-01-04,Completed,USD,25000000.0,Cash
CSCO,69058340.0,M&A,2005-12-31,Completed,USD,0.0,Cash
CSCO,67453030.0,INV,2005-12-05,Completed,INR,13500000.0,Cash
CSCO,20004560.0,M&A,2005-11-29,Completed,USD,14000000.0,Cash
CSCO,19913524.0,M&A,2005-11-18,Completed,USD,5236096000.0,Cash
CSCO,19430892.0,M&A,2005-09-30,Completed,USD,12500000.0,Cash
CSCO,56064376.0,INV,2005-09-21,Completed,USD,0.0,Cash
CSCO,18790948.0,INV,2005-07-26,Completed,JPY,2800000000.0,Undisclosed
CSCO,18794300.0,M&A,2005-07-26,Completed,USD,97000000.0,Cash
CSCO,18769200.0,M&A,2005-07-22,Completed,DKK,373700000.0,Cash and Stock
CSCO,101731510.0,M&A,2005-07-11,Completed,USD,0.0,Cash
CSCO,18515780.0,M&A,2005-06-27,Completed,USD,30000000.0,Cash and Stock
CSCO,58219120.0,INV,2005-06-15,Completed,USD,0.0,Cash
CSCO,18406048.0,M&A,2005-06-14,Completed,USD,13000000.0,Cash
CSCO,59975308.0,INV,2005-06-08,Completed,USD,12000000.0,Cash
CSCO,18202778.0,M&A,2005-05-26,Completed,USD,70000000.0,Cash
CSCO,18163356.0,M&A,2005-05-23,Completed,USD,30000000.0,Cash
CSCO,59132380.0,INV,2005-05-11,Completed,USD,10000000.0,Cash
CSCO,17915668.0,INV,2005-04-29,Completed,USD,4000000.0,Cash
CSCO,17862020.0,M&A,2005-04-26,Completed,USD,68000000.0,Cash
CSCO,164586180.0,M&A,2005-04-14,Completed,USD,250000000.0,Cash
CSCO,67306824.0,INV,2005-02-28,Completed,USD,8500000.0,Cash
CSCO,16844160.0,M&A,2005-01-12,Completed,USD,450000000.0,Stock
CSCO,16600803.0,M&A,2004-12-20,Completed,USD,65000000.0,Cash
CSCO,16509162.0,M&A,2004-12-09,Completed,USD,34000000.0,Cash
CSCO,16282578.0,M&A,2004-11-17,Completed,USD,16000000.0,Cash
CSCO,64878470.0,INV,2004-11-11,Completed,USD,20000000.0,Cash
CSCO,58090036.0,INV,2004-11-08,Completed,USD,16000000.0,Cash
CSCO,16036633.0,M&A,2004-10-21,Completed,USD,74000000.0,Cash
CSCO,15725080.0,M&A,2004-09-13,Completed,USD,55000000.0,Cash
CSCO,15704889.0,M&A,2004-09-09,Completed,USD,88486904.0,Cash
CSCO,15542717.0,M&A,2004-08-24,Completed,USD,200000000.0,Undisclosed
CSCO,66267624.0,INV,2004-07-27,Completed,USD,11000000.0,Cash
CSCO,15407950.0,M&A,2004-07-08,Completed,GBP,4850000.0,Cash
CSCO,15033888.0,M&A,2004-06-29,Completed,USD,82000000.0,Cash
CSCO,14944213.0,M&A,2004-06-17,Completed,USD,89000000.0,Cash
CSCO,56711508.0,INV,2004-06-14,Completed,USD,10000000.0,Cash
CSCO,67737850.0,INV,2004-05-24,Completed,USD,7000000.0,Cash
CSCO,14050072.0,M&A,2004-03-22,Completed,USD,39000000.0,Cash
CSCO,13982436.0,M&A,2004-03-12,Completed,USD,5000000.0,Cash
CSCO,87572080.0,INV,2004-02-06,Completed,USD,17000000.0,Cash
CSCO,13419972.0,INV,2004-01-12,Completed,USD,75000000.0,Cash
CSCO,58696610.0,INV,2004-01-01,Completed,USD,12000000.0,Cash
CSCO,12883126.0,M&A,2003-11-12,Completed,USD,58417080.0,Cash
CSCO,57911676.0,INV,2003-10-27,Completed,USD,29000000.0,Cash
CSCO,12341455.0,M&A,2003-09-08,Completed,USD,0.0,Undisclosed
CSCO,10739931.0,M&A,2003-03-20,Completed,USD,500000000.0,Stock
CSCO,10729646.0,M&A,2003-03-19,Completed,USD,13500000.0,Stock
CSCO,10071607.0,M&A,2003-01-24,Completed,USD,154000000.0,Stock
CSCO,9286695.0,M&A,2002-10-22,Completed,USD,12000000.0,Stock
CSCO,64878216.0,INV,2002-09-15,Completed,USD,10800000.0,Cash
CSCO,8791416.0,M&A,2002-08-20,Completed,USD,750000000.0,Undisclosed
CSCO,58326584.0,INV,2002-08-05,Completed,USD,22000000.0,Cash
CSCO,8592789.0,M&A,2002-07-25,Completed,USD,113000000.0,Stock
CSCO,67110850.0,INV,2002-06-17,Completed,USD,17500000.0,Cash
CSCO,8060812.0,M&A,2002-05-01,Completed,USD,173000000.0,Stock
CSCO,8060846.0,M&A,2002-05-01,Completed,USD,85000000.0,Stock
CSCO,69184590.0,INV,2001-10-23,Completed,USD,34000000.0,Cash
CSCO,59459104.0,INV,2001-10-20,Completed,USD,10800000.0,Cash
CSCO,7151327.0,M&A,2001-09-20,Completed,USD,0.0,Undisclosed
CSCO,6946113.0,M&A,2001-07-27,Completed,USD,0.0,Undisclosed
CSCO,6946469.0,M&A,2001-07-27,Completed,USD,109000000.0,Stock
