ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
CTAS,151560060.0,M&A,2017-07-11,Completed,USD,0.0,Cash
CTAS,130480810.0,M&A,2016-08-16,Completed,USD,2144347900.0,Cash
CTAS,110465060.0,M&A,2015-07-31,Completed,USD,120600000.0,Cash
CTAS,109710080.0,M&A,2015-07-15,Completed,USD,2300000000.0,Cash
CTAS,98498800.0,M&A,2014-11-06,Completed,USD,0.0,Cash
CTAS,97058776.0,M&A,2014-10-06,Completed,GBP,23500000.0,Cash
CTAS,88816620.0,JV,2014-03-19,Completed,USD,180000000.0,Cash
CTAS,51875624.0,M&A,2011-02-07,Completed,USD,0.0,Undisclosed
CTAS,48748590.0,M&A,2010-07-27,Completed,GBP,0.0,Undisclosed
CTAS,36358924.0,M&A,2009-03-19,Completed,EUR,0.0,Undisclosed
CTAS,29384516.0,M&A,2007-09-28,Completed,EUR,0.0,Undisclosed
CTAS,20766184.0,M&A,2006-02-10,Completed,USD,0.0,Cash
CTAS,88883980.0,M&A,2006-01-31,Completed,USD,0.0,Cash
CTAS,8019297.0,M&A,2002-04-22,Completed,USD,22000000.0,Cash
CTAS,7884504.0,M&A,2002-03-18,Completed,EUR,747620000.0,Undisclosed
CTAS,4453862.0,M&A,1999-01-11,Completed,USD,470161020.0,Stock & Debt
CTAS,693695.0,M&A,1998-03-05,Completed,USD,0.0,Undisclosed
CTAS,2167953.0,M&A,1998-01-07,Completed,GBP,16900000.0,Cash
