ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
CTSH,195504580.0,M&A,2019-06-18,Completed,EUR,0.0,Undisclosed
CTSH,189742600.0,M&A,2019-03-05,Completed,GBP,0.0,Cash
CTSH,185598980.0,M&A,2019-01-23,Completed,USD,0.0,Undisclosed
CTSH,182878610.0,M&A,2018-12-11,Pending,USD,0.0,Undisclosed
CTSH,178460320.0,M&A,2018-10-04,Pending,USD,0.0,Cash
CTSH,177873820.0,M&A,2018-09-18,Pending,USD,0.0,Undisclosed
CTSH,176406930.0,M&A,2018-08-23,Pending,USD,0.0,Undisclosed
CTSH,165559970.0,M&A,2018-05-03,Completed,EUR,0.0,Undisclosed
CTSH,170265340.0,M&A,2018-03-12,Completed,USD,0.0,Cash
CTSH,163351090.0,M&A,2018-02-01,Completed,EUR,0.0,Undisclosed
CTSH,154390780.0,M&A,2017-10-26,Completed,GBP,0.0,Cash
CTSH,154271870.0,M&A,2017-10-24,Completed,USD,0.0,Undisclosed
CTSH,147097150.0,M&A,2017-06-13,Completed,USD,0.0,Undisclosed
CTSH,141288100.0,M&A,2017-03-02,Completed,JPY,0.0,Undisclosed
CTSH,138800640.0,INV,2017-01-17,Completed,USD,15000000.0,Cash
CTSH,135969900.0,M&A,2016-11-29,Completed,EUR,0.0,Undisclosed
CTSH,135817550.0,M&A,2016-11-07,Completed,AUD,10000000.0,Undisclosed
CTSH,135817490.0,M&A,2016-11-07,Pending,USD,40000000.0,Undisclosed
CTSH,132828080.0,M&A,2016-10-03,Completed,NOK,1025000000.0,Cash
CTSH,129487680.0,M&A,2016-07-28,Completed,CAD,0.0,Undisclosed
CTSH,124723610.0,INV,2016-04-28,Completed,USD,0.0,Undisclosed
CTSH,119598424.0,M&A,2016-01-27,Completed,USD,0.0,Undisclosed
CTSH,137876580.0,M&A,2015-11-25,Completed,NOK,0.0,Undisclosed
CTSH,103058900.0,M&A,2015-02-11,Completed,EUR,0.0,Cash
CTSH,98639330.0,M&A,2014-11-12,Completed,AUD,0.0,Undisclosed
CTSH,97110640.0,M&A,2014-10-07,Completed,USD,0.0,Undisclosed
CTSH,96160424.0,M&A,2014-09-15,Completed,USD,2700000000.0,Cash
CTSH,90215800.0,M&A,2014-04-22,Completed,USD,0.0,Undisclosed
CTSH,82198400.0,M&A,2013-10-03,Completed,EUR,0.0,Undisclosed
CTSH,82211940.0,M&A,2013-10-03,Completed,EUR,0.0,Undisclosed
CTSH,72241020.0,M&A,2012-12-21,Completed,EUR,0.0,Cash
CTSH,57981348.0,M&A,2011-09-27,Completed,USD,10219798.0,Stock
CTSH,56419976.0,M&A,2011-07-26,Completed,USD,50000000.0,Cash
CTSH,46115516.0,M&A,2010-06-17,Completed,EUR,0.0,Undisclosed
CTSH,45179936.0,M&A,2010-05-10,Completed,GBP,0.0,Undisclosed
CTSH,40446350.0,M&A,2009-10-15,Completed,CHF,75000000.0,Undisclosed
CTSH,39679260.0,M&A,2009-09-08,Completed,USD,0.0,Undisclosed
CTSH,32954418.0,M&A,2008-06-09,Completed,USD,2030000.0,Stock
CTSH,32210542.0,M&A,2008-03-20,Completed,EUR,10000000.0,Cash
CTSH,28505048.0,M&A,2007-10-18,Completed,USD,135000000.0,Cash
CTSH,23142648.0,M&A,2006-09-05,Completed,USD,0.0,Undisclosed
CTSH,17785906.0,M&A,2005-04-18,Completed,USD,19000000.0,Cash and Stock
CTSH,13765428.0,M&A,2004-02-20,Completed,INR,90520000.0,Cash
CTSH,13055484.0,M&A,2003-12-02,Completed,EUR,0.0,Undisclosed
CTSH,10022474.0,SPIN,2002-11-14,Completed,USD,4456907300.0,
CTSH,9042174.0,M&A,2002-09-20,Completed,USD,0.0,Undisclosed
