ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
EA,181107730.0,M&A,2018-07-09,Completed,USD,0.0,Undisclosed
EA,168449310.0,M&A,2018-05-22,Completed,USD,0.0,Cash
EA,155284500.0,M&A,2017-11-09,Completed,USD,151000000.0,Cash
EA,59651110.0,M&A,2011-12-01,Completed,USD,0.0,Undisclosed
EA,56109030.0,M&A,2011-07-12,Completed,USD,750000000.0,Cash and Stock
EA,54351264.0,M&A,2011-05-03,Completed,AUD,0.0,Undisclosed
EA,49062364.0,M&A,2010-10-20,Completed,USD,20000000.0,Cash
EA,40968504.0,M&A,2009-11-09,Completed,USD,275000000.0,Cash
EA,35850936.0,JV,2009-02-17,Completed,USD,0.0,Undisclosed
EA,34591560.0,M&A,2008-12-03,Completed,KRW,0.0,Undisclosed
EA,32005586.0,M&A,2008-06-04,Completed,USD,15000000.0,Cash
EA,31820936.0,M&A,2008-05-21,Completed,USD,30000000.0,Cash
EA,30671970.0,M&A,2008-03-13,Terminated,USD,1969003000.0,Cash
EA,28460696.0,M&A,2007-10-11,Completed,USD,620000000.0,Cash
EA,28339916.0,M&A,2007-10-05,Completed,USD,0.0,Undisclosed
EA,26445020.0,INV,2007-05-21,Completed,USD,167000000.0,Cash
EA,25606740.0,INV,2007-03-19,Completed,KRW,46965416000.0,Cash
EA,25143248.0,M&A,2007-02-12,Completed,USD,0.0,Undisclosed
EA,22909656.0,M&A,2006-08-23,Completed,EUR,0.0,Undisclosed
EA,22180004.0,M&A,2006-06-20,Completed,USD,0.0,Undisclosed
EA,21118812.0,M&A,2006-03-17,Completed,SEK,143886300.0,Cash
EA,20124020.0,M&A,2005-12-08,Completed,USD,681904300.0,Cash
EA,16599123.0,INV,2004-12-20,Completed,EUR,68856890.0,Cash
EA,16257472.0,M&A,2004-11-15,Completed,SEK,77892420.0,Cash
EA,15289300.0,M&A,2004-07-28,Completed,JPY,0.0,Undisclosed
EA,13700712.0,M&A,2004-02-13,Completed,USD,0.0,Undisclosed
EA,10590474.0,M&A,2003-03-04,Completed,USD,2000000.0,Stock
EA,10348850.0,INV,2003-02-19,Completed,JPY,0.0,Undisclosed
EA,10348758.0,M&A,2003-02-19,Completed,USD,0.0,Undisclosed
EA,10269382.0,INV,2003-02-12,Completed,SEK,76700000.0,Undisclosed
EA,8269524.0,M&A,2002-06-11,Completed,CAD,0.0,Undisclosed
EA,6332054.0,M&A,2001-02-28,Completed,USD,0.0,Undisclosed
EA,5250712.0,M&A,2000-02-24,Completed,USD,0.0,Undisclosed
EA,4812860.0,M&A,1999-09-08,Completed,USD,0.0,Undisclosed
EA,2212481.0,M&A,1998-08-17,Completed,,122500000.0,
EA,2175362.0,M&A,1998-07-28,Completed,USD,0.0,Undisclosed
EA,68227800.0,INV,1997-08-31,Completed,USD,16800000.0,Cash
EA,2175442.0,M&A,1997-06-04,Completed,USD,139626990.0,Stock
EA,87347390.0,INV,1996-06-12,Completed,CAD,2100000.0,Cash
EA,2175400.0,M&A,1996-04-08,Completed,USD,0.0,Undisclosed
EA,1980708.0,M&A,1995-03-08,Completed,,0.0,Undisclosed
EA,2175382.0,M&A,1994-11-14,Completed,USD,0.0,Undisclosed
