ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
EBAY,197942140.0,M&A,2019-07-19,Pending,USD,0.0,Cash
EBAY,197447260.0,M&A,2019-07-17,Proposed,USD,0.0,Undisclosed
EBAY,189977440.0,INV,2019-03-27,Completed,USD,160000000.0,Cash
EBAY,189511780.0,M&A,2019-03-21,Proposed,USD,0.0,Cash
EBAY,179691520.0,M&A,2018-10-19,Completed,USD,0.0,Undisclosed
EBAY,174656620.0,INV,2018-07-24,Completed,USD,0.0,Cash
EBAY,167168720.0,M&A,2018-05-10,Completed,USD,0.0,Undisclosed
EBAY,161627900.0,M&A,2018-02-27,Completed,USD,0.0,Cash
EBAY,157183520.0,M&A,2017-12-13,Completed,CAD,0.0,Cash
EBAY,158205250.0,INV,2017-09-22,Pending,KRW,0.0,Undisclosed
EBAY,143934800.0,M&A,2017-04-04,Completed,USD,0.0,Stock
EBAY,118680184.0,INV,2017-03-20,Completed,USD,1400000000.0,Cash
EBAY,133071380.0,M&A,2016-10-06,Completed,ILS,0.0,Undisclosed
EBAY,128821710.0,M&A,2016-07-14,Completed,USD,0.0,Cash
EBAY,128604080.0,M&A,2016-07-11,Completed,USD,0.0,Cash
EBAY,128332740.0,M&A,2016-07-05,Completed,USD,0.0,Cash
EBAY,126066260.0,M&A,2016-05-24,Completed,USD,0.0,Undisclosed
EBAY,125196050.0,M&A,2016-05-05,Completed,SEK,0.0,Undisclosed
EBAY,123169864.0,M&A,2016-03-29,Completed,USD,0.0,Undisclosed
EBAY,118822720.0,M&A,2016-01-11,Completed,USD,0.0,Undisclosed
EBAY,116766696.0,M&A,2015-12-07,Completed,USD,0.0,Cash
EBAY,116590570.0,M&A,2015-12-02,Completed,USD,0.0,Undisclosed
EBAY,115418140.0,M&A,2015-11-06,Completed,USD,0.0,Undisclosed
EBAY,115081850.0,M&A,2015-11-03,Completed,USD,0.0,Cash
EBAY,162808590.0,M&A,2015-11-02,Completed,USD,0.0,Cash
EBAY,113251110.0,M&A,2015-09-28,Completed,EUR,0.0,Undisclosed
EBAY,111281770.0,INV,2015-08-18,Completed,USD,50004330.0,Cash
EBAY,109958750.0,INV,2015-07-22,Completed,USD,82100000.0,Cash
EBAY,109871660.0,M&A,2015-07-20,Completed,USD,0.0,Cash
EBAY,108327440.0,M&A,2015-07-16,Completed,USD,0.0,Undisclosed
EBAY,108493040.0,M&A,2015-06-19,Completed,USD,0.0,Undisclosed
EBAY,103661490.0,M&A,2015-03-06,Completed,USD,60000000.0,Cash
EBAY,103444260.0,M&A,2015-03-02,Completed,USD,285000000.0,Cash
EBAY,103232390.0,INV,2015-02-26,Completed,USD,1000000.0,Cash
EBAY,104846750.0,M&A,2015-01-31,Completed,EUR,0.0,Undisclosed
EBAY,104850800.0,M&A,2015-01-28,Completed,GBP,0.0,Undisclosed
EBAY,101888960.0,INV,2015-01-28,Completed,USD,1200000.0,Cash
