ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
EQIX,196455870.0,JV,2019-07-01,Pending,,0.0,Cash
EQIX,191486460.0,M&A,2019-04-23,Completed,EUR,30000000.0,Cash
EQIX,178434370.0,JV,2018-09-25,Completed,CNY,5000000.0,Undisclosed
EQIX,178100860.0,M&A,2018-07-31,Completed,USD,797500.0,Cash
EQIX,160946420.0,M&A,2018-02-14,Completed,USD,800000000.0,Cash and Debt
EQIX,159172510.0,M&A,2018-01-09,Completed,USD,0.0,Undisclosed
EQIX,148899790.0,M&A,2017-12-17,Completed,AUD,1035000000.0,Cash
EQIX,153479700.0,M&A,2017-10-09,Completed,USD,93000000.0,Cash
EQIX,151857070.0,M&A,2017-09-08,Completed,EUR,215000000.0,Cash
EQIX,141058130.0,M&A,2017-02-28,Completed,USD,5000000.0,Cash
EQIX,147986750.0,M&A,2017-01-30,Completed,BRL,23700000.0,Cash
EQIX,120848456.0,M&A,2016-12-06,Completed,USD,3600000000.0,Cash
EQIX,125689300.0,M&A,2016-05-16,Completed,EUR,190000000.0,Cash
EQIX,125689180.0,M&A,2016-05-16,Completed,USD,874400000.0,Cash
EQIX,112170890.0,M&A,2015-09-08,Completed,JPY,51039640000.0,Cash
EQIX,106580740.0,M&A,2015-05-07,Completed,GBP,2800966100.0,Cash and Stock
EQIX,101582970.0,M&A,2015-01-20,Completed,USD,10000000.0,Cash
EQIX,94103890.0,M&A,2014-07-24,Completed,USD,225000000.0,Cash
EQIX,82402296.0,M&A,2013-10-09,Completed,USD,0.0,Undisclosed
EQIX,68350540.0,M&A,2012-09-04,Completed,USD,75000000.0,Cash
EQIX,64479876.0,M&A,2012-05-16,Completed,EUR,0.0,Undisclosed
EQIX,63915716.0,M&A,2012-05-01,Completed,USD,230500000.0,Cash
EQIX,52071784.0,M&A,2011-02-15,Completed,USD,127000000.0,Cash
EQIX,40569860.0,M&A,2009-10-21,Completed,USD,855840830.0,Cash or Stock
EQIX,39787430.0,M&A,2009-09-14,Completed,USD,28000000.0,Cash
EQIX,30141396.0,M&A,2008-02-06,Completed,USD,48000000.0,Cash
EQIX,27020724.0,M&A,2007-06-28,Completed,GBP,266058990.0,Cash
EQIX,25096266.0,M&A,2007-02-07,Completed,USD,65000000.0,Cash
EQIX,24732606.0,M&A,2007-01-10,Completed,USD,7500000.0,Cash
EQIX,24329968.0,M&A,2006-12-11,Completed,USD,0.0,Cash
EQIX,19622452.0,M&A,2005-10-18,Completed,USD,53000000.0,Cash
EQIX,19262388.0,M&A,2005-09-13,Completed,USD,34500000.0,Cash
EQIX,18722872.0,M&A,2005-07-18,Completed,USD,0.0,Undisclosed
EQIX,44440544.0,INV,2003-04-30,Completed,USD,10000000.0,Cash
