ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
ERIC,187818780.0,M&A,2019-02-25,Pending,EUR,0.0,Cash
ERIC,191084960.0,M&A,2019-01-31,Completed,USD,0.0,Cash
ERIC,182549260.0,M&A,2018-09-04,Completed,USD,0.0,Cash
ERIC,173983460.0,M&A,2018-07-11,Completed,SEK,0.0,Undisclosed
ERIC,167559740.0,M&A,2018-05-15,Completed,USD,0.0,Cash
ERIC,163129600.0,M&A,2018-02-14,Completed,USD,0.0,Cash
ERIC,160715980.0,M&A,2018-02-09,Proposed,SEK,0.0,Cash
ERIC,160085920.0,INV,2018-01-31,Completed,USD,48000000.0,Cash
ERIC,147519540.0,M&A,2018-01-31,Completed,SEK,0.0,Cash
ERIC,158921980.0,M&A,2018-01-09,Completed,USD,0.0,Cash
ERIC,150826020.0,INV,2017-08-22,Completed,USD,5000000.0,Cash
ERIC,147508060.0,M&A,2017-06-21,Completed,SEK,0.0,Cash
ERIC,143757810.0,M&A,2017-04-11,Withdrawn,SEK,0.0,Cash
ERIC,141568260.0,INV,2017-03-07,Completed,USD,200000000.0,Cash
ERIC,136136080.0,M&A,2016-12-01,Completed,EUR,0.0,Undisclosed
ERIC,132315100.0,M&A,2016-09-22,Withdrawn,SEK,0.0,Cash
ERIC,128281320.0,M&A,2016-07-04,Completed,INR,703600000.0,Cash
ERIC,183381300.0,INV,2016-06-27,Completed,USD,9000000.0,Cash
ERIC,127842210.0,INV,2016-06-27,Completed,USD,9000000.0,Cash
ERIC,127664056.0,INV,2016-06-23,Completed,USD,0.0,Cash
ERIC,126064856.0,M&A,2016-05-24,Completed,SEK,0.0,Cash
ERIC,124710290.0,BUY,2016-04-28,Pending,SEK,130500000.0,
ERIC,124008810.0,INV,2016-04-13,Completed,USD,7000000.0,Cash
ERIC,123582550.0,M&A,2016-04-05,Completed,USD,0.0,Cash
ERIC,120292376.0,M&A,2016-02-08,Completed,EUR,0.0,Cash
ERIC,119093820.0,M&A,2016-01-18,Completed,USD,0.0,Undisclosed
ERIC,116916616.0,INV,2015-11-05,Completed,USD,0.0,Undisclosed
ERIC,114157600.0,M&A,2015-10-15,Completed,PLN,0.0,Cash
ERIC,113251020.0,INV,2015-09-30,Completed,USD,7000000.0,Cash
ERIC,112295100.0,M&A,2015-09-10,Completed,USD,90974060.0,Cash
ERIC,111005624.0,INV,2015-08-11,Completed,USD,12500000.0,Cash
ERIC,110897460.0,M&A,2015-08-07,Completed,GTQ,0.0,Undisclosed
ERIC,104082950.0,M&A,2015-03-16,Completed,HKD,0.0,Cash
ERIC,103157720.0,INV,2015-02-25,Completed,USD,0.0,Cash
ERIC,102959960.0,M&A,2015-02-20,Completed,CAD,0.0,Undisclosed
ERIC,102321130.0,M&A,2015-02-02,Completed,AED,0.0,Cash
ERIC,97566350.0,M&A,2014-10-16,Completed,USD,0.0,Undisclosed
ERIC,96656860.0,M&A,2014-09-26,Completed,EUR,0.0,Undisclosed
ERIC,96451850.0,M&A,2014-09-22,Completed,USD,0.0,Cash
ERIC,96157700.0,M&A,2014-09-12,Completed,USD,95000000.0,Cash
ERIC,96875080.0,M&A,2014-07-29,Completed,USD,7500000.0,Cash
ERIC,94248780.0,M&A,2014-07-29,Completed,USD,0.0,Cash
ERIC,87126840.0,M&A,2014-02-06,Completed,USD,0.0,Undisclosed
ERIC,86317920.0,INV,2014-01-16,Completed,USD,3600000.0,Cash
ERIC,85429530.0,M&A,2013-12-24,Withdrawn,USD,0.0,Cash
ERIC,83281930.0,M&A,2013-11-01,Completed,SEK,55000000.0,Cash
ERIC,81195740.0,M&A,2013-09-06,Completed,USD,0.0,Cash
ERIC,79759970.0,M&A,2013-07-23,Completed,CAD,0.0,Undisclosed
ERIC,79076920.0,M&A,2013-07-01,Completed,KYD,0.0,Undisclosed
ERIC,77864930.0,INV,2013-06-06,Completed,USD,10000000.0,Cash
ERIC,78440560.0,M&A,2013-05-15,Completed,SEK,0.0,Cash
ERIC,76733976.0,M&A,2013-05-03,Completed,SEK,250000000.0,Cash
ERIC,75843544.0,M&A,2013-04-08,Completed,USD,0.0,Cash
ERIC,73209760.0,M&A,2013-01-21,Completed,EUR,0.0,Cash
ERIC,72943150.0,M&A,2013-01-10,Completed,USD,0.0,Cash
ERIC,69328450.0,M&A,2012-10-01,Completed,SEK,0.0,Undisclosed
ERIC,69150720.0,M&A,2012-09-25,Completed,CAD,0.0,Cash
ERIC,68404420.0,INV,2012-09-05,Completed,USD,3000000.0,Cash
ERIC,67951200.0,M&A,2012-08-22,Completed,SEK,0.0,Cash
ERIC,189268180.0,M&A,2012-08-01,Completed,GBP,0.0,Undisclosed
ERIC,62727056.0,INV,2012-03-22,Completed,KRW,0.0,Undisclosed
ERIC,62442264.0,M&A,2012-03-13,Completed,EUR,19000000.0,Cash
ERIC,61827030.0,M&A,2012-02-21,Completed,CAD,0.0,Undisclosed
ERIC,58761576.0,M&A,2011-10-27,Completed,EUR,1050000000.0,Cash
ERIC,55852124.0,M&A,2011-06-30,Completed,USD,4500000000.0,Cash
ERIC,55296810.0,M&A,2011-06-14,Completed,USD,1150000000.0,Cash
ERIC,54047988.0,M&A,2011-04-28,Completed,EUR,0.0,Undisclosed
ERIC,53853724.0,M&A,2011-04-19,Completed,NOK,0.0,Cash
ERIC,51022516.0,M&A,2011-01-04,Completed,SEK,0.0,Cash
ERIC,50670270.0,M&A,2010-12-22,Completed,USD,0.0,Undisclosed
ERIC,50082096.0,M&A,2010-12-01,Completed,USD,50000000.0,Cash
ERIC,48463520.0,M&A,2010-09-27,Completed,USD,65000000.0,Cash
ERIC,48033876.0,M&A,2010-09-07,Completed,USD,0.0,Cash
ERIC,46627828.0,M&A,2010-05-26,Completed,USD,2000000.0,Cash
ERIC,44706944.0,M&A,2010-04-20,Completed,USD,242000000.0,Cash
ERIC,42887508.0,M&A,2010-02-03,Completed,GBP,0.0,Cash
ERIC,42383452.0,M&A,2010-01-12,Completed,EUR,0.0,Undisclosed
ERIC,41296484.0,M&A,2009-11-25,Completed,USD,103000000.0,Cash
ERIC,38801110.0,M&A,2009-07-25,Completed,USD,1130000000.0,Cash
ERIC,43067590.0,M&A,2009-07-03,Completed,EUR,24647350.0,Cash
ERIC,38049080.0,M&A,2009-06-17,Completed,EUR,30000000.0,Cash
ERIC,37582576.0,M&A,2009-05-28,Completed,TRY,0.0,Undisclosed
ERIC,36388520.0,M&A,2009-03-23,Completed,CHF,190000000.0,Cash
ERIC,34798716.0,JV,2008-12-10,Completed,SEK,0.0,Undisclosed
ERIC,33054574.0,JV,2008-08-20,Terminated,USD,1100000000.0,Undisclosed
ERIC,30287264.0,M&A,2008-02-18,Completed,SEK,650000000.0,Cash
ERIC,29454042.0,M&A,2007-12-20,Completed,EUR,0.0,Undisclosed
ERIC,29220420.0,M&A,2007-12-04,Completed,SEK,0.0,Cash
ERIC,26807932.0,M&A,2007-06-08,Completed,SEK,0.0,Undisclosed
ERIC,26671500.0,M&A,2007-06-05,Completed,EUR,94582120.0,Cash
ERIC,26679388.0,M&A,2007-06-05,Completed,SEK,0.0,Cash
ERIC,26689764.0,M&A,2007-06-05,Completed,EUR,180327800.0,Cash
ERIC,26289626.0,M&A,2007-05-08,Completed,NOK,597531800.0,Cash
ERIC,113238570.0,M&A,2007-03-15,Completed,SEK,0.0,Cash
ERIC,25298832.0,M&A,2007-02-26,Completed,NOK,6854542000.0,Cash
ERIC,25146512.0,M&A,2007-02-13,Completed,USD,0.0,Cash
ERIC,151103740.0,M&A,2007-02-12,Completed,USD,0.0,Undisclosed
ERIC,24930320.0,M&A,2007-01-30,Completed,SEK,0.0,Undisclosed
ERIC,24470224.0,M&A,2006-12-20,Completed,USD,1660900000.0,Cash
ERIC,23286964.0,M&A,2006-09-19,Completed,SEK,0.0,Cash
ERIC,23744968.0,M&A,2006-08-31,Completed,EUR,0.0,Cash
ERIC,22087360.0,M&A,2006-06-12,Completed,SEK,3800000000.0,Cash
ERIC,22023828.0,M&A,2006-06-05,Completed,SEK,251898000.0,Cash
ERIC,97684550.0,INV,2006-04-05,Completed,SEK,100000000.0,Cash
ERIC,21300164.0,M&A,2006-04-03,Completed,GBP,0.0,Undisclosed
ERIC,19961336.0,M&A,2005-11-24,Completed,AUD,9500000.0,Cash
ERIC,19653624.0,M&A,2005-10-25,Completed,GBP,1200000000.0,Cash
ERIC,18602130.0,M&A,2005-07-04,Completed,SEK,0.0,Undisclosed
ERIC,18441164.0,M&A,2005-06-20,Completed,NOK,287100500.0,Cash
ERIC,18313692.0,M&A,2005-06-03,Completed,EUR,0.0,Undisclosed
ERIC,18237476.0,INV,2005-05-30,Completed,SEK,239000000.0,Cash
ERIC,17527148.0,M&A,2005-01-27,Completed,EUR,75316840.0,Cash
ERIC,16666192.0,M&A,2004-12-28,Completed,SEK,0.0,Undisclosed
ERIC,16631693.0,M&A,2004-12-22,Completed,EUR,4700000.0,Undisclosed
ERIC,15784745.0,M&A,2004-09-22,Completed,EUR,0.0,Undisclosed
ERIC,14713982.0,M&A,2004-05-24,Completed,SEK,0.0,Undisclosed
ERIC,14429800.0,M&A,2004-04-26,Completed,EUR,135262000.0,Cash
ERIC,13033290.0,M&A,2003-12-01,Completed,SEK,0.0,Undisclosed
ERIC,12625002.0,M&A,2003-10-14,Completed,SEK,0.0,Undisclosed
ERIC,11373947.0,M&A,2003-05-28,Completed,SEK,11410000.0,Cash
ERIC,13231487.0,M&A,2003-02-05,Completed,SEK,0.0,Undisclosed
ERIC,10031851.0,M&A,2003-01-17,Completed,SEK,0.0,Undisclosed
ERIC,9994222.0,M&A,2003-01-15,Completed,SEK,7100000.0,Undisclosed
ERIC,9524171.0,M&A,2002-11-20,Completed,SEK,47100000.0,Cash
ERIC,9111122.0,M&A,2002-09-30,Completed,SEK,0.0,Undisclosed
ERIC,9084191.0,M&A,2002-09-26,Completed,SEK,500000000.0,Undisclosed
ERIC,8808869.0,M&A,2002-08-22,Completed,SEK,0.0,Undisclosed
ERIC,8274117.0,M&A,2002-06-12,Completed,SEK,3664391700.0,Stock
ERIC,7862918.0,M&A,2002-03-12,Completed,SEK,0.0,Stock
ERIC,7582027.0,M&A,2002-01-03,Completed,EUR,0.0,Undisclosed
ERIC,7359406.0,M&A,2001-11-15,Completed,SEK,0.0,Undisclosed
ERIC,7348862.0,INV,2001-11-12,Completed,THB,1824270.0,Cash
ERIC,7286824.0,M&A,2001-10-30,Completed,SEK,351647500.0,Stock
ERIC,7216192.0,M&A,2001-10-05,Completed,SEK,0.0,Undisclosed
ERIC,7182935.0,M&A,2001-10-01,Completed,SEK,0.0,Undisclosed
ERIC,7167636.0,M&A,2001-09-26,Completed,SEK,0.0,Undisclosed
ERIC,7067368.0,M&A,2001-08-28,Completed,SEK,6780000.0,Cash
ERIC,7049383.0,M&A,2001-08-23,Completed,USD,0.0,Undisclosed
ERIC,6757008.0,INV,2001-05-25,Completed,SEK,50000000.0,Undisclosed
ERIC,6593250.0,M&A,2001-05-07,Completed,SEK,225000000.0,Undisclosed
ERIC,14730624.0,JV,2001-04-24,Completed,JPY,0.0,Undisclosed
ERIC,6365854.0,M&A,2001-03-08,Completed,SEK,4725000000.0,Cash
ERIC,5967707.0,M&A,2000-10-13,Completed,USD,93088950.0,Cash
ERIC,5956300.0,M&A,2000-10-09,Completed,SEK,0.0,Undisclosed
ERIC,5889098.0,M&A,2000-09-12,Completed,SEK,10000000.0,Cash
ERIC,5889094.0,M&A,2000-09-12,Completed,SEK,223000000.0,Stock
ERIC,5839486.0,INV,2000-08-22,Completed,SEK,0.0,Undisclosed
