ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
FB,196238060.0,INV,2019-08-11,Completed,USD,125000000.0,Cash
FB,195245540.0,INV,2019-06-13,Completed,USD,25000000.0,Cash
FB,186919710.0,M&A,2019-02-08,Completed,USD,0.0,Cash
FB,186660350.0,M&A,2019-02-04,Completed,GIP,0.0,Undisclosed
FB,182079000.0,INV,2018-11-28,Completed,USD,1000000.0,Cash
FB,176139500.0,M&A,2018-08-17,Completed,USD,0.0,Cash
FB,174821070.0,M&A,2018-07-26,Completed,USD,0.0,Cash
FB,173080600.0,M&A,2018-07-02,Completed,GBP,0.0,Undisclosed
FB,159622400.0,M&A,2018-01-23,Completed,USD,0.0,Cash
FB,153870140.0,M&A,2017-10-16,Completed,USD,0.0,Undisclosed
FB,150390270.0,M&A,2017-08-11,Completed,EUR,0.0,Undisclosed
FB,149711300.0,M&A,2017-08-01,Completed,USD,0.0,Undisclosed
FB,149298850.0,M&A,2017-07-24,Completed,USD,0.0,Cash
FB,137765860.0,M&A,2016-12-28,Withdrawn,USD,0.0,Undisclosed
FB,135441040.0,M&A,2016-11-16,Completed,USD,0.0,Undisclosed
FB,135065730.0,M&A,2016-11-11,Completed,USD,0.0,Undisclosed
FB,133601736.0,M&A,2016-10-17,Completed,EUR,0.0,Undisclosed
FB,132139670.0,M&A,2016-09-19,Completed,USD,0.0,Undisclosed
FB,126047980.0,M&A,2016-05-23,Completed,GBP,0.0,Undisclosed
FB,122205490.0,M&A,2016-03-09,Completed,USD,0.0,Undisclosed
FB,113233260.0,M&A,2015-09-30,Completed,USD,0.0,Cash
FB,109765490.0,M&A,2015-07-16,Completed,USD,0.0,Cash
FB,104030640.0,M&A,2015-03-13,Completed,USD,0.0,Cash
FB,101523210.0,M&A,2015-01-16,Completed,CAD,0.0,Undisclosed
FB,101207820.0,M&A,2015-01-08,Completed,USD,0.0,Undisclosed
FB,101036900.0,M&A,2015-01-05,Completed,USD,0.0,Cash
FB,100184220.0,INV,2014-12-16,Completed,CAD,3100000.0,Cash
FB,99928090.0,M&A,2014-12-11,Completed,USD,0.0,Undisclosed
FB,94713930.0,M&A,2014-08-07,Pending,USD,0.0,Undisclosed
FB,93277230.0,M&A,2014-07-02,Pending,USD,0.0,Undisclosed
FB,92044970.0,M&A,2014-06-03,Pending,EUR,0.0,Undisclosed
FB,90347300.0,M&A,2014-04-24,Completed,EUR,0.0,Undisclosed
FB,89958200.0,M&A,2014-04-14,Completed,GBP,0.0,Undisclosed
