ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
FISV,194345420.0,INV,2019-05-30,Completed,USD,82500000.0,Cash
FISV,185261660.0,M&A,2019-01-16,Completed,USD,38170650000.0,Stock
FISV,178275490.0,M&A,2018-09-25,Completed,USD,690000000.0,Cash
FISV,160567490.0,M&A,2018-02-07,Completed,USD,419000000.0,Cash
FISV,157572820.0,M&A,2017-12-19,Completed,GBP,36500000.0,Cash
FISV,150815090.0,M&A,2017-08-21,Completed,GBP,0.0,Undisclosed
FISV,150822480.0,M&A,2017-08-21,Completed,GBP,0.0,Undisclosed
FISV,149751070.0,M&A,2017-08-01,Completed,USD,0.0,Undisclosed
FISV,147078720.0,M&A,2017-06-13,Completed,GBP,45701816.0,Cash
FISV,139901090.0,M&A,2017-02-06,Completed,USD,0.0,Cash
FISV,136820000.0,M&A,2016-12-13,Completed,USD,0.0,Undisclosed
FISV,120444984.0,M&A,2016-02-05,Completed,USD,0.0,Cash
FISV,119234790.0,M&A,2016-01-20,Completed,USD,200000000.0,Cash
FISV,112292740.0,INV,2015-09-10,Completed,USD,30000000.0,Cash
FISV,76409620.0,M&A,2013-04-25,Completed,USD,0.0,Cash
FISV,75041096.0,M&A,2013-03-14,Completed,USD,0.0,Cash
FISV,73002984.0,M&A,2013-01-14,Completed,USD,1015000000.0,Cash
FISV,55794844.0,M&A,2011-06-29,Completed,USD,465000000.0,Cash
FISV,52435330.0,M&A,2011-03-01,Completed,USD,0.0,Undisclosed
FISV,52413836.0,M&A,2011-02-28,Completed,USD,0.0,Undisclosed
FISV,50901870.0,M&A,2010-12-31,Completed,USD,0.0,Cash
FISV,45843450.0,M&A,2010-06-07,Completed,USD,0.0,Undisclosed
FISV,42625604.0,M&A,2010-01-25,Completed,USD,0.0,Undisclosed
FISV,40075124.0,M&A,2009-09-28,Completed,USD,0.0,Cash
FISV,34870670.0,M&A,2008-12-16,Completed,USD,40000000.0,Cash
FISV,34097130.0,M&A,2008-11-03,Completed,EUR,0.0,Undisclosed
