ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
GILD,197269680.0,INV,2019-07-14,Pending,EUR,747635260.0,Cash
GILD,193860500.0,INV,2019-05-23,Completed,USD,120000000.0,Cash
GILD,193688210.0,INV,2019-05-22,Completed,USD,120000000.0,Cash
GILD,185993230.0,INV,2019-01-29,Completed,USD,55000000.0,Cash
GILD,179144540.0,INV,2018-10-09,Completed,USD,22000000.0,Cash
GILD,176342660.0,M&A,2018-08-22,Completed,USD,3000000.0,Cash
GILD,174398700.0,M&A,2018-07-19,Pending,EUR,300000000.0,Cash
GILD,164557010.0,M&A,2018-04-18,Completed,JPY,0.0,Cash
GILD,159603400.0,INV,2018-01-23,Completed,USD,135000000.0,Cash
GILD,159697490.0,INV,2017-12-11,Completed,EUR,50000000.0,Cash
GILD,156852740.0,M&A,2017-12-07,Completed,USD,567000000.0,Cash
GILD,151098430.0,M&A,2017-08-28,Completed,USD,10104620000.0,Cash
GILD,140982320.0,M&A,2017-02-16,Completed,USD,0.0,Cash
GILD,123505944.0,M&A,2016-04-04,Completed,USD,400000000.0,Cash
GILD,116825976.0,INV,2015-12-08,Completed,USD,725000000.0,Cash
GILD,106523530.0,M&A,2015-05-06,Completed,USD,65000000.0,Cash
GILD,101075624.0,M&A,2015-01-06,Completed,EUR,0.0,Cash
GILD,94882910.0,M&A,2014-08-12,Completed,CAD,0.0,Cash
GILD,71842740.0,M&A,2012-12-12,Completed,USD,337133100.0,Cash
GILD,66572624.0,M&A,2012-07-19,Completed,USD,180000000.0,Cash
GILD,59383850.0,M&A,2011-11-21,Completed,USD,10605880000.0,Cash
GILD,56799330.0,M&A,2011-08-08,Completed,CHF,0.0,Cash
GILD,64878868.0,M&A,2011-02-22,Completed,USD,375000000.0,Cash
GILD,50596296.0,M&A,2010-12-20,Completed,USD,225000000.0,Cash
GILD,163041170.0,M&A,2010-06-25,Completed,USD,0.0,Cash
GILD,46280890.0,M&A,2010-06-25,Completed,USD,0.0,Cash
GILD,40945150.0,M&A,2009-11-06,Completed,USD,0.0,Cash
GILD,38394380.0,M&A,2009-07-02,Completed,USD,23200000.0,Cash
GILD,36248616.0,M&A,2009-03-12,Completed,USD,1337473000.0,Cash
GILD,33955004.0,M&A,2008-10-23,Completed,USD,137500000.0,Cash
GILD,31916548.0,M&A,2008-05-29,Completed,USD,0.0,Cash
GILD,29386476.0,M&A,2007-09-06,Completed,SEK,34000000.0,Cash
GILD,23434576.0,M&A,2006-10-02,Completed,USD,2152252000.0,Cash
GILD,22512936.0,M&A,2006-07-19,Completed,USD,365000000.0,Undisclosed
GILD,22042500.0,M&A,2006-06-06,Completed,EUR,115200000.0,Cash
GILD,58330224.0,INV,2006-05-12,Completed,USD,35000000.0,Cash
GILD,21723796.0,M&A,2006-05-11,Completed,USD,0.0,Cash
GILD,18740424.0,M&A,2005-07-18,Completed,USD,525000000.0,Cash
GILD,12109535.0,M&A,2003-08-14,Completed,USD,123000000.0,Cash
GILD,9666278.0,M&A,2002-12-04,Completed,USD,402678000.0,Cash
GILD,7391862.0,M&A,2001-11-26,Completed,USD,173259470.0,Cash and Stock
GILD,7047666.0,M&A,2001-08-22,Completed,USD,14300000.0,Cash
GILD,6090344.0,M&A,2000-12-05,Completed,GBP,0.0,Undisclosed
GILD,4463143.0,M&A,1999-03-01,Completed,USD,541710500.0,Stock & Debt
GILD,3880948.0,M&A,1998-12-18,Completed,,6000000.0,
GILD,66355824.0,INV,1987-12-31,Completed,USD,1500000.0,Cash
