ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
GOLD,198906720.0,M&A,2019-08-08,Proposed,USD,0.0,Cash
GOLD,179861600.0,M&A,2019-07-19,Pending,GBP,225912700.0,Stock
GOLD,196859580.0,M&A,2019-07-05,Proposed,USD,500000000.0,Cash
GOLD,193139100.0,M&A,2019-05-14,Proposed,CAD,0.0,Cash
GOLD,188848240.0,JV,2019-03-11,Pending,USD,0.0,Undisclosed
GOLD,187711820.0,M&A,2019-02-22,Withdrawn,CAD,24507093000.0,Stock
GOLD,183147490.0,INV,2018-12-14,Completed,CAD,5355000.0,Cash
GOLD,182617520.0,M&A,2018-12-06,Withdrawn,CAD,0.0,Undisclosed
GOLD,178189950.0,M&A,2018-09-24,Completed,USD,5383707000.0,Stock
GOLD,166416820.0,INV,2018-05-09,Completed,CAD,0.0,Cash
GOLD,163126030.0,INV,2018-01-24,Completed,CAD,1580100.0,Cash
GOLD,158259870.0,INV,2017-12-18,Completed,CAD,0.0,Cash
GOLD,147147310.0,JV,2017-06-13,Completed,USD,0.0,Undisclosed
GOLD,143451460.0,M&A,2017-04-06,Completed,USD,960000000.0,Cash
GOLD,142788640.0,INV,2017-03-28,Completed,CAD,260000000.0,Cash
GOLD,134252300.0,M&A,2016-10-28,Pending,CAD,2714362.5,Cash and Stock
GOLD,129546184.0,M&A,2016-07-29,Withdrawn,USD,1300000000.0,Cash
GOLD,127525880.0,M&A,2016-06-21,Completed,USD,93335240.0,Cash and Stock
GOLD,126488040.0,M&A,2016-06-01,Completed,CAD,0.0,Cash
GOLD,121021010.0,M&A,2016-02-23,Completed,CAD,3256000.0,Stock
GOLD,115663560.0,M&A,2015-11-12,Completed,USD,610000000.0,Cash
GOLD,115664344.0,M&A,2015-11-12,Completed,CAD,110000000.0,Cash
GOLD,108470696.0,M&A,2015-07-30,Completed,USD,1005000000.0,Cash
GOLD,109737416.0,M&A,2015-07-16,Withdrawn,CAD,0.0,Cash
GOLD,107319550.0,INV,2015-05-26,Completed,USD,298000000.0,Cash
GOLD,107241690.0,M&A,2015-05-25,Completed,USD,550000000.0,Cash
GOLD,104010110.0,M&A,2015-03-13,Completed,USD,0.0,Cash
GOLD,103901360.0,M&A,2015-03-11,Completed,USD,4750000.0,Cash
GOLD,103915160.0,M&A,2015-03-11,Completed,CAD,0.0,Cash
GOLD,102943944.0,M&A,2015-02-20,Pending,USD,0.0,Undisclosed
GOLD,93647020.0,JV,2014-07-14,Completed,USD,210000000.0,Cash
GOLD,90163190.0,M&A,2014-04-21,Withdrawn,USD,0.0,Stock
GOLD,87756620.0,JV,2014-02-24,Completed,CAD,38000000.0,Cash
GOLD,86993576.0,M&A,2014-02-03,Completed,USD,275100000.0,Cash
GOLD,86514690.0,M&A,2014-01-22,Completed,AUD,75000000.0,Cash
GOLD,85366664.0,M&A,2013-12-22,Completed,AUD,25000000.0,Cash
GOLD,80705610.0,M&A,2013-08-22,Completed,USD,270000000.0,Cash or Stock
GOLD,79763330.0,M&A,2013-07-23,Completed,CAD,455000000.0,Cash
GOLD,64770572.0,M&A,2012-05-25,Completed,USD,15000000.0,Cash
GOLD,61315132.0,M&A,2012-02-01,Completed,CAD,513750.03,Stock
GOLD,57782720.0,INV,2011-08-12,Completed,CAD,20000000.0,Cash
GOLD,56901184.0,M&A,2011-08-11,Completed,CAD,0.0,Cash
GOLD,59954470.0,M&A,2011-06-30,Completed,USD,185000000.0,Cash
GOLD,54249450.0,M&A,2011-05-05,Completed,CAD,60494000.0,Stock
GOLD,54029030.0,M&A,2011-04-28,Completed,AUD,28987500.0,Stock
GOLD,53926804.0,M&A,2011-04-25,Completed,CAD,7458823000.0,Cash
GOLD,46564724.0,M&A,2010-07-07,Completed,AUD,5331825.0,Cash and Stock
GOLD,45532440.0,M&A,2010-05-25,Completed,AUD,17400000.0,Cash
GOLD,48218770.0,M&A,2010-04-16,Terminated,USD,15000000.0,Cash
GOLD,44463830.0,M&A,2010-04-08,Completed,CAD,35200000.0,Cash
GOLD,43177970.0,M&A,2010-02-17,Completed,CAD,475000000.0,Cash
GOLD,42955504.0,M&A,2010-02-08,Completed,AUD,360000.0,Cash and Stock
GOLD,40367588.0,M&A,2009-10-12,Terminated,USD,465000000.0,Cash
GOLD,39679708.0,M&A,2009-09-08,Completed,USD,625000000.0,Cash
GOLD,60316410.0,M&A,2009-03-16,Completed,USD,0.0,Cash
GOLD,35916544.0,M&A,2009-02-20,Completed,USD,65000000.0,Cash
GOLD,32911414.0,M&A,2008-08-06,Completed,CAD,87500000.0,Cash
GOLD,32997304.0,M&A,2008-07-31,Completed,USD,150000000.0,Cash
GOLD,32662658.0,M&A,2008-07-22,Completed,GBP,385000.0,Stock
GOLD,32565002.0,M&A,2008-07-14,Completed,CAD,410000000.0,Cash
GOLD,30853340.0,INV,2008-03-27,Completed,AUD,15000000.0,Cash
GOLD,30345100.0,M&A,2008-02-21,Completed,USD,1695000000.0,Cash
GOLD,28632576.0,M&A,2007-10-29,Completed,CAD,755757800.0,Cash
GOLD,28581252.0,M&A,2007-10-25,Completed,USD,141500000.0,Cash
GOLD,27447512.0,M&A,2007-08-01,Completed,AUD,1000000.0,Cash
GOLD,25934350.0,M&A,2007-04-12,Completed,USD,250000000.0,Cash
GOLD,25338438.0,M&A,2007-02-28,Completed,CAD,0.0,Cash
GOLD,25240688.0,M&A,2007-02-21,Completed,GBP,2572738.0,Cash and Debt
GOLD,25216584.0,M&A,2007-02-19,Completed,CAD,0.0,Cash
GOLD,23910540.0,M&A,2006-11-14,Completed,AUD,62000000.0,Cash
GOLD,23871720.0,INV,2006-11-02,Terminated,GBP,0.0,Stock
GOLD,23197928.0,M&A,2006-09-11,Completed,USD,1525000000.0,Cash and Stock
GOLD,22545076.0,INV,2006-07-24,Completed,CAD,239331730.0,Cash
GOLD,22545536.0,M&A,2006-07-24,Completed,CAD,60066500.0,Cash
GOLD,22269980.0,M&A,2006-06-27,Completed,CAD,0.0,Undisclosed
GOLD,19722288.0,M&A,2005-10-31,Completed,USD,1600000000.0,Cash
GOLD,19721784.0,M&A,2005-10-31,Completed,USD,10178560000.0,Cash and Stock
GOLD,19629132.0,M&A,2005-10-20,Completed,CAD,488800.0,Cash and Stock
GOLD,19549768.0,M&A,2005-10-11,Completed,USD,0.0,Undisclosed
GOLD,18390112.0,M&A,2005-04-19,Completed,CAD,18717748.0,Cash
GOLD,16433888.0,INV,2004-12-02,Completed,GBP,14900000.0,Undisclosed
GOLD,16284934.0,M&A,2004-11-17,Completed,CAD,367725.0,Stock
GOLD,15673725.0,M&A,2004-09-06,Completed,CAD,40000.0,Cash
GOLD,15026336.0,M&A,2004-06-28,Completed,CAD,4922937.5,Undisclosed
GOLD,16696597.0,INV,2004-01-28,Completed,GBP,22000000.0,Cash
GOLD,38878350.0,M&A,2004-01-16,Completed,CAD,2500000.0,Cash
GOLD,12624138.0,INV,2003-10-14,Completed,GBP,0.0,Stock
GOLD,38878230.0,M&A,2003-04-08,Completed,AUD,9500000.0,Cash
GOLD,10471767.0,M&A,2003-02-24,Completed,CAD,0.0,Undisclosed
GOLD,9196123.0,M&A,2002-10-08,Completed,CAD,3930000.0,Undisclosed
GOLD,38877770.0,M&A,2002-06-04,Completed,USD,0.0,Undisclosed
GOLD,7511604.0,M&A,2001-06-25,Completed,CAD,0.0,Stock
GOLD,6800365.0,M&A,2001-06-25,Completed,USD,2372265000.0,Stock
GOLD,6564249.0,M&A,2001-05-01,Completed,CAD,920800.0,Stock
GOLD,5710985.0,M&A,2000-06-30,Completed,CAD,156513000.0,Cash
GOLD,4645703.0,M&A,1999-06-21,Completed,CAD,5881200.0,Cash
GOLD,4432843.0,M&A,1999-02-18,Completed,CAD,493421000.0,Stock
GOLD,3521029.0,M&A,1998-12-09,Terminated,CAD,149174000.0,Cash
GOLD,1986516.0,M&A,1998-03-30,Completed,CAD,0.0,Undisclosed
GOLD,122937.0,M&A,1998-01-19,Completed,,95000000.0,
GOLD,10934210.0,M&A,1996-07-11,Completed,CAD,961233800.0,Cash or Stock
GOLD,5693150.0,M&A,1994-07-25,Completed,CAD,2230150700.0,Cash and Stock
