ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
INTC,198113400.0,M&A,2019-07-29,Pending,USD,0.0,Undisclosed
INTC,195142160.0,M&A,2019-07-25,Pending,USD,1000000000.0,Cash
INTC,195066860.0,M&A,2019-06-10,Pending,USD,0.0,Cash
INTC,191635870.0,M&A,2019-04-24,Pending,USD,400000000.0,Cash
INTC,191188020.0,M&A,2019-04-16,Completed,GBP,0.0,Cash
INTC,187421940.0,M&A,2019-02-17,Completed,USD,0.0,Cash
INTC,183248670.0,M&A,2018-12-17,Withdrawn,USD,0.0,Cash
INTC,179641440.0,M&A,2018-10-18,Pending,USD,1500000000.0,Cash
INTC,177461900.0,M&A,2018-09-10,Completed,USD,0.0,Cash
INTC,176113760.0,M&A,2018-08-17,Completed,USD,0.0,Undisclosed
INTC,174079170.0,M&A,2018-07-12,Completed,USD,0.0,Cash
INTC,170979330.0,M&A,2018-06-25,Pending,USD,0.0,Cash
INTC,163829620.0,M&A,2018-04-03,Completed,USD,0.0,Cash
INTC,163890620.0,M&A,2018-03-09,Withdrawn,USD,104173400000.0,Undisclosed
INTC,160361900.0,M&A,2018-02-01,Proposed,USD,350000000.0,Cash
INTC,197822800.0,INV,2017-11-06,Completed,EUR,5000000.0,Cash
INTC,157104660.0,M&A,2017-08-30,Completed,USD,175000000.0,Cash
INTC,150500860.0,M&A,2017-08-15,Completed,USD,0.0,Undisclosed
INTC,173276510.0,M&A,2017-06-29,Completed,CNY,0.0,Cash
INTC,147156050.0,INV,2017-06-14,Completed,USD,102000000.0,Cash
INTC,145984720.0,M&A,2017-05-24,Completed,USD,0.0,Cash
INTC,141893460.0,M&A,2017-03-13,Completed,USD,14131970000.0,Cash
INTC,138158910.0,INV,2017-01-03,Completed,USD,0.0,Undisclosed
INTC,170484030.0,M&A,2016-11-03,Completed,USD,0.0,Cash
INTC,133056310.0,M&A,2016-10-05,Completed,USD,0.0,Cash
INTC,132076740.0,M&A,2016-09-16,Completed,USD,0.0,Cash and Stock
INTC,127788500.0,M&A,2016-09-07,Completed,USD,1100000000.0,Cash
INTC,159513070.0,M&A,2016-09-06,Completed,USD,0.0,Cash
INTC,130193040.0,M&A,2016-08-09,Completed,USD,0.0,Cash
INTC,129564800.0,INV,2016-07-29,Completed,INR,2510000000.0,Cash
INTC,126267850.0,M&A,2016-05-26,Completed,USD,0.0,Undisclosed
INTC,123601390.0,M&A,2016-04-05,Completed,USD,0.0,Cash
INTC,122341360.0,M&A,2016-03-11,Withdrawn,USD,1000000000.0,Cash
INTC,122178424.0,M&A,2016-03-09,Pending,USD,0.0,Undisclosed
INTC,119086770.0,M&A,2016-01-18,Completed,CAD,0.0,Undisclosed
INTC,114750130.0,M&A,2016-01-14,Completed,USD,0.0,Undisclosed
INTC,118479540.0,M&A,2016-01-04,Completed,EUR,0.0,Undisclosed
INTC,115077140.0,INV,2015-11-03,Completed,ILS,0.0,Cash
INTC,114599590.0,M&A,2015-10-26,Completed,USD,0.0,Cash
INTC,118410670.0,M&A,2015-10-08,Pending,KRW,0.0,Cash
INTC,113612370.0,M&A,2015-10-02,Completed,USD,0.0,Undisclosed
INTC,114351070.0,M&A,2015-10-01,Completed,CNY,0.0,Cash
INTC,112645096.0,M&A,2015-09-17,Completed,USD,0.0,Cash
INTC,111561500.0,M&A,2015-08-25,Pending,USD,0.0,Undisclosed
INTC,111558660.0,M&A,2015-07-31,Completed,USD,0.0,Cash
INTC,110431410.0,M&A,2015-07-31,Completed,USD,100000000.0,Cash
INTC,110016136.0,M&A,2015-07-23,Pending,USD,0.0,Undisclosed
INTC,109963736.0,M&A,2015-07-22,Completed,USD,0.0,Cash
INTC,108380750.0,M&A,2015-06-17,Completed,USD,0.0,Cash
INTC,104686110.0,M&A,2015-06-01,Completed,USD,14354615000.0,Cash
INTC,103508990.0,M&A,2015-03-03,Completed,USD,267000000.0,Cash
INTC,102092820.0,M&A,2015-02-02,Completed,USD,383000000.0,Cash
INTC,101037020.0,INV,2015-01-05,Completed,USD,24800000.0,Cash
INTC,99334056.0,M&A,2014-12-01,Completed,USD,0.0,Undisclosed
INTC,96559300.0,INV,2014-09-26,Pending,CNY,9000000000.0,Cash
INTC,96017960.0,M&A,2014-09-10,Completed,USD,0.0,Cash
INTC,94944280.0,M&A,2014-08-13,Completed,USD,650000000.0,Cash
INTC,89316440.0,INV,2014-03-27,Completed,USD,740000000.0,Cash
INTC,89086776.0,M&A,2014-03-25,Completed,USD,0.0,Undisclosed
INTC,152209940.0,M&A,2014-02-10,Completed,USD,0.0,Cash
INTC,86423340.0,M&A,2014-01-21,Completed,USD,0.0,Cash
INTC,85033000.0,M&A,2013-12-16,Completed,USD,0.0,Cash
INTC,83667976.0,M&A,2013-11-11,Withdrawn,USD,500000000.0,Cash
INTC,83626824.0,M&A,2013-11-08,Completed,USD,0.0,Undisclosed
INTC,82832210.0,M&A,2013-10-01,Completed,AUD,0.0,Undisclosed
INTC,84796910.0,M&A,2013-09-13,Completed,USD,26000000.0,Cash
INTC,81542580.0,M&A,2013-08-13,Completed,JPY,0.0,Undisclosed
INTC,79759360.0,M&A,2013-07-23,Completed,USD,0.0,Undisclosed
INTC,79593144.0,M&A,2013-07-17,Completed,USD,40000000.0,Cash
INTC,77459464.0,M&A,2013-05-28,Completed,EUR,0.0,Cash
INTC,85040100.0,M&A,2013-05-24,Completed,CHF,0.0,Cash
INTC,76930760.0,M&A,2013-05-09,Completed,USD,120000000.0,Cash
INTC,76778780.0,M&A,2013-05-06,Completed,EUR,281167140.0,Cash
INTC,76330260.0,M&A,2013-04-23,Completed,USD,0.0,Undisclosed
INTC,149496850.0,M&A,2013-04-17,Completed,USD,0.0,Cash
