ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
INTU,194210910.0,M&A,2019-05-28,Pending,USD,0.0,Cash
INTU,174331470.0,M&A,2018-07-18,Completed,USD,0.0,Cash
INTU,168570980.0,M&A,2018-01-29,Completed,USD,0.0,Undisclosed
INTU,156666850.0,M&A,2017-12-05,Completed,USD,340000000.0,Cash
INTU,154401250.0,M&A,2017-10-26,Completed,CHF,0.0,Undisclosed
INTU,129847110.0,INV,2016-08-02,Completed,USD,11050000.0,Cash
INTU,122118850.0,M&A,2016-03-08,Completed,USD,0.0,Cash
INTU,111400024.0,M&A,2016-03-04,Completed,USD,0.0,Cash
INTU,119036180.0,M&A,2016-01-15,Completed,USD,0.0,Undisclosed
INTU,104548376.0,M&A,2015-03-24,Completed,USD,0.0,Undisclosed
INTU,104157840.0,INV,2015-03-17,Completed,USD,1100000.0,Cash
INTU,102433350.0,M&A,2015-02-08,Completed,USD,10000000.0,Cash
INTU,108270180.0,M&A,2015-01-16,Completed,BRL,36400000.0,Cash
INTU,101920560.0,M&A,2014-11-26,Completed,USD,0.0,Cash
INTU,94296856.0,M&A,2014-07-30,Completed,INR,0.0,Undisclosed
INTU,95445970.0,M&A,2014-07-30,Completed,GBP,0.0,Undisclosed
INTU,91843416.0,M&A,2014-05-29,Completed,USD,0.0,Undisclosed
INTU,188753570.0,M&A,2014-05-27,Completed,USD,360000000.0,Cash
INTU,84973410.0,M&A,2013-12-04,Completed,USD,0.0,Undisclosed
INTU,84011990.0,M&A,2013-11-20,Completed,USD,0.0,Undisclosed
INTU,93104280.0,M&A,2013-10-30,Completed,USD,0.0,Undisclosed
INTU,79086570.0,M&A,2013-07-01,Completed,USD,1025000000.0,Cash
INTU,84606344.0,M&A,2013-06-21,Completed,USD,0.0,Undisclosed
INTU,87135280.0,M&A,2013-01-28,Completed,USD,0.0,Undisclosed
INTU,67736960.0,M&A,2012-08-15,Completed,USD,60000000.0,Cash
INTU,63818936.0,M&A,2012-04-27,Completed,USD,423500000.0,Cash
INTU,63283920.0,M&A,2012-04-11,Completed,USD,20000000.0,Cash
INTU,62262816.0,M&A,2012-03-06,Completed,USD,20000000.0,Cash
INTU,55725930.0,M&A,2011-06-27,Completed,USD,0.0,Cash
INTU,45195428.0,M&A,2010-05-10,Completed,USD,91000000.0,Cash
INTU,41433784.0,M&A,2009-12-01,Completed,USD,128000000.0,Cash
INTU,39795624.0,M&A,2009-09-14,Completed,USD,170000000.0,Cash
INTU,37707228.0,M&A,2009-06-02,Completed,USD,170000000.0,Cash
INTU,35037550.0,M&A,2008-11-23,Completed,USD,0.0,Undisclosed
INTU,29440052.0,M&A,2007-12-19,Completed,USD,114101096.0,Cash
INTU,29027676.0,M&A,2007-11-26,Completed,USD,170000000.0,Cash
INTU,27171572.0,M&A,2007-07-09,Completed,USD,100000000.0,Cash
INTU,25270616.0,M&A,2007-02-22,Completed,USD,0.0,Cash
INTU,24387808.0,M&A,2006-12-14,Terminated,USD,124257336.0,Cash
INTU,24098966.0,M&A,2006-11-30,Completed,USD,1220891900.0,Cash
INTU,23235332.0,M&A,2006-09-13,Completed,USD,0.0,Undisclosed
INTU,21684640.0,M&A,2006-05-08,Completed,USD,0.0,Cash
INTU,19486948.0,M&A,2005-10-05,Completed,USD,200000000.0,Cash
INTU,19056124.0,M&A,2005-08-22,Completed,USD,7000000.0,Cash
INTU,19764952.0,M&A,2005-01-02,Completed,USD,20000000.0,Cash
INTU,16266420.0,M&A,2004-11-15,Completed,USD,11037500.0,Cash
INTU,12268495.0,M&A,2003-09-02,Completed,USD,116000000.0,Cash
INTU,11821882.0,M&A,2003-07-14,Completed,USD,10000000.0,Stock
INTU,9831998.0,M&A,2002-12-24,Completed,USD,78913480.0,Cash
INTU,8762325.0,M&A,2002-08-14,Completed,USD,170000000.0,Cash
INTU,8394113.0,M&A,2002-06-27,Completed,USD,85000000.0,Cash
INTU,8338924.0,M&A,2002-06-20,Completed,USD,0.0,Cash
INTU,8226090.0,M&A,2002-06-04,Completed,USD,92000000.0,Cash
INTU,8114559.0,M&A,2002-05-13,Completed,USD,26000000.0,Cash and Stock
INTU,8096098.0,M&A,2002-05-08,Completed,USD,78000000.0,Cash and Stock
INTU,7345239.0,M&A,2001-11-09,Completed,AUD,0.0,Undisclosed
INTU,7157544.0,M&A,2001-09-24,Completed,USD,34000000.0,Stock
INTU,6628794.0,M&A,2001-05-16,Completed,USD,0.0,Cash or Stock
INTU,6616091.0,INV,2001-05-14,Completed,AUD,3000000.0,Cash
INTU,6514190.0,M&A,2001-04-17,Completed,USD,63000000.0,Cash
INTU,6274497.0,M&A,2000-12-21,Completed,USD,0.0,Undisclosed
INTU,6065775.0,M&A,2000-11-27,Completed,USD,15542100.0,Stock
INTU,6044304.0,M&A,2000-11-16,Completed,USD,34000000.0,Stock
INTU,5863083.0,M&A,2000-07-10,Completed,USD,115000000.0,Cash
INTU,5720715.0,INV,2000-05-24,Completed,USD,0.0,Undisclosed
INTU,4865515.0,M&A,1999-10-07,Completed,USD,6000000.0,Stock
INTU,4865473.0,M&A,1999-10-07,Completed,USD,369143700.0,Stock
INTU,4763442.0,M&A,1999-08-12,Completed,USD,0.0,Undisclosed
INTU,4402065.0,M&A,1999-03-02,Completed,USD,200000000.0,Cash and Stock
INTU,1989982.0,M&A,1998-05-18,Completed,USD,400000000.0,Cash
INTU,4651343.0,M&A,1996-09-16,Completed,USD,227000000.0,Stock
INTU,1975762.0,M&A,1994-10-13,Terminated,USD,2100000000.0,Stock
INTU,14458341.0,M&A,1993-12-13,Completed,USD,306400000.0,Stock
