ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
ISRG,197594340.0,M&A,2019-07-15,Completed,USD,100000000.0,Cash
ISRG,185600670.0,M&A,2019-02-13,Completed,USD,3400000000.0,Cash
ISRG,170035780.0,INV,2018-06-12,Completed,USD,15000000.0,Cash
ISRG,132662400.0,JV,2016-09-29,Completed,USD,60000000.0,Undisclosed
ISRG,117935600.0,M&A,2015-12-23,Pending,USD,9000000.0,Cash
ISRG,185810510.0,INV,2014-04-01,Completed,USD,34400000.0,Cash
ISRG,86478060.0,M&A,2014-01-22,Completed,USD,12000000.0,Cash
ISRG,57957710.0,INV,2011-03-07,Completed,USD,15000000.0,Cash
ISRG,101644990.0,M&A,2009-05-15,Completed,USD,0.0,Undisclosed
ISRG,67817730.0,INV,2009-03-04,Completed,USD,150000000.0,Cash
ISRG,29438972.0,M&A,2007-10-29,Completed,USD,4000000.0,Cash
ISRG,10630403.0,M&A,2003-03-07,Completed,USD,40983536.0,Stock
ISRG,86641336.0,INV,1996-12-31,Completed,USD,5000000.0,Cash
