ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
KHC,191512380.0,M&A,2019-04-23,Proposed,USD,2000000000.0,Cash
KHC,188945800.0,M&A,2019-03-12,Proposed,USD,400000000.0,Cash
KHC,191766270.0,M&A,2019-02-25,Proposed,USD,0.0,Cash
KHC,182094060.0,M&A,2018-11-29,Completed,USD,200000000.0,Undisclosed
KHC,180916700.0,M&A,2018-11-06,Completed,CAD,1620000000.0,Cash
KHC,179910160.0,M&A,2018-10-24,Completed,INR,46000000000.0,Cash
KHC,178217340.0,M&A,2018-09-24,Completed,CAD,0.0,Cash
KHC,170334690.0,M&A,2018-06-18,Withdrawn,USD,800000000.0,Cash
KHC,155049360.0,M&A,2017-11-06,Pending,USD,0.0,Undisclosed
KHC,154030660.0,M&A,2017-10-19,Completed,JPY,26000000000.0,Cash
KHC,154042480.0,M&A,2017-10-18,Completed,USD,0.0,Cash
KHC,148056100.0,M&A,2017-06-30,Completed,USD,0.0,Cash
KHC,140568450.0,M&A,2017-02-17,Withdrawn,USD,163350900000.0,Cash and Stock
KHC,139526200.0,JV,2017-01-31,Pending,USD,0.0,Undisclosed
KHC,136916140.0,M&A,2016-12-14,Withdrawn,USD,66147205000.0,Undisclosed
KHC,135989040.0,M&A,2016-11-29,Completed,USD,0.0,Cash
KHC,92135510.0,M&A,2014-05-26,Completed,USD,0.0,Undisclosed
