ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
LBTYA,199058960.0,BUY,2019-08-12,Pending,USD,1875000000.0,
LBTYA,199058430.0,BUY,2019-08-12,Pending,USD,625000000.0,
LBTYA,186543870.0,M&A,2019-02-27,Pending,CHF,6300000000.0,Cash
LBTYA,180914130.0,M&A,2018-12-21,Pending,EUR,180000000.0,Cash
LBTYA,174819400.0,INV,2018-07-26,Completed,USD,1000000000.0,Cash
LBTYA,168757700.0,M&A,2018-05-28,Pending,EUR,0.0,Undisclosed
LBTYA,160363570.0,M&A,2018-05-09,Completed,EUR,18400000000.0,Cash
LBTYA,179337570.0,INV,2018-05-03,Withdrawn,USD,0.0,Cash
LBTYA,162884220.0,JV,2018-03-20,Pending,USD,0.0,Undisclosed
LBTYA,161147020.0,M&A,2018-02-18,Withdrawn,USD,0.0,Undisclosed
LBTYA,156230320.0,M&A,2017-12-21,Completed,EUR,1900000000.0,Undisclosed
LBTYA,157805330.0,M&A,2017-12-21,Proposed,USD,0.0,Cash
LBTYA,156424750.0,INV,2017-12-01,Completed,USD,0.0,Undisclosed
LBTYA,155756880.0,JV,2017-11-20,Pending,USD,0.0,Undisclosed
LBTYA,150150500.0,INV,2017-08-08,Completed,USD,133000000.0,Cash
LBTYA,144511170.0,M&A,2017-04-28,Completed,USD,215000000.0,Cash
LBTYA,143038510.0,M&A,2017-03-31,Terminated,USD,0.0,Undisclosed
LBTYA,141885730.0,M&A,2017-03-11,Withdrawn,EUR,0.0,Undisclosed
LBTYA,141579970.0,INV,2017-03-07,Completed,USD,90000000.0,Cash
LBTYA,150384800.0,M&A,2016-11-17,Completed,USD,0.0,Undisclosed
LBTYA,133677900.0,M&A,2016-10-18,Terminated,PLN,3000000000.0,Cash
LBTYA,131866584.0,INV,2016-09-13,Completed,SGD,0.0,Cash
LBTYA,131652850.0,M&A,2016-09-08,Completed,GBP,0.0,Cash
LBTYA,128275736.0,M&A,2016-07-11,Completed,GBP,0.0,Undisclosed
LBTYA,126877980.0,INV,2016-06-08,Completed,USD,11000000.0,Cash
LBTYA,126673336.0,SPIN,2016-06-02,Completed,USD,1362800000.0,
LBTYA,120655576.0,JV,2016-02-16,Pending,EUR,1000000000.0,Cash
LBTYA,118744460.0,M&A,2016-01-08,Completed,GBP,40000000.0,Undisclosed
LBTYA,114459180.0,M&A,2015-11-16,Completed,GBP,5425042000.0,Stock
LBTYA,115786050.0,M&A,2015-11-16,Completed,EUR,0.0,Undisclosed
LBTYA,115557850.0,INV,2015-11-10,Completed,USD,390000000.0,Cash
LBTYA,112471750.0,INV,2015-09-14,Completed,USD,0.0,Undisclosed
LBTYA,110405660.0,INV,2015-07-31,Completed,GBP,0.0,Cash
