ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
LRCX,183064420.0,INV,2018-12-13,Completed,USD,30000000.0,Cash
LRCX,174989500.0,INV,2018-07-30,Completed,USD,60000000.0,Cash
LRCX,156320100.0,INV,2017-11-30,Completed,USD,0.0,Cash
LRCX,152769620.0,INV,2017-09-27,Completed,USD,11200000.0,Cash
LRCX,151344720.0,M&A,2017-08-31,Completed,USD,0.0,Undisclosed
LRCX,127895416.0,M&A,2016-06-28,Completed,TWD,2060000000.0,Cash
LRCX,128274700.0,JV,2016-03-30,Completed,,0.0,Undisclosed
LRCX,120140380.0,M&A,2016-02-04,Completed,USD,10900000.0,Cash
LRCX,114393670.0,M&A,2015-10-21,Terminated,USD,10957416000.0,Cash and Stock
LRCX,95959850.0,M&A,2014-09-09,Pending,USD,0.0,Cash
LRCX,82299256.0,M&A,2013-10-07,Completed,KRW,22135370000.0,Cash
LRCX,73091950.0,M&A,2012-12-03,Completed,USD,10716000.0,Cash
LRCX,59988910.0,M&A,2011-12-14,Completed,USD,2830911000.0,Stock
LRCX,57558270.0,JV,2011-08-19,Completed,KRW,25000000000.0,Cash
LRCX,35552530.0,INV,2009-01-30,Completed,KRW,4795000000.0,Cash
LRCX,29267448.0,M&A,2007-12-10,Completed,CHF,501445600.0,Cash
LRCX,23530574.0,M&A,2006-10-10,Completed,USD,175000000.0,Cash
LRCX,5032441.0,M&A,1999-11-15,Completed,USD,0.0,Undisclosed
LRCX,9721.0,M&A,1997-03-24,Completed,USD,353239000.0,Stock
LRCX,736841.0,M&A,1993-07-01,Completed,,0.0,
LRCX,1755319.0,M&A,1993-01-29,Terminated,,0.0,Undisclosed
