ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
MAR,199423680.0,INV,2019-08-19,Pending,USD,50000000.0,Undisclosed
MAR,185889660.0,INV,2019-01-28,Proposed,INR,5740000000.0,Cash
MAR,179529980.0,M&A,2018-10-16,Completed,USD,0.0,Undisclosed
MAR,172695340.0,M&A,2018-06-28,Completed,USD,225000000.0,Cash
MAR,170620780.0,M&A,2018-05-24,Completed,USD,131000000.0,Cash
MAR,178207440.0,M&A,2018-05-17,Completed,CAD,92000000.0,Cash
MAR,165581420.0,M&A,2018-05-03,Completed,THB,948679800.0,Cash
MAR,160568460.0,M&A,2018-01-30,Completed,USD,100000000.0,Cash
MAR,155924050.0,M&A,2017-10-18,Completed,CAD,335000000.0,Cash
MAR,150110110.0,JV,2017-08-07,Pending,USD,0.0,Undisclosed
MAR,146608780.0,M&A,2017-06-02,Completed,USD,170000000.0,Cash
MAR,143214900.0,M&A,2017-04-03,Completed,USD,317000000.0,Cash
MAR,142414460.0,INV,2017-03-21,Completed,USD,0.0,Undisclosed
MAR,136185570.0,M&A,2016-12-01,Completed,USD,175000000.0,Cash
MAR,128373700.0,M&A,2016-07-06,Completed,USD,0.0,Undisclosed
MAR,124806820.0,M&A,2016-04-29,Completed,USD,12400000.0,Cash
MAR,116139310.0,M&A,2015-11-24,Completed,USD,64000000.0,Cash
MAR,106158450.0,M&A,2015-11-16,Completed,USD,15158570000.0,Cash and Stock
MAR,104728300.0,M&A,2015-02-27,Completed,USD,28000000.0,Cash
MAR,101845840.0,M&A,2015-01-27,Completed,CAD,168000000.0,Cash
MAR,125254940.0,M&A,2014-11-17,Completed,USD,0.0,Cash
MAR,89023480.0,M&A,2014-01-30,Completed,EUR,78000000.0,Cash
MAR,85958024.0,M&A,2014-01-07,Completed,USD,815000000.0,Cash
MAR,84214850.0,M&A,2013-11-25,Completed,USD,111000000.0,Cash
MAR,83548050.0,M&A,2013-11-07,Completed,ZAR,2020000000.0,Cash
MAR,64923120.0,M&A,2012-05-31,Completed,USD,210000000.0,Cash
MAR,63423800.0,M&A,2012-04-16,Completed,USD,0.0,Undisclosed
MAR,59901944.0,M&A,2011-12-09,Completed,USD,0.0,Cash
MAR,58486424.0,M&A,2011-10-16,Completed,USD,165000000.0,Cash
MAR,52053304.0,SPIN,2011-02-14,Completed,USD,581554050.0,
