ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
MCHP,159678530.0,M&A,2018-03-01,Completed,USD,9837906000.0,Cash
MCHP,138691200.0,M&A,2017-01-13,Completed,MYR,46000000.0,Cash
MCHP,134351040.0,M&A,2016-11-01,Completed,USD,17000000.0,Cash
MCHP,117106160.0,M&A,2015-12-11,Completed,USD,3235575000.0,Cash and Stock
MCHP,106602824.0,M&A,2015-05-07,Completed,USD,829522100.0,Cash or Stock
MCHP,95493430.0,M&A,2014-08-28,Withdrawn,GBP,0.0,Undisclosed
MCHP,98830680.0,M&A,2014-06-30,Completed,USD,87700000.0,Cash
MCHP,91580170.0,M&A,2014-05-22,Completed,TWD,9144330000.0,Cash
MCHP,87236800.0,M&A,2014-02-10,Completed,USD,224236210.0,Cash
MCHP,84089040.0,M&A,2013-11-21,Completed,USD,0.0,Undisclosed
MCHP,77707100.0,M&A,2013-06-03,Completed,USD,0.0,Cash
MCHP,63995570.0,M&A,2012-05-02,Completed,USD,710783360.0,Cash
MCHP,63539990.0,M&A,2012-04-19,Completed,USD,0.0,Undisclosed
MCHP,45529090.0,M&A,2010-05-24,Completed,USD,0.0,Cash
MCHP,42879984.0,M&A,2010-02-03,Completed,USD,176497200.0,Cash
MCHP,42355360.0,M&A,2010-01-11,Completed,USD,0.0,Undisclosed
MCHP,36713530.0,M&A,2009-04-08,Completed,USD,0.0,Undisclosed
MCHP,36196536.0,M&A,2009-03-09,Completed,AUD,0.0,Undisclosed
MCHP,33860556.0,M&A,2008-10-15,Completed,USD,0.0,Undisclosed
MCHP,33707256.0,M&A,2008-10-02,Terminated,USD,2019273000.0,Cash
MCHP,18287454.0,M&A,2005-06-01,Completed,USD,1900000.0,Cash
MCHP,8544021.0,M&A,2002-07-17,Completed,USD,183500000.0,Cash
MCHP,8159480.0,M&A,2002-05-22,Completed,USD,54000000.0,Cash
MCHP,5995330.0,M&A,2000-10-27,Completed,USD,313671870.0,Stock
MCHP,5617115.0,M&A,2000-05-23,Completed,USD,80000000.0,Cash
