ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
MSFT,199425360.0,M&A,2019-08-19,Completed,GBP,0.0,Undisclosed
MSFT,198660140.0,M&A,2019-08-05,Completed,USD,0.0,Undisclosed
MSFT,198119400.0,M&A,2019-07-29,Completed,USD,0.0,Cash
MSFT,197680510.0,INV,2019-07-22,Pending,USD,1000000000.0,Cash
MSFT,194781540.0,INV,2019-06-05,Completed,USD,100000000.0,Cash
MSFT,194210880.0,M&A,2019-05-28,Pending,USD,0.0,Cash
MSFT,191321710.0,M&A,2019-04-18,Completed,USD,0.0,Undisclosed
MSFT,188917090.0,INV,2019-03-12,Completed,USD,150000000.0,Cash
MSFT,186747520.0,INV,2019-02-06,Completed,USD,1000000.0,Cash
MSFT,186669810.0,INV,2019-02-05,Completed,USD,250000000.0,Cash
MSFT,190757140.0,M&A,2019-02-05,Completed,USD,0.0,Cash
MSFT,185729710.0,M&A,2019-01-24,Completed,USD,0.0,Cash
MSFT,181614910.0,INV,2018-11-20,Completed,INR,21906401000.0,Stock
MSFT,181538220.0,M&A,2018-11-19,Completed,USD,0.0,Cash
MSFT,181308300.0,M&A,2018-11-14,Pending,USD,0.0,Cash
MSFT,181156380.0,M&A,2018-11-10,Completed,USD,0.0,Undisclosed
MSFT,179093730.0,M&A,2018-10-08,Completed,USD,400000000.0,Cash
MSFT,178811620.0,INV,2018-10-02,Completed,USD,21000000.0,Cash
MSFT,177712020.0,M&A,2018-09-14,Completed,USD,0.0,Undisclosed
MSFT,176277860.0,INV,2018-08-21,Completed,USD,21000000.0,Cash
MSFT,176278320.0,M&A,2018-08-21,Completed,USD,0.0,Cash
MSFT,175184900.0,INV,2018-08-02,Completed,USD,4500000000.0,Cash
MSFT,170449660.0,M&A,2018-06-25,Completed,USD,1600000000.0,Cash
MSFT,170495840.0,M&A,2018-06-20,Completed,USD,0.0,Cash
MSFT,170330780.0,M&A,2018-06-18,Completed,USD,0.0,Cash
MSFT,169793580.0,M&A,2018-06-10,Completed,USD,0.0,Undisclosed
MSFT,169499150.0,M&A,2018-06-04,Completed,USD,7500000000.0,Stock
MSFT,168360510.0,M&A,2018-05-20,Completed,USD,0.0,Cash
MSFT,166225360.0,M&A,2018-05-09,Completed,USD,16000000000.0,Cash
MSFT,163797980.0,INV,2018-04-03,Completed,USD,50000000.0,Cash
MSFT,160872750.0,M&A,2018-02-13,Completed,USD,0.0,Undisclosed
MSFT,162800030.0,M&A,2018-01-29,Completed,USD,0.0,Cash
MSFT,158648620.0,M&A,2018-01-03,Completed,USD,0.0,Cash
MSFT,158530240.0,INV,2018-01-02,Completed,USD,58000000.0,Cash
MSFT,155095550.0,M&A,2017-11-06,Completed,USD,0.0,Undisclosed
MSFT,153299550.0,M&A,2017-10-03,Completed,USD,0.0,Cash
MSFT,150507260.0,M&A,2017-08-15,Completed,USD,0.0,Cash
MSFT,149324910.0,INV,2017-07-25,Withdrawn,USD,100000000.0,Cash
MSFT,148226860.0,M&A,2017-07-03,Completed,USD,60000000.0,Cash
MSFT,146011760.0,M&A,2017-06-08,Completed,USD,0.0,Cash
MSFT,153685600.0,M&A,2017-05-30,Pending,USD,0.0,Undisclosed
MSFT,143950510.0,M&A,2017-04-18,Completed,USD,0.0,Undisclosed
MSFT,143633070.0,M&A,2017-04-10,Completed,USD,0.0,Undisclosed
MSFT,118680184.0,INV,2017-03-20,Completed,USD,1400000000.0,Cash
MSFT,138844910.0,INV,2017-01-18,Completed,USD,50000000.0,Cash
MSFT,138800780.0,M&A,2017-01-17,Completed,SEK,0.0,Cash
MSFT,138702960.0,M&A,2017-01-13,Completed,USD,0.0,Cash
MSFT,131183020.0,M&A,2016-08-29,Completed,USD,0.0,Undisclosed
MSFT,130720480.0,M&A,2016-08-22,Completed,USD,0.0,Cash
MSFT,130315020.0,M&A,2016-08-11,Completed,USD,0.0,Undisclosed
MSFT,127290040.0,M&A,2016-06-16,Completed,USD,0.0,Undisclosed
MSFT,127065780.0,M&A,2016-06-13,Completed,USD,24379898000.0,Cash
MSFT,126488296.0,M&A,2016-06-01,Completed,USD,0.0,Cash
MSFT,125813700.0,M&A,2016-05-18,Completed,USD,350000000.0,Cash
MSFT,125183710.0,INV,2016-05-05,Completed,USD,253000000.0,Cash
MSFT,125050820.0,M&A,2016-05-03,Completed,EUR,0.0,Undisclosed
MSFT,124999400.0,M&A,2016-05-02,Completed,USD,0.0,Cash
MSFT,123581460.0,JV,2016-04-05,Completed,USD,5500000.0,Undisclosed
MSFT,122952180.0,INV,2016-03-24,Completed,USD,73500000.0,Cash
MSFT,121146130.0,M&A,2016-02-24,Completed,USD,0.0,Cash
MSFT,120041630.0,M&A,2016-02-03,Completed,USD,250000000.0,Cash
MSFT,119125700.0,M&A,2016-01-19,Completed,USD,0.0,Cash
MSFT,118935420.0,M&A,2016-01-13,Completed,AUD,0.0,Cash
MSFT,117754450.0,M&A,2015-12-21,Completed,USD,0.0,Undisclosed
MSFT,117581810.0,M&A,2015-12-18,Completed,USD,0.0,Cash
MSFT,117443150.0,INV,2015-12-17,Completed,GBP,500000.0,Cash
MSFT,117442936.0,JV,2015-12-17,Pending,USD,0.0,Undisclosed
MSFT,116967110.0,INV,2015-12-10,Completed,USD,37500000.0,Cash
