ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
NTES,199204050.0,M&A,2019-08-16,Pending,USD,2000000000.0,Cash
NTES,197359820.0,INV,2019-07-15,Completed,CAD,0.0,Undisclosed
NTES,185995710.0,INV,2019-01-29,Completed,EUR,0.0,Undisclosed
NTES,180610850.0,M&A,2018-12-12,Pending,USD,0.0,Cash
NTES,174974290.0,INV,2018-07-30,Completed,USD,50000000.0,Cash
NTES,174399860.0,INV,2018-07-19,Completed,GBP,0.0,Undisclosed
NTES,169150220.0,INV,2018-06-01,Completed,USD,0.0,Cash
NTES,160216580.0,JV,2018-02-01,Pending,USD,0.0,Undisclosed
NTES,156065580.0,INV,2017-11-25,Completed,USD,200000000.0,Cash
NTES,147039780.0,INV,2017-06-12,Completed,USD,0.0,Cash
NTES,136511280.0,INV,2016-12-07,Completed,USD,5800000.0,Cash
NTES,131911150.0,M&A,2016-09-13,Withdrawn,USD,300000000.0,Cash
NTES,131292960.0,INV,2016-09-01,Completed,HKD,0.0,Undisclosed
NTES,128274990.0,INV,2016-07-04,Completed,USD,80000000.0,Cash
NTES,107249496.0,JV,2015-05-22,Completed,USD,0.0,Undisclosed
NTES,105168770.0,INV,2015-04-07,Completed,USD,11000000.0,Cash
NTES,96112880.0,INV,2014-09-12,Completed,USD,3000000.0,Cash
NTES,80749660.0,JV,2013-08-23,Completed,HKD,0.0,Undisclosed
NTES,6513240.0,M&A,2001-04-17,Completed,CNY,0.0,Undisclosed
