ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
NXPI,199343060.0,M&A,2019-08-16,Pending,USD,165000000.0,Cash
NXPI,194269540.0,M&A,2019-05-29,Pending,USD,1760000000.0,Cash
NXPI,188623540.0,M&A,2019-03-07,Proposed,KRW,50000000000000.0,Undisclosed
NXPI,177092220.0,M&A,2018-09-03,Completed,USD,0.0,Undisclosed
NXPI,163393150.0,INV,2018-03-27,Completed,USD,127113000.0,Cash
NXPI,154951680.0,INV,2017-11-03,Withdrawn,USD,0.0,Cash
NXPI,144013940.0,INV,2017-04-19,Completed,HKD,53700000.0,Cash
NXPI,134117430.0,M&A,2016-10-27,Terminated,USD,52190482000.0,Cash
NXPI,123785656.0,M&A,2016-06-14,Completed,USD,2750000000.0,Cash
NXPI,118694584.0,INV,2016-01-07,Completed,USD,7000000.0,Cash
NXPI,110175650.0,M&A,2015-07-27,Completed,USD,0.0,Cash
NXPI,107443290.0,M&A,2015-05-28,Completed,USD,1800000000.0,Cash
NXPI,103837740.0,M&A,2015-03-10,Completed,GBP,0.0,Undisclosed
NXPI,102693470.0,M&A,2015-03-02,Completed,USD,15768700000.0,Cash and Stock
NXPI,102902400.0,JV,2015-02-19,Completed,USD,0.0,Undisclosed
NXPI,99084640.0,M&A,2014-11-24,Completed,USD,0.0,Cash
NXPI,89849320.0,INV,2014-04-09,Completed,EUR,6000000.0,Cash
NXPI,92896110.0,INV,2014-04-02,Completed,TWD,174637400.0,Cash
NXPI,85365464.0,M&A,2013-12-23,Completed,USD,11410510.0,Cash and Stock
NXPI,84405944.0,JV,2013-12-02,Completed,USD,0.0,Undisclosed
NXPI,83091944.0,M&A,2013-10-28,Completed,USD,11600000.0,Cash
NXPI,76602710.0,M&A,2013-05-01,Completed,USD,0.0,Undisclosed
NXPI,165252340.0,INV,2013-01-04,Completed,AUD,0.0,Cash
NXPI,71401790.0,M&A,2012-12-03,Completed,USD,1680000.0,Cash
NXPI,66572548.0,M&A,2012-07-19,Completed,USD,0.0,Cash
NXPI,63125972.0,M&A,2012-04-04,Completed,USD,0.0,Undisclosed
NXPI,57279190.0,M&A,2011-08-29,Completed,USD,0.0,Cash
NXPI,50678120.0,M&A,2010-12-22,Completed,USD,855000000.0,Cash
NXPI,50827840.0,M&A,2010-07-26,Completed,USD,8000000.0,Cash
NXPI,91813610.0,M&A,2006-12-31,Completed,CHF,1100000.0,Cash
