ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
PAYX,195236160.0,M&A,2018-11-26,Completed,USD,1200000000.0,Cash
PAYX,162563760.0,M&A,2018-03-01,Completed,USD,0.0,Cash
PAYX,155337550.0,M&A,2017-08-21,Completed,USD,0.0,Cash
PAYX,116573070.0,M&A,2015-12-02,Completed,USD,0.0,Undisclosed
PAYX,92585800.0,M&A,2014-06-17,Completed,USD,0.0,Undisclosed
PAYX,78312310.0,M&A,2013-06-12,Completed,USD,0.0,Undisclosed
PAYX,71417496.0,M&A,2012-12-03,Completed,USD,0.0,Cash
PAYX,60672136.0,M&A,2012-01-09,Completed,USD,0.0,Undisclosed
PAYX,54189270.0,M&A,2011-05-03,Completed,USD,0.0,Undisclosed
PAYX,50336016.0,M&A,2010-12-09,Completed,USD,115000000.0,Cash
PAYX,40418970.0,M&A,2009-10-14,Completed,USD,0.0,Cash
PAYX,28162888.0,M&A,2007-09-25,Completed,USD,0.0,Undisclosed
PAYX,28025568.0,M&A,2007-09-13,Completed,USD,0.0,Undisclosed
PAYX,20510228.0,M&A,2006-01-16,Completed,USD,0.0,Undisclosed
PAYX,14307733.0,M&A,2004-04-13,Completed,USD,0.0,Undisclosed
PAYX,12646382.0,M&A,2003-10-16,Completed,USD,0.0,Undisclosed
PAYX,10714306.0,M&A,2003-03-17,Completed,USD,182000000.0,Cash
PAYX,9025010.0,M&A,2002-09-18,Completed,USD,240000000.0,Cash
PAYX,8210611.0,M&A,2002-06-03,Completed,USD,0.0,Undisclosed
PAYX,6619526.0,M&A,2001-05-14,Completed,USD,5000000.0,Undisclosed
PAYX,2060545.0,M&A,1995-03-20,Completed,USD,13638000.0,Stock
