ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
PEP,197966500.0,INV,2019-07-25,Pending,HKD,1019710800.0,Cash
PEP,197529090.0,M&A,2019-07-19,Pending,ZAR,25951620000.0,Cash
PEP,194776600.0,M&A,2019-06-05,Completed,EUR,200000000.0,Cash
PEP,187501070.0,M&A,2019-02-19,Completed,USD,0.0,Cash
PEP,185174400.0,M&A,2019-01-15,Completed,USD,0.0,Cash
PEP,180841340.0,M&A,2018-11-05,Completed,GBP,0.0,Undisclosed
PEP,180335660.0,M&A,2018-10-31,Completed,USD,0.0,Cash
PEP,177206720.0,M&A,2018-09-05,Completed,USD,0.0,Cash
PEP,176202500.0,M&A,2018-08-20,Completed,USD,3168771000.0,Cash
PEP,199138500.0,M&A,2018-07-31,Completed,USD,29300000.0,Cash
PEP,168668600.0,M&A,2018-05-25,Completed,USD,0.0,Cash
PEP,159513100.0,M&A,2018-01-22,Completed,USD,0.0,Undisclosed
PEP,159367360.0,M&A,2018-01-17,Completed,USD,0.0,Cash
PEP,163105570.0,M&A,2017-12-20,Completed,USD,0.0,Cash
PEP,154873730.0,M&A,2017-11-02,Completed,JPY,33000000000.0,Cash
PEP,150296590.0,M&A,2017-08-10,Completed,USD,0.0,Undisclosed
PEP,142019000.0,M&A,2017-08-03,Withdrawn,BRL,6000000000.0,Undisclosed
PEP,146172320.0,M&A,2017-05-26,Withdrawn,USD,0.0,Cash
PEP,133478300.0,M&A,2016-11-22,Completed,USD,0.0,Undisclosed
PEP,132297896.0,M&A,2016-08-22,Pending,AUD,5000000.0,Cash
PEP,128376936.0,M&A,2016-07-06,Completed,EUR,9000000.0,Cash
PEP,103714720.0,M&A,2015-02-06,Completed,USD,0.0,Cash
PEP,104807060.0,M&A,2014-12-29,Completed,USD,0.0,Cash
PEP,96556190.0,M&A,2014-09-19,Completed,USD,0.0,Undisclosed
PEP,78776410.0,M&A,2013-06-27,Completed,USD,30000000.0,Cash
PEP,80660590.0,M&A,2013-01-18,Completed,CNY,95000000.0,Cash
PEP,70053270.0,M&A,2012-10-23,Completed,USD,0.0,Cash
PEP,69249830.0,JV,2012-07-09,Completed,EUR,0.0,Undisclosed
PEP,62937384.0,M&A,2012-03-29,Completed,USD,22400000.0,Cash
PEP,61955348.0,JV,2012-02-24,Completed,,0.0,Cash
PEP,59588292.0,M&A,2011-11-30,Completed,USD,0.0,Cash
PEP,59157456.0,M&A,2011-11-10,Completed,BRL,0.0,Undisclosed
PEP,59023868.0,M&A,2011-11-04,Completed,USD,0.0,Stock
PEP,59022070.0,INV,2011-11-04,Completed,HKD,0.0,Stock
PEP,59021890.0,JV,2011-11-04,Completed,USD,0.0,Undisclosed
PEP,60013410.0,M&A,2011-10-14,Completed,USD,0.0,Undisclosed
PEP,57715710.0,M&A,2011-09-14,Completed,ARS,0.0,Undisclosed
PEP,57557320.0,INV,2011-09-08,Completed,CNY,144000000.0,Cash
PEP,56253616.0,JV,2011-07-18,Completed,MXN,0.0,Undisclosed
PEP,52860308.0,JV,2011-03-16,Completed,USD,0.0,Undisclosed
PEP,58060332.0,M&A,2011-02-17,Completed,USD,0.0,Undisclosed
PEP,50947108.0,M&A,2011-01-03,Completed,USD,0.0,Cash
PEP,50774252.0,INV,2010-12-28,Completed,CNY,48000000.0,Cash
PEP,74012270.0,M&A,2010-12-08,Completed,USD,0.0,Cash
PEP,50156756.0,M&A,2010-12-02,Completed,RUB,39303040000.0,Cash
PEP,50156490.0,M&A,2010-12-02,Completed,USD,4152695800.0,Cash
PEP,49597770.0,JV,2010-11-10,Completed,USD,0.0,Undisclosed
PEP,49287130.0,JV,2010-10-29,Completed,USD,0.0,Undisclosed
PEP,42761830.0,M&A,2010-01-29,Completed,USD,0.0,Undisclosed
PEP,42086096.0,M&A,2009-12-30,Completed,SAR,0.0,Undisclosed
PEP,39171036.0,M&A,2009-08-12,Completed,USD,0.0,Undisclosed
PEP,38202160.0,M&A,2009-06-25,Completed,USD,0.0,Cash
PEP,38202144.0,INV,2009-06-24,Completed,JPY,0.0,Cash
PEP,37749736.0,M&A,2009-06-04,Completed,SAR,0.0,Undisclosed
PEP,36823532.0,M&A,2009-04-20,Completed,USD,10053470000.0,Cash or Stock
PEP,36825796.0,M&A,2009-04-20,Completed,USD,3921290000.0,Cash or Stock
PEP,36811964.0,M&A,2009-04-17,Completed,PEN,0.0,Undisclosed
PEP,35842670.0,JV,2009-02-16,Completed,USD,0.0,Undisclosed
PEP,35179892.0,M&A,2009-01-06,Completed,USD,70600000.0,Cash
PEP,34032188.0,M&A,2008-10-29,Completed,CAD,0.0,Undisclosed
PEP,32064358.0,M&A,2008-10-02,Completed,USD,326695100.0,Cash
PEP,31425790.0,M&A,2008-04-30,Completed,GBP,0.0,Undisclosed
PEP,30759984.0,M&A,2008-03-20,Completed,USD,1605280000.0,Cash
PEP,30706666.0,M&A,2008-03-17,Completed,RUB,0.0,Undisclosed
PEP,29726310.0,M&A,2008-01-08,Completed,BGN,0.0,Undisclosed
PEP,28470028.0,M&A,2007-10-16,Completed,USD,0.0,Undisclosed
PEP,28274688.0,M&A,2007-10-02,Completed,BRL,0.0,Undisclosed
PEP,26716768.0,M&A,2007-06-07,Completed,UAH,0.0,Undisclosed
PEP,26711704.0,M&A,2007-06-07,Completed,USD,542000000.0,Undisclosed
PEP,24356894.0,INV,2006-12-13,Completed,CNY,105000000.0,Cash
PEP,24231616.0,M&A,2006-12-07,Completed,NZD,245000000.0,Cash
PEP,23994552.0,M&A,2006-11-21,Completed,USD,0.0,Undisclosed
PEP,23454590.0,M&A,2006-09-26,Completed,USD,0.0,Undisclosed
PEP,22669000.0,M&A,2006-08-02,Completed,USD,0.0,Cash
PEP,89879640.0,M&A,2006-01-02,Completed,USD,0.0,Cash
PEP,19937996.0,M&A,2005-11-22,Completed,EUR,130000000.0,Cash
PEP,19932490.0,M&A,2005-11-21,Completed,USD,0.0,Undisclosed
PEP,18945608.0,M&A,2005-08-09,Completed,AUD,0.0,Undisclosed
PEP,17929824.0,M&A,2005-05-02,Completed,USD,0.0,Undisclosed
PEP,17527532.0,M&A,2005-03-23,Completed,USD,0.0,Undisclosed
PEP,19048628.0,M&A,2005-02-22,Completed,GBP,0.0,Undisclosed
PEP,16533717.0,M&A,2004-12-13,Completed,USD,750000000.0,Cash
PEP,16512035.0,M&A,2004-09-20,Completed,VND,70875000000.0,Cash
PEP,10232167.0,M&A,2003-01-29,Completed,USD,43000000.0,Undisclosed
PEP,9661887.0,M&A,2002-12-03,Completed,USD,0.0,Undisclosed
PEP,6569228.0,M&A,2001-05-01,Completed,USD,0.0,Undisclosed
PEP,6184982.0,M&A,2001-01-09,Completed,USD,0.0,Undisclosed
PEP,6184252.0,M&A,2001-01-08,Completed,EGP,531270500.0,Cash
PEP,6161213.0,M&A,2000-12-29,Completed,TWD,992460000.0,Undisclosed
PEP,6081768.0,M&A,2000-12-04,Completed,USD,14942800000.0,Stock
PEP,5997656.0,M&A,2000-10-30,Completed,USD,370000000.0,Cash
PEP,4330552.0,M&A,1999-01-26,Completed,USD,300000000.0,Undisclosed
PEP,4323582.0,M&A,1999-01-22,Completed,USD,0.0,Undisclosed
PEP,2627615.0,M&A,1998-10-26,Completed,USD,0.0,Undisclosed
PEP,2245235.0,M&A,1998-09-07,Completed,USD,76500000.0,Undisclosed
PEP,2212373.0,M&A,1998-08-17,Completed,USD,0.0,Undisclosed
PEP,2207088.0,M&A,1998-08-12,Completed,USD,275000000.0,Undisclosed
