ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
PYPL,199564830.0,INV,2019-08-21,Completed,USD,110000000.0,Cash
PYPL,194686000.0,INV,2019-06-04,Completed,SEK,0.0,Undisclosed
PYPL,191796980.0,INV,2019-04-26,Pending,USD,500000000.0,Cash
PYPL,191671470.0,INV,2019-04-25,Completed,USD,11000000.0,Cash
PYPL,189993680.0,INV,2019-03-28,Completed,USD,33000000.0,Cash
PYPL,189326240.0,INV,2019-03-14,Pending,USD,750000000.0,Cash
PYPL,187332670.0,INV,2019-02-15,Proposed,USD,75000000.0,Cash
PYPL,186728450.0,INV,2019-02-06,Completed,USD,114000000.0,Cash
PYPL,185524700.0,INV,2019-01-22,Completed,USD,20000000.0,Cash
PYPL,182777280.0,INV,2018-12-09,Completed,USD,80000000.0,Cash
PYPL,181312800.0,INV,2018-11-14,Completed,AUD,0.0,Cash
PYPL,179853780.0,INV,2018-10-31,Completed,USD,0.0,Undisclosed
PYPL,177290270.0,INV,2018-09-06,Completed,GBP,46000000.0,Cash
PYPL,174265740.0,INV,2018-07-16,Pending,USD,50000000.0,Cash
PYPL,170573360.0,M&A,2018-06-21,Completed,USD,120000000.0,Cash
PYPL,170424580.0,M&A,2018-06-19,Completed,USD,400000000.0,Cash
PYPL,169573980.0,M&A,2018-05-29,Completed,USD,0.0,Cash
PYPL,167813180.0,M&A,2018-05-17,Completed,USD,2200000000.0,Cash
PYPL,167523200.0,INV,2018-05-15,Completed,USD,7000000.0,Cash
PYPL,165903600.0,INV,2018-05-08,Completed,USD,15000000.0,Cash
PYPL,169129310.0,INV,2018-05-06,Completed,USD,125000000.0,Cash
PYPL,165051760.0,INV,2018-04-26,Completed,USD,44000000.0,Cash
PYPL,172674350.0,M&A,2018-04-16,Completed,USD,100000000.0,Cash
PYPL,157667090.0,INV,2017-12-20,Completed,USD,0.0,Cash
PYPL,157083330.0,INV,2017-12-11,Completed,USD,17500000.0,Cash
PYPL,155785540.0,INV,2017-11-20,Completed,USD,35000000.0,Cash
PYPL,155633280.0,M&A,2017-11-16,Completed,USD,0.0,Cash
PYPL,152276140.0,INV,2017-09-19,Completed,USD,60000000.0,Cash
PYPL,150318940.0,M&A,2017-08-10,Completed,USD,0.0,Cash
PYPL,149638740.0,INV,2017-07-31,Completed,GBP,4000000.0,Cash
PYPL,147961680.0,INV,2017-06-29,Completed,USD,0.0,Undisclosed
PYPL,141814110.0,INV,2017-03-09,Completed,USD,48000000.0,Cash
PYPL,140368100.0,M&A,2017-02-14,Completed,CAD,229878960.0,Cash
PYPL,129826370.0,INV,2016-08-02,Completed,USD,1500000.0,Cash
PYPL,124370750.0,INV,2016-04-21,Completed,USD,30000000.0,Cash
PYPL,111334750.0,M&A,2015-08-19,Completed,USD,0.0,Undisclosed
PYPL,109081540.0,M&A,2015-07-01,Completed,USD,842449100.0,Cash
PYPL,96780490.0,SPIN,2014-09-30,Completed,USD,42889888000.0,
PYPL,174476720.0,INV,2013-06-17,Completed,USD,5050000.0,Cash
