ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
QCOM,189245140.0,INV,2019-03-18,Completed,USD,1250000000.0,Cash
QCOM,186988320.0,M&A,2019-02-11,Completed,USD,0.0,Cash
QCOM,186986140.0,M&A,2019-02-11,Completed,USD,0.0,Cash
QCOM,175055900.0,BUY,2018-07-31,Completed,USD,10000000000.0,
QCOM,160844590.0,JV,2018-02-06,Completed,USD,70500000.0,Undisclosed
QCOM,154991120.0,M&A,2017-11-03,Withdrawn,USD,100244550000.0,Cash and Stock
QCOM,150932540.0,INV,2017-08-24,Completed,USD,47000000.0,Cash
QCOM,150560420.0,M&A,2017-08-16,Completed,USD,0.0,Undisclosed
QCOM,147448240.0,INV,2017-06-20,Completed,USD,0.0,Undisclosed
QCOM,140661380.0,INV,2017-02-21,Completed,USD,6000000.0,Cash
QCOM,134117430.0,M&A,2016-10-27,Terminated,USD,52190482000.0,Cash
QCOM,134039070.0,INV,2016-10-25,Completed,USD,37000000.0,Cash
QCOM,131808090.0,INV,2016-09-12,Completed,CNY,0.0,Cash
QCOM,123447060.0,M&A,2016-04-01,Completed,USD,117000000.0,Cash
QCOM,119075944.0,JV,2016-01-17,Pending,USD,154000000.0,Undisclosed
QCOM,118912150.0,JV,2016-01-13,Completed,USD,0.0,Undisclosed
QCOM,113931730.0,INV,2015-10-12,Completed,CNY,0.0,Cash
QCOM,112056940.0,M&A,2015-10-12,Completed,USD,65000000.0,Cash
QCOM,112477600.0,M&A,2015-09-14,Completed,USD,0.0,Cash
QCOM,107943660.0,M&A,2015-08-26,Completed,GBP,0.0,Cash
QCOM,111664480.0,M&A,2015-08-14,Completed,AUD,0.0,Undisclosed
QCOM,110819830.0,M&A,2015-08-06,Completed,USD,25481312.0,Cash
QCOM,159996180.0,M&A,2015-07-13,Completed,USD,50000000.0,Cash
QCOM,108623630.0,JV,2015-06-23,Completed,USD,0.0,Undisclosed
QCOM,106514490.0,INV,2015-05-06,Completed,EUR,18000000.0,Cash
QCOM,101969656.0,M&A,2015-01-29,Completed,USD,0.0,Undisclosed
QCOM,101965850.0,INV,2015-01-29,Completed,USD,15000000.0,Cash
QCOM,98537960.0,M&A,2014-11-19,Pending,USD,85000000.0,Cash
QCOM,97512296.0,M&A,2014-10-15,Completed,GBP,1337449500.0,Cash
QCOM,100038430.0,M&A,2014-09-16,Completed,USD,0.0,Undisclosed
QCOM,100395680.0,M&A,2014-08-26,Completed,USD,0.0,Undisclosed
QCOM,95088660.0,M&A,2014-07-30,Completed,USD,0.0,Undisclosed
QCOM,93329520.0,M&A,2014-07-03,Completed,USD,0.0,Undisclosed
QCOM,93075830.0,M&A,2014-06-25,Completed,USD,0.0,Undisclosed
QCOM,86538810.0,M&A,2014-01-23,Completed,USD,0.0,Cash
QCOM,86183700.0,M&A,2014-01-13,Completed,USD,0.0,Undisclosed
QCOM,83218420.0,M&A,2013-10-31,Completed,USD,0.0,Cash
QCOM,82734380.0,M&A,2013-10-18,Completed,INR,55997000000.0,Cash
QCOM,80752776.0,M&A,2013-08-23,Completed,USD,800000000.0,Cash
QCOM,79264664.0,M&A,2013-07-04,Completed,USD,0.0,Cash
QCOM,78637170.0,M&A,2013-06-13,Completed,USD,380000.0,Cash
QCOM,78210936.0,INV,2013-06-07,Completed,JPY,5957736000.0,Cash
QCOM,150896600.0,M&A,2013-05-31,Completed,USD,0.0,Undisclosed
QCOM,77400184.0,INV,2013-05-24,Completed,USD,5200000.0,Cash
QCOM,78686920.0,M&A,2013-05-06,Completed,USD,0.0,Undisclosed
QCOM,73213300.0,INV,2013-01-22,Completed,KRW,26152320000.0,Cash
QCOM,71478350.0,INV,2012-12-04,Completed,JPY,4939680300.0,Cash
QCOM,71245500.0,INV,2012-11-29,Completed,USD,0.0,Cash
QCOM,70869224.0,M&A,2012-11-16,Completed,ILS,0.0,Cash
