ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
SBAC,160507180.0,M&A,2018-02-06,Pending,USD,145000000.0,Cash
SBAC,155337460.0,M&A,2017-11-10,Pending,BRL,0.0,Undisclosed
SBAC,137486100.0,M&A,2016-07-13,Completed,BRL,0.0,Undisclosed
SBAC,110250000.0,M&A,2015-07-23,Completed,USD,1400000000.0,Cash
SBAC,87748750.0,M&A,2014-02-24,Completed,BRL,1172493000.0,Cash
SBAC,84544120.0,M&A,2013-12-04,Completed,BRL,1525000000.0,Cash
SBAC,84863464.0,M&A,2013-09-24,Completed,BRL,0.0,Undisclosed
SBAC,72332380.0,M&A,2012-12-26,Completed,BRL,362800000.0,Cash
SBAC,70191016.0,M&A,2012-10-26,Completed,USD,0.0,Cash
SBAC,67362296.0,M&A,2012-08-08,Completed,CAD,12000000.0,Cash
SBAC,65767720.0,M&A,2012-06-26,Completed,USD,1444327000.0,Cash and Stock
SBAC,62822252.0,M&A,2012-02-29,Completed,USD,0.0,Cash
SBAC,61826890.0,M&A,2012-02-21,Completed,USD,1088699900.0,Cash and Stock
SBAC,46697584.0,INV,2010-01-25,Completed,USD,128399990.0,Cash
SBAC,88545450.0,M&A,2010-01-05,Completed,USD,0.0,Cash
SBAC,38241436.0,INV,2009-05-14,Completed,CAD,0.0,Undisclosed
SBAC,160100370.0,M&A,2008-09-16,Completed,USD,0.0,Cash
SBAC,32858072.0,M&A,2008-08-04,Completed,USD,24700000.0,Undisclosed
SBAC,32858052.0,M&A,2008-08-04,Completed,USD,5400000.0,Cash and Stock
SBAC,32665974.0,M&A,2008-07-22,Completed,USD,243917650.0,Cash and Stock
SBAC,168681260.0,M&A,2008-07-21,Completed,USD,252256300.0,Stock
SBAC,30747824.0,M&A,2008-03-19,Completed,USD,193800000.0,Cash
SBAC,23907776.0,M&A,2006-11-13,Completed,USD,18000000.0,Cash
SBAC,21122076.0,M&A,2006-03-17,Completed,USD,1009254000.0,Cash and Stock
SBAC,10719827.0,M&A,2003-03-18,Completed,USD,160000000.0,Cash
SBAC,6378723.0,M&A,2001-03-12,Completed,USD,54000000.0,Cash
SBAC,6165622.0,M&A,2001-01-02,Completed,USD,40000000.0,Cash
SBAC,4771747.0,M&A,1999-08-17,Completed,USD,16600000.0,Cash
SBAC,4532879.0,M&A,1999-05-03,Completed,USD,0.0,Undisclosed
SBAC,4532871.0,M&A,1999-05-03,Completed,USD,0.0,Undisclosed
SBAC,66572196.0,INV,1997-03-31,Completed,USD,30000000.0,Cash
