ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
SBUX,197692140.0,INV,2019-07-22,Completed,USD,0.0,Cash
SBUX,193818660.0,M&A,2019-05-23,Pending,USD,0.0,Undisclosed
SBUX,165626780.0,M&A,2018-05-07,Completed,USD,7150000000.0,Cash
SBUX,154466480.0,M&A,2018-03-23,Completed,USD,48200000.0,Cash
SBUX,154918690.0,M&A,2017-11-02,Completed,USD,384000000.0,Cash
SBUX,149479950.0,M&A,2017-07-27,Completed,USD,1300000000.0,Cash
SBUX,149480500.0,INV,2017-07-27,Completed,USD,175000000.0,Undisclosed
SBUX,129271680.0,INV,2016-07-25,Completed,USD,30000000.0,Cash
SBUX,128788100.0,INV,2016-07-14,Completed,EUR,0.0,Cash
SBUX,124298130.0,M&A,2016-04-20,Completed,EUR,41000000.0,Undisclosed
SBUX,119342904.0,M&A,2016-01-22,Completed,USD,0.0,Undisclosed
SBUX,96556110.0,M&A,2014-09-23,Completed,JPY,34319430000.0,Cash
SBUX,96548300.0,M&A,2014-09-23,Completed,JPY,44285200000.0,Cash
SBUX,94015270.0,M&A,2014-07-23,Completed,USD,88000000.0,Cash
SBUX,92507460.0,M&A,2014-05-27,Completed,AUD,15600000.0,Cash
SBUX,90294460.0,INV,2014-04-23,Withdrawn,USD,110000000.0,Undisclosed
SBUX,81938050.0,INV,2013-09-03,Completed,EUR,0.0,Undisclosed
SBUX,79601130.0,M&A,2013-07-17,Completed,USD,0.0,Undisclosed
SBUX,79601090.0,M&A,2013-07-17,Completed,USD,0.0,Cash
SBUX,75699870.0,M&A,2013-04-03,Completed,USD,0.0,Cash
SBUX,70793760.0,M&A,2012-11-14,Completed,USD,626369000.0,Cash
SBUX,67295940.0,INV,2012-08-08,Completed,USD,200000000.0,Cash
SBUX,65069016.0,M&A,2012-06-04,Completed,USD,100000000.0,Cash
SBUX,65647724.0,JV,2012-03-08,Completed,EUR,0.0,Undisclosed
SBUX,61216730.0,JV,2012-01-30,Completed,INR,0.0,Undisclosed
SBUX,59162024.0,M&A,2011-11-10,Completed,USD,30000000.0,Cash
SBUX,56527850.0,M&A,2011-07-28,Completed,EUR,0.0,Undisclosed
SBUX,56193868.0,JV,2011-07-15,Completed,USD,0.0,Undisclosed
SBUX,49112708.0,M&A,2010-10-21,Completed,USD,0.0,Undisclosed
SBUX,47613376.0,M&A,2010-08-19,Completed,BRL,0.0,Undisclosed
SBUX,39537348.0,M&A,2009-09-01,Completed,EUR,0.0,Undisclosed
SBUX,31797860.0,M&A,2008-05-21,Completed,USD,0.0,Undisclosed
SBUX,30754052.0,M&A,2008-03-19,Completed,USD,0.0,Undisclosed
SBUX,29677736.0,JV,2008-01-04,Completed,PLN,0.0,Undisclosed
SBUX,152778540.0,M&A,2006-10-24,Completed,USD,0.0,Undisclosed
SBUX,23253286.0,M&A,2006-09-14,Completed,USD,13500000.0,Cash
SBUX,20582564.0,M&A,2006-01-24,Completed,USD,0.0,Undisclosed
SBUX,20582540.0,M&A,2006-01-24,Completed,USD,0.0,Undisclosed
SBUX,20910646.0,M&A,2005-07-25,Completed,CLP,0.0,Undisclosed
SBUX,18360532.0,M&A,2005-06-09,Completed,CNY,0.0,Undisclosed
SBUX,17732548.0,M&A,2005-04-06,Completed,USD,0.0,Undisclosed
SBUX,16313322.0,M&A,2004-11-22,Completed,EUR,0.0,Undisclosed
SBUX,15163342.0,INV,2004-07-13,Completed,MYR,16500000.0,Cash
SBUX,14963009.0,M&A,2004-06-21,Completed,SGD,13380000.0,Cash
SBUX,11708235.0,M&A,2003-07-01,Completed,USD,0.0,Undisclosed
SBUX,11707827.0,M&A,2003-07-01,Completed,USD,21000000.0,Cash
SBUX,10990806.0,M&A,2003-04-16,Completed,USD,72000000.0,Cash
SBUX,10553762.0,M&A,2003-03-03,Completed,CHF,0.0,Undisclosed
SBUX,9512610.0,M&A,2002-11-19,Completed,GBP,2000000.0,Cash
SBUX,7148217.0,M&A,2001-09-20,Completed,GBP,1400000.0,Undisclosed
SBUX,6192956.0,INV,2000-12-04,Completed,USD,0.0,Undisclosed
SBUX,5041559.0,M&A,1999-11-19,Completed,USD,10000000.0,Undisclosed
SBUX,4304324.0,M&A,1999-01-11,Completed,USD,8100000.5,Cash
SBUX,3755930.0,M&A,1998-12-15,Completed,USD,9000000.0,Undisclosed
SBUX,1948701.0,M&A,1998-04-29,Completed,USD,86062000.0,Stock
SBUX,169540860.0,JV,1995-10-26,Completed,USD,0.0,Undisclosed
SBUX,49020480.0,JV,1994-08-31,Completed,USD,0.0,Undisclosed
