ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
SNY,194405000.0,M&A,2019-05-30,Pending,EUR,0.0,Cash
SNY,193379140.0,M&A,2019-05-17,Proposed,USD,500000000.0,Cash
SNY,190252240.0,M&A,2019-04-01,Pending,USD,0.0,Undisclosed
SNY,186827200.0,M&A,2019-02-07,Completed,USD,0.0,Undisclosed
SNY,184663860.0,INV,2019-01-04,Completed,EUR,80000000.0,Cash
SNY,179992980.0,INV,2018-10-25,Completed,USD,50000000.0,Cash
SNY,179497940.0,M&A,2018-10-16,Pending,USD,0.0,Stock
SNY,178799550.0,INV,2018-10-02,Withdrawn,TWD,0.0,Cash
SNY,182460320.0,M&A,2018-09-19,Completed,JPY,0.0,Undisclosed
SNY,178524880.0,M&A,2018-08-08,Completed,EUR,0.0,Cash
SNY,141646850.0,M&A,2018-06-28,Completed,EUR,1900000000.0,Cash
SNY,170320820.0,M&A,2018-06-18,Completed,EUR,60000000.0,Cash
SNY,154957760.0,M&A,2018-05-31,Completed,USD,0.0,Cash
SNY,164436620.0,M&A,2018-04-16,Completed,EUR,158000000.0,Cash
SNY,164240100.0,INV,2018-04-11,Completed,USD,63400000.0,Cash
SNY,160196750.0,M&A,2018-02-01,Completed,EUR,0.0,Cash
SNY,159915540.0,M&A,2018-01-29,Completed,EUR,3278396000.0,Cash
SNY,159492830.0,M&A,2018-01-22,Completed,USD,11137441000.0,Cash
SNY,157280640.0,INV,2017-12-14,Completed,USD,3500000.0,Cash
SNY,152940800.0,INV,2017-09-28,Completed,USD,17500000.0,Cash
SNY,150169570.0,M&A,2017-08-08,Completed,USD,1700000.0,Cash
SNY,149992450.0,M&A,2017-08-03,Proposed,EUR,0.0,Cash
SNY,148847100.0,M&A,2017-07-14,Completed,EUR,97500000.0,Cash
SNY,148644620.0,M&A,2017-07-11,Completed,USD,650000000.0,Cash
SNY,144154860.0,M&A,2017-04-19,Completed,EUR,0.0,Undisclosed
SNY,142558540.0,M&A,2017-03-23,Withdrawn,USD,1000000000.0,Cash
SNY,140874830.0,M&A,2017-02-24,Withdrawn,EUR,0.0,Cash
SNY,140272400.0,M&A,2017-02-13,Completed,EUR,83000000.0,Cash
SNY,161087380.0,M&A,2017-01-31,Completed,EUR,0.0,Undisclosed
SNY,136889650.0,M&A,2016-12-05,Withdrawn,USD,30000000000.0,Undisclosed
SNY,136358160.0,INV,2016-12-05,Pending,USD,80000000.0,Cash
SNY,136358180.0,M&A,2016-12-05,Pending,USD,21000000.0,Cash
SNY,136570740.0,JV,2016-12-02,Pending,CNY,0.0,Undisclosed
SNY,134385300.0,M&A,2016-11-01,Pending,EUR,0.0,Cash
SNY,131800780.0,JV,2016-09-12,Completed,USD,0.0,Undisclosed
SNY,127854150.0,M&A,2016-06-27,Completed,EUR,0.0,Cash
SNY,127364950.0,M&A,2016-06-17,Withdrawn,USD,0.0,Undisclosed
SNY,127386696.0,M&A,2016-04-29,Completed,EUR,0.0,Cash
