ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
TEAM,191110910.0,INV,2019-04-15,Completed,USD,5950000.0,Cash
TEAM,189273380.0,M&A,2019-03-18,Completed,USD,166000000.0,Cash and Stock
TEAM,182883890.0,INV,2018-12-11,Completed,USD,115000000.0,Cash
TEAM,180265890.0,M&A,2018-10-29,Completed,USD,0.0,Cash
TEAM,177108060.0,M&A,2018-09-04,Completed,USD,295000000.0,Cash and Stock
TEAM,174822610.0,M&A,2018-07-26,Completed,USD,0.0,Cash
TEAM,174822850.0,INV,2018-07-26,Completed,USD,0.0,Cash
TEAM,138424930.0,M&A,2017-01-09,Completed,USD,425000000.0,Cash and Stock
TEAM,128826820.0,M&A,2016-07-14,Completed,USD,0.0,Undisclosed
TEAM,182011760.0,M&A,2014-09-15,Completed,EUR,0.0,Cash
