ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
TMUS,195523060.0,M&A,2019-07-24,Pending,USD,5000000000.0,Cash
TMUS,194733360.0,M&A,2019-06-04,Proposed,USD,0.0,Cash
TMUS,187730140.0,INV,2019-02-22,Completed,USD,20000000.0,Cash
TMUS,164187280.0,M&A,2018-04-29,Pending,USD,57805627000.0,Stock
TMUS,157182000.0,M&A,2017-12-13,Completed,USD,318000000.0,Cash
TMUS,152678290.0,M&A,2017-09-26,Completed,USD,25000000.0,Cash
TMUS,136815120.0,M&A,2016-12-13,Withdrawn,GBP,0.0,Undisclosed
TMUS,126146350.0,M&A,2016-05-25,Completed,USD,0.0,Cash
TMUS,111061350.0,M&A,2015-08-05,Completed,USD,0.0,Cash
TMUS,99433280.0,M&A,2014-12-02,Completed,USD,56000000.0,Cash
TMUS,98961680.0,M&A,2014-11-20,Withdrawn,USD,0.0,Undisclosed
TMUS,95506500.0,M&A,2014-08-28,Withdrawn,EUR,0.0,Undisclosed
TMUS,94376270.0,M&A,2014-07-31,Withdrawn,USD,34739237000.0,Cash
TMUS,92107340.0,M&A,2014-01-19,Withdrawn,USD,0.0,Cash and Stock
TMUS,85887420.0,M&A,2014-01-06,Completed,USD,2365000000.0,Cash
TMUS,78826480.0,M&A,2013-06-28,Completed,USD,308000000.0,Cash
TMUS,69466930.0,M&A,2012-10-03,Completed,USD,28975910000.0,Stock
TMUS,50709628.0,M&A,2010-12-23,Completed,USD,0.0,Undisclosed
TMUS,32601502.0,SPIN,2008-07-15,Completed,USD,2519700.0,
TMUS,29488100.0,SPIN,2007-12-20,Completed,USD,14862966.0,
TMUS,27885328.0,M&A,2007-09-04,Terminated,USD,6589356000.0,Stock
TMUS,19509904.0,INV,2005-10-05,Completed,USD,300000000.0,Cash
TMUS,19509888.0,INV,2005-10-05,Completed,USD,300000000.0,Cash
TMUS,16363877.0,M&A,2004-11-29,Completed,USD,230000000.0,Cash
TMUS,15808031.0,M&A,2004-09-24,Completed,USD,8500000.0,Undisclosed
TMUS,15141819.0,M&A,2004-07-08,Completed,USD,43500000.0,Undisclosed
TMUS,64933764.0,M&A,2001-01-31,Completed,USD,0.0,Undisclosed
