ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
TSLA,186609470.0,M&A,2019-02-04,Completed,USD,236987420.0,Stock
TSLA,175579890.0,M&A,2018-08-07,Withdrawn,USD,80399835000.0,Cash
TSLA,155088580.0,M&A,2017-11-06,Completed,USD,0.0,Cash
TSLA,134844420.0,M&A,2016-11-08,Completed,USD,109500000.0,Cash
TSLA,127542056.0,M&A,2016-08-01,Completed,USD,5319159000.0,Stock
TSLA,107855704.0,M&A,2015-06-04,Completed,USD,0.0,Cash
TSLA,106576490.0,M&A,2015-05-07,Proposed,USD,0.0,Undisclosed
TSLA,97740140.0,INV,2014-10-21,Pending,USD,780000000.0,Cash
TSLA,63221612.0,INV,2012-04-08,Completed,AED,415000000.0,Cash
TSLA,45478784.0,M&A,2010-05-21,Completed,USD,50000000.0,Cash
TSLA,45478824.0,M&A,2010-05-21,Completed,USD,0.0,Cash
TSLA,38578600.0,INV,2009-07-14,Completed,EUR,0.0,Undisclosed
TSLA,37428544.0,INV,2009-05-19,Completed,USD,0.0,Undisclosed
TSLA,64918860.0,INV,2007-05-11,Completed,USD,45000000.0,Cash
TSLA,64966440.0,INV,2006-05-31,Completed,USD,40000000.0,Cash
TSLA,64838250.0,INV,2004-04-30,Completed,USD,7500000.0,Cash
