ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
TXN,186599220.0,M&A,2019-02-04,Completed,USD,0.0,Cash
TXN,114753880.0,M&A,2015-10-28,Terminated,USD,0.0,Undisclosed
TXN,114145570.0,M&A,2015-10-14,Completed,USD,4500000.0,Cash and Stock
TXN,92586900.0,M&A,2014-02-20,Completed,USD,0.0,Cash
TXN,85277200.0,M&A,2013-12-19,Completed,SGD,0.0,Cash
TXN,53392170.0,M&A,2011-04-04,Completed,USD,6406524000.0,Cash
TXN,49019532.0,M&A,2010-10-19,Completed,USD,140000000.0,Cash
TXN,47513290.0,M&A,2010-08-16,Completed,USD,0.0,Cash
TXN,57464110.0,INV,2010-08-15,Completed,USD,48000000.0,Cash
TXN,46761184.0,M&A,2010-07-14,Completed,USD,130000000.0,Cash
TXN,58090188.0,INV,2010-01-25,Completed,USD,31000000.0,Cash
TXN,40457212.0,INV,2009-10-15,Completed,JPY,1400000000.0,Cash
TXN,40103492.0,M&A,2009-09-28,Completed,USD,172500000.0,Cash
TXN,37360944.0,M&A,2009-05-14,Completed,USD,51000000.0,Cash
TXN,35768830.0,M&A,2009-02-11,Completed,USD,104000000.0,Cash
TXN,101746100.0,M&A,2008-10-15,Completed,USD,8000000.0,Cash
TXN,32106736.0,M&A,2008-06-11,Completed,USD,0.0,Undisclosed
TXN,31660040.0,M&A,2008-05-13,Completed,EUR,0.0,Undisclosed
TXN,66786216.0,INV,2008-04-10,Completed,USD,4985000.0,Cash
TXN,66786190.0,INV,2008-02-15,Completed,USD,1485000.0,Cash
TXN,66786164.0,INV,2008-01-04,Completed,USD,50649000.0,Cash
TXN,28376604.0,M&A,2007-10-10,Completed,USD,0.0,Undisclosed
TXN,27653392.0,M&A,2007-08-15,Completed,USD,0.0,Undisclosed
TXN,26950872.0,M&A,2007-06-25,Completed,USD,0.0,Cash
TXN,66785196.0,INV,2007-05-21,Completed,USD,52090340.0,Cash
TXN,66786104.0,INV,2007-04-30,Completed,USD,11975000.0,Cash
TXN,60188550.0,INV,2007-03-09,Completed,USD,16800000.0,Cash
TXN,92621864.0,INV,2006-08-02,Completed,USD,8000000.0,Cash
TXN,66786076.0,INV,2006-07-24,Completed,USD,25000000.0,Cash
TXN,65241484.0,INV,2006-05-17,Completed,USD,50000000.0,Cash
TXN,20444242.0,M&A,2006-01-09,Completed,USD,3000000000.0,Cash
TXN,20262640.0,M&A,2005-12-21,Completed,USD,200000000.0,Cash
TXN,187729280.0,INV,2005-10-19,Completed,USD,4000000.0,Cash
TXN,19504180.0,M&A,2005-10-06,Completed,USD,0.0,Undisclosed
TXN,17181440.0,M&A,2005-02-17,Completed,USD,0.0,Undisclosed
TXN,58387124.0,INV,2004-07-06,Completed,USD,15000000.0,Cash
TXN,66786004.0,INV,2004-05-10,Completed,USD,22000000.0,Cash
TXN,11979438.0,M&A,2003-07-30,Completed,USD,133000000.0,Cash
TXN,66782596.0,INV,2003-05-19,Completed,USD,24356660.0,Cash
TXN,56698828.0,INV,2003-03-25,Completed,USD,13000000.0,Cash
TXN,94634880.0,INV,2002-10-14,Completed,USD,15000000.0,Cash
TXN,8000712.0,M&A,2002-04-16,Completed,USD,26800000.0,Undisclosed
