ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
VRSK,197823460.0,M&A,2019-07-24,Pending,USD,30000000.0,Cash
VRSK,197391820.0,M&A,2019-07-16,Completed,USD,0.0,Cash
VRSK,187837330.0,M&A,2019-02-25,Pending,EUR,0.0,Cash
VRSK,182328830.0,M&A,2018-12-03,Pending,USD,87000000.0,Cash
VRSK,170631940.0,M&A,2018-06-21,Completed,USD,0.0,Cash
VRSK,187535040.0,M&A,2018-02-21,Completed,GBP,0.0,Undisclosed
VRSK,187977650.0,M&A,2018-01-05,Completed,NZD,0.0,Undisclosed
VRSK,187978030.0,M&A,2017-12-22,Completed,USD,0.0,Undisclosed
VRSK,156326620.0,M&A,2017-11-30,Completed,USD,200000000.0,Cash
VRSK,187978290.0,M&A,2017-11-09,Completed,USD,0.0,Undisclosed
VRSK,151013300.0,M&A,2017-08-25,Completed,USD,151000000.0,Cash
VRSK,161081580.0,M&A,2017-08-21,Completed,GBP,250000000.0,Cash
VRSK,149543760.0,M&A,2017-07-27,Completed,USD,112000000.0,Cash
VRSK,145815300.0,M&A,2017-05-22,Completed,USD,16900000.0,Cash
VRSK,141066580.0,M&A,2017-02-28,Completed,USD,6200000.0,Cash
VRSK,140960750.0,M&A,2017-02-27,Completed,USD,16200001.0,Cash
VRSK,140488700.0,M&A,2017-02-16,Completed,USD,52000000.0,Cash
VRSK,139029490.0,M&A,2017-01-23,Completed,USD,1900000.0,Cash
VRSK,135889710.0,M&A,2016-11-28,Completed,USD,0.0,Undisclosed
VRSK,135113040.0,M&A,2016-11-14,Completed,GBP,0.0,Undisclosed
VRSK,133894280.0,M&A,2016-10-24,Completed,CAD,0.0,Undisclosed
VRSK,131073080.0,M&A,2016-08-29,Completed,USD,0.0,Cash
VRSK,129975790.0,M&A,2016-08-04,Completed,USD,0.0,Undisclosed
VRSK,128970650.0,M&A,2016-07-19,Completed,USD,0.0,Cash
VRSK,114000500.0,M&A,2016-04-25,Completed,USD,820000000.0,Cash
VRSK,124045304.0,M&A,2016-04-14,Completed,EUR,0.0,Undisclosed
VRSK,117315176.0,M&A,2015-11-20,Completed,USD,37387000.0,Cash
VRSK,115433130.0,M&A,2015-11-06,Completed,USD,13804000.0,Cash
VRSK,101641400.0,M&A,2015-03-10,Completed,GBP,1850000000.0,Cash
VRSK,99682300.0,M&A,2014-12-08,Completed,GBP,20250000.0,Cash
VRSK,98248744.0,M&A,2014-11-03,Completed,INR,0.0,Undisclosed
VRSK,99509350.0,M&A,2014-03-31,Completed,USD,4000.0,Cash
VRSK,87123840.0,M&A,2014-02-06,Completed,USD,155000000.0,Cash
VRSK,86230470.0,M&A,2014-01-14,Terminated,USD,650000000.0,Cash
VRSK,67275864.0,M&A,2012-08-07,Completed,USD,425000000.0,Undisclosed
VRSK,65450260.0,M&A,2012-06-15,Completed,USD,8000000.0,Cash
VRSK,63093876.0,INV,2012-04-03,Completed,USD,10000000.0,Cash
VRSK,62782920.0,M&A,2012-03-23,Completed,USD,348600000.0,Cash
VRSK,55272270.0,M&A,2011-06-13,Completed,USD,60000000.0,Cash
VRSK,54014932.0,M&A,2011-04-27,Completed,USD,82000000.0,Cash
VRSK,50264920.0,M&A,2010-12-07,Completed,USD,110000000.0,Cash
VRSK,51687930.0,M&A,2010-12-01,Completed,USD,90000000.0,Cash
VRSK,43448190.0,M&A,2010-03-01,Completed,USD,0.0,Undisclosed
VRSK,41138530.0,M&A,2009-11-17,Completed,USD,0.0,Undisclosed
