ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
VRSN,180031650.0,M&A,2018-10-25,Completed,USD,50000000.0,Cash
VRSN,140152660.0,M&A,2017-02-09,Completed,USD,0.0,Cash
VRSN,129028900.0,INV,2016-07-20,Completed,USD,3250000.0,Cash
VRSN,57453630.0,M&A,2011-09-02,Completed,USD,11000000.0,Cash
VRSN,45443916.0,M&A,2010-05-19,Completed,USD,1280000000.0,Cash
VRSN,41112744.0,M&A,2009-11-16,Completed,USD,0.0,Undisclosed
VRSN,40167452.0,M&A,2009-10-01,Completed,USD,0.0,Cash
VRSN,39395000.0,M&A,2009-08-25,Completed,USD,175000000.0,Cash
VRSN,37536468.0,M&A,2009-05-26,Completed,USD,0.0,Cash
VRSN,36083030.0,M&A,2009-03-02,Completed,USD,230000000.0,Cash
VRSN,35691536.0,M&A,2009-02-05,Completed,USD,0.0,Undisclosed
VRSN,35460440.0,M&A,2009-01-23,Terminated,USD,41099388.0,Cash
VRSN,33756410.0,M&A,2008-10-07,Completed,USD,200000000.0,Cash
VRSN,32111744.0,M&A,2008-06-11,Completed,USD,49000000.0,Cash
VRSN,31553474.0,M&A,2008-05-06,Completed,USD,1000000.0,Cash and Stock
VRSN,31411332.0,M&A,2008-04-30,Completed,USD,50000000.0,Cash
VRSN,31099852.0,M&A,2008-04-09,Completed,USD,0.0,Cash
VRSN,28104428.0,M&A,2007-09-20,Completed,USD,0.0,Cash
VRSN,26842508.0,M&A,2007-06-19,Completed,USD,0.0,Undisclosed
VRSN,24054232.0,M&A,2006-11-27,Completed,USD,52000000.0,Cash
VRSN,23217710.0,M&A,2006-09-12,Completed,USD,188000000.0,Cash
VRSN,21799520.0,M&A,2006-05-17,Completed,USD,125000000.0,Cash
VRSN,63642024.0,M&A,2006-03-20,Completed,USD,0.0,Cash
VRSN,21070104.0,M&A,2006-03-13,Completed,USD,62000000.0,Undisclosed
VRSN,20772026.0,M&A,2006-02-13,Completed,EUR,55000000.0,Cash
VRSN,22158256.0,M&A,2006-02-10,Completed,USD,12000000.0,Undisclosed
VRSN,24439036.0,M&A,2006-01-25,Completed,CAD,11000000.0,Cash
VRSN,20474376.0,M&A,2006-01-11,Completed,USD,30000000.0,Cash
VRSN,83803870.0,M&A,2005-10-26,Completed,USD,24000000.0,Cash
VRSN,19593820.0,M&A,2005-10-17,Completed,USD,30000000.0,Cash
VRSN,19536494.0,M&A,2005-10-10,Completed,USD,370000000.0,Cash
VRSN,19515732.0,M&A,2005-10-07,Completed,USD,2300000.0,Cash
VRSN,18699672.0,M&A,2005-07-14,Completed,USD,40000000.0,Cash
VRSN,18112872.0,M&A,2005-05-18,Completed,USD,15000000.0,Cash
VRSN,17858120.0,M&A,2005-04-25,Completed,USD,17450000.0,Cash
VRSN,16818498.0,M&A,2005-01-10,Completed,USD,270000000.0,Stock
VRSN,14722630.0,M&A,2004-05-24,Completed,EUR,273000000.0,Cash and Stock
VRSN,14050588.0,M&A,2004-03-22,Completed,USD,5250000.0,Cash
VRSN,13866660.0,M&A,2004-03-02,Completed,USD,8500000.0,Cash
VRSN,13203952.0,M&A,2003-12-17,Completed,USD,135000000.0,Cash and Stock
VRSN,70304620.0,INV,2003-11-01,Completed,USD,0.0,Cash
VRSN,12645434.0,M&A,2003-10-16,Completed,USD,100000000.0,Cash and Debt
VRSN,12595486.0,M&A,2003-10-03,Completed,BRL,0.0,Cash
VRSN,9748495.0,M&A,2002-12-13,Completed,USD,0.0,Undisclosed
VRSN,7596283.0,M&A,2002-01-07,Completed,USD,350000000.0,Cash
VRSN,7596305.0,M&A,2001-12-31,Completed,USD,45000000.0,Cash
VRSN,7495365.0,M&A,2001-12-14,Completed,USD,5800000.0,Cash
VRSN,7455649.0,M&A,2001-12-06,Completed,USD,11000000.0,Cash and Stock
VRSN,7402178.0,M&A,2001-11-27,Completed,SGD,0.0,Undisclosed
VRSN,7349272.0,M&A,2001-11-13,Completed,USD,258000000.0,Undisclosed
VRSN,7156976.0,M&A,2001-09-24,Completed,USD,1210510000.0,Stock
VRSN,66780230.0,INV,2001-09-18,Completed,USD,9500000.0,Cash
VRSN,66747696.0,INV,2001-09-17,Completed,USD,5000000.0,Cash
VRSN,6784613.0,M&A,2001-06-21,Completed,USD,25000000.0,Undisclosed
VRSN,6784623.0,INV,2001-06-21,Completed,USD,0.0,Undisclosed
VRSN,6785122.0,M&A,2001-06-18,Completed,USD,4675000.0,Cash
VRSN,58239976.0,INV,2001-04-10,Completed,USD,20000000.0,Cash
VRSN,7546585.0,M&A,2001-02-01,Completed,BRL,0.0,Undisclosed
VRSN,5991712.0,M&A,2000-10-25,Completed,USD,0.0,Undisclosed
VRSN,5685526.0,M&A,2000-06-21,Completed,USD,0.0,Undisclosed
VRSN,65891950.0,INV,2000-04-24,Completed,USD,8400000.0,Cash
VRSN,5280827.0,M&A,2000-03-07,Completed,USD,16142920000.0,Stock
VRSN,89076870.0,INV,2000-01-18,Completed,USD,20000000.0,Cash
VRSN,5111129.0,M&A,1999-12-20,Completed,USD,479820000.0,Stock
VRSN,5111119.0,M&A,1999-12-17,Completed,USD,598248000.0,Stock
VRSN,2130437.0,M&A,1998-07-06,Completed,USD,54863000.0,Stock
VRSN,65507744.0,INV,1995-01-31,Completed,USD,0.0,Undisclosed
