ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
VRTX,194918530.0,M&A,2019-06-06,Completed,USD,0.0,Cash
VRTX,176797060.0,INV,2018-08-30,Completed,GBP,33000000.0,Cash
VRTX,175313520.0,INV,2018-08-02,Completed,KRW,6000000000.0,Cash
VRTX,141505570.0,M&A,2017-03-06,Completed,USD,160000000.0,Cash
VRTX,126143940.0,M&A,2016-05-25,Completed,USD,0.0,Cash
VRTX,114591860.0,INV,2015-10-26,Pending,USD,105000000.0,Cash and Stock
VRTX,67738090.0,M&A,2012-08-15,Completed,USD,30000000.0,Cash
VRTX,36118172.0,M&A,2009-03-03,Completed,USD,449943520.0,Cash and Stock
VRTX,13093207.0,M&A,2003-12-04,Completed,USD,0.0,Undisclosed
VRTX,10194799.0,M&A,2003-02-04,Completed,USD,95000000.0,Cash
VRTX,6557548.0,M&A,2001-04-30,Completed,USD,453909920.0,Stock
