ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
WDAY,198664350.0,M&A,2019-07-18,Completed,USD,0.0,Cash
WDAY,175332620.0,M&A,2018-08-02,Completed,USD,2350000000.0,Cash
WDAY,182464860.0,M&A,2018-07-17,Completed,CZK,0.0,Undisclosed
WDAY,169839140.0,M&A,2018-06-11,Completed,USD,1550000000.0,Cash
WDAY,169745380.0,M&A,2018-06-08,Completed,USD,0.0,Cash
WDAY,166184160.0,M&A,2018-01-16,Completed,USD,0.0,Undisclosed
WDAY,153981900.0,INV,2017-10-18,Completed,USD,70000000.0,Cash
WDAY,129208264.0,M&A,2016-07-22,Completed,USD,0.0,Cash
WDAY,128156216.0,M&A,2016-07-01,Completed,USD,0.0,Cash
WDAY,126096590.0,INV,2016-05-24,Completed,USD,5100000.0,Cash
WDAY,113443064.0,M&A,2015-10-01,Completed,CAD,0.0,Cash
WDAY,108324490.0,INV,2015-06-16,Completed,USD,25000000.0,Cash
WDAY,91177720.0,INV,2014-05-13,Completed,USD,100000000.0,Cash
WDAY,107853580.0,M&A,2014-02-28,Completed,USD,26000000.0,Cash
WDAY,88012810.0,M&A,2014-02-28,Pending,USD,26000000.0,Cash
WDAY,85170050.0,INV,2013-12-18,Completed,USD,19000000.0,Cash
WDAY,58668140.0,INV,2011-10-24,Completed,USD,85000000.0,Cash
WDAY,56473090.0,INV,2009-04-29,Completed,USD,75000000.0,Cash
WDAY,101254120.0,M&A,2008-02-06,Completed,USD,0.0,Cash
WDAY,68705150.0,INV,2007-01-10,Completed,USD,20000000.0,Cash
