ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
WLTW,198387470.0,M&A,2019-08-01,Completed,AUD,0.0,Undisclosed
WLTW,190218350.0,M&A,2019-03-31,Completed,USD,1200000000.0,Cash
WLTW,188508420.0,M&A,2019-03-05,Proposed,USD,22341100000.0,Undisclosed
WLTW,180638200.0,M&A,2018-11-02,Completed,CAD,0.0,Undisclosed
WLTW,179777000.0,M&A,2018-10-22,Completed,USD,67000000.0,Cash
WLTW,179714400.0,M&A,2018-10-19,Completed,USD,33200000.0,Cash
WLTW,158869700.0,M&A,2018-01-08,Completed,USD,0.0,Cash
WLTW,153859060.0,M&A,2017-10-16,Completed,USD,0.0,Cash
WLTW,153620100.0,M&A,2017-10-11,Completed,USD,0.0,Cash
WLTW,148512050.0,INV,2017-07-07,Completed,INR,0.0,Undisclosed
WLTW,152582320.0,M&A,2017-05-09,Completed,USD,0.0,Cash
WLTW,140618560.0,M&A,2017-02-20,Completed,EUR,0.0,Undisclosed
WLTW,140544540.0,M&A,2017-02-16,Completed,USD,0.0,Cash
WLTW,132199230.0,M&A,2016-06-26,Completed,EUR,0.0,Cash
WLTW,113447480.0,INV,2015-10-01,Completed,USD,0.0,Cash
WLTW,111378936.0,M&A,2015-08-20,Completed,AUD,0.0,Undisclosed
WLTW,109689740.0,M&A,2015-07-15,Completed,GBP,0.0,Undisclosed
WLTW,108942104.0,M&A,2015-06-30,Completed,USD,8166335000.0,Stock
WLTW,108746160.0,M&A,2015-06-25,Completed,USD,0.0,Cash
WLTW,108141200.0,M&A,2015-06-11,Completed,TWD,0.0,Undisclosed
WLTW,107658770.0,M&A,2015-06-01,Completed,USD,0.0,Undisclosed
WLTW,106417864.0,M&A,2015-05-04,Completed,USD,0.0,Cash
WLTW,105845450.0,M&A,2015-04-22,Completed,EUR,510000000.0,Cash
WLTW,105167530.0,M&A,2015-04-07,Completed,USD,16000000.0,Cash
WLTW,103437370.0,M&A,2015-03-02,Completed,USD,0.0,Undisclosed
WLTW,102044240.0,M&A,2015-01-29,Completed,USD,0.0,Cash
WLTW,97681460.0,M&A,2015-01-22,Completed,USD,401000000.0,Cash
WLTW,96059410.0,M&A,2014-09-11,Completed,USD,0.0,Undisclosed
WLTW,95489336.0,M&A,2014-08-28,Completed,EUR,11500000.0,Cash
WLTW,95093850.0,M&A,2014-08-18,Completed,USD,0.0,Cash
WLTW,93398650.0,INV,2014-07-03,Completed,USD,0.0,Undisclosed
WLTW,91704140.0,M&A,2014-05-27,Completed,USD,205000000.0,Cash
WLTW,86531304.0,M&A,2014-01-23,Completed,USD,0.0,Cash
WLTW,86040000.0,M&A,2014-01-09,Completed,USD,0.0,Undisclosed
WLTW,85939640.0,M&A,2014-01-07,Completed,USD,0.0,Cash
WLTW,75703060.0,M&A,2013-04-03,Completed,GBP,0.0,Cash
WLTW,71265864.0,M&A,2012-11-29,Completed,CAD,0.0,Undisclosed
WLTW,65066012.0,M&A,2012-05-30,Completed,EUR,0.0,Undisclosed
WLTW,60672270.0,M&A,2012-01-09,Completed,USD,0.0,Undisclosed
WLTW,59904624.0,M&A,2011-12-12,Completed,EUR,0.0,Undisclosed
WLTW,57215210.0,M&A,2011-08-25,Completed,PLN,0.0,Undisclosed
WLTW,41206336.0,INV,2009-11-19,Completed,USD,160000000.0,Cash
WLTW,40100120.0,M&A,2009-09-29,Completed,USD,0.0,Undisclosed
WLTW,39704490.0,M&A,2009-09-09,Completed,USD,0.0,Undisclosed
WLTW,36795188.0,M&A,2009-04-16,Completed,USD,0.0,Cash
WLTW,32569078.0,M&A,2008-07-14,Completed,HUF,0.0,Undisclosed
WLTW,32058602.0,M&A,2008-06-09,Completed,USD,1950287000.0,Cash or Stock
WLTW,28304468.0,M&A,2007-10-03,Completed,CHF,0.0,Undisclosed
WLTW,27025852.0,M&A,2007-06-28,Completed,USD,0.0,Undisclosed
WLTW,24629808.0,M&A,2007-01-02,Completed,USD,0.0,Undisclosed
WLTW,23278784.0,M&A,2006-09-18,Completed,USD,0.0,Cash
WLTW,22701950.0,M&A,2006-08-04,Completed,CLP,0.0,Undisclosed
WLTW,22391920.0,M&A,2006-07-06,Completed,NOK,0.0,Undisclosed
WLTW,22347838.0,M&A,2006-07-04,Completed,EUR,3250000.0,Cash
WLTW,20979774.0,M&A,2006-03-03,Completed,USD,0.0,Undisclosed
WLTW,20089808.0,M&A,2005-12-06,Completed,USD,0.0,Undisclosed
WLTW,20049616.0,M&A,2005-12-02,Completed,SEK,0.0,Undisclosed
WLTW,19928250.0,M&A,2005-11-21,Completed,BRL,0.0,Undisclosed
WLTW,19928218.0,M&A,2005-11-21,Completed,PEN,0.0,Undisclosed
WLTW,19509848.0,M&A,2005-10-06,Completed,ZAR,76000000.0,Cash
WLTW,17208740.0,M&A,2005-02-22,Completed,USD,0.0,Undisclosed
WLTW,17159362.0,M&A,2005-02-15,Completed,USD,0.0,Undisclosed
WLTW,16957316.0,M&A,2005-01-26,Completed,USD,0.0,Undisclosed
WLTW,16856062.0,M&A,2005-01-10,Completed,TWD,0.0,Cash and Stock
WLTW,16600359.0,M&A,2004-12-20,Completed,MXN,0.0,Undisclosed
WLTW,16225495.0,M&A,2004-11-09,Completed,GBP,0.0,Cash
WLTW,15912429.0,M&A,2004-10-05,Completed,HKD,0.0,Undisclosed
WLTW,15892924.0,M&A,2004-10-01,Completed,GBP,0.0,Undisclosed
WLTW,15697257.0,M&A,2004-09-09,Completed,USD,0.0,Undisclosed
WLTW,14984552.0,M&A,2004-06-23,Completed,EUR,0.0,Undisclosed
WLTW,14739313.0,M&A,2004-05-26,Completed,USD,0.0,Undisclosed
WLTW,14283130.0,INV,2004-04-08,Completed,CNY,0.0,Undisclosed
WLTW,13477607.0,M&A,2004-01-20,Completed,DKK,0.0,Undisclosed
WLTW,13413899.0,M&A,2004-01-12,Completed,DKK,0.0,Undisclosed
WLTW,13361540.0,M&A,2004-01-05,Completed,USD,0.0,Undisclosed
WLTW,12723775.0,M&A,2003-10-27,Completed,EUR,0.0,Undisclosed
WLTW,12387567.0,M&A,2003-09-15,Completed,USD,0.0,Undisclosed
WLTW,12129103.0,M&A,2003-08-18,Completed,USD,0.0,Cash and Stock
WLTW,12129087.0,M&A,2003-08-18,Completed,USD,0.0,Cash and Stock
WLTW,12129031.0,M&A,2003-08-18,Completed,USD,0.0,Cash and Stock
WLTW,11691618.0,M&A,2003-01-22,Completed,EUR,0.0,Undisclosed
WLTW,9894979.0,M&A,2003-01-02,Completed,USD,0.0,Undisclosed
WLTW,9790027.0,M&A,2002-12-18,Completed,USD,0.0,Undisclosed
WLTW,9442967.0,M&A,2002-11-07,Completed,USD,0.0,Undisclosed
WLTW,9256515.0,M&A,2002-10-16,Completed,SEK,0.0,Undisclosed
WLTW,7855917.0,M&A,2002-03-08,Completed,USD,0.0,Cash
WLTW,7494491.0,M&A,2001-12-14,Completed,USD,0.0,Undisclosed
