ticker,action_id,deal_type,announcement_date,deal_status,currency,announced_total_value,payment_type
XEL,194202030.0,M&A,2019-05-28,Pending,USD,45200000.0,Cash
XEL,180905330.0,M&A,2018-11-06,Completed,USD,650000000.0,Cash
XEL,156799600.0,INV,2017-12-07,Completed,USD,0.0,Cash
XEL,149323970.0,M&A,2016-04-12,Completed,USD,0.0,Undisclosed
XEL,108208840.0,M&A,2015-05-27,Completed,USD,0.0,Cash
XEL,85483820.0,M&A,2013-10-09,Completed,USD,0.0,Cash
XEL,50258830.0,M&A,2010-12-06,Completed,USD,739000000.0,Cash
XEL,44352932.0,M&A,2010-04-05,Completed,USD,739000000.0,Cash
XEL,41082904.0,M&A,2009-11-13,Completed,USD,87000000.0,Cash
XEL,30867928.0,M&A,2007-06-28,Completed,USD,0.0,Cash
XEL,66637260.0,M&A,2006-10-24,Completed,USD,0.0,Cash
XEL,20014990.0,M&A,2005-10-06,Completed,USD,0.0,Cash
XEL,19110366.0,M&A,2005-07-22,Completed,USD,0.0,Undisclosed
XEL,18439136.0,M&A,2005-05-25,Completed,USD,0.0,Undisclosed
XEL,17330646.0,M&A,2005-03-03,Completed,USD,0.0,Undisclosed
XEL,13434580.0,M&A,2004-01-13,Completed,USD,90000000.0,Undisclosed
XEL,11429651.0,M&A,2003-06-02,Completed,USD,27580000.0,Cash
XEL,10008675.0,M&A,2002-12-23,Completed,USD,0.0,Undisclosed
XEL,9449818.0,M&A,2002-11-08,Completed,USD,152000000.0,Undisclosed
XEL,8972601.0,M&A,2002-09-11,Completed,USD,525000000.0,Cash
XEL,8864825.0,M&A,2002-08-29,Completed,USD,33000000.0,Cash
XEL,8845388.0,M&A,2002-08-28,Completed,USD,0.0,Undisclosed
XEL,8593513.0,M&A,2002-07-25,Completed,USD,42490000.0,Undisclosed
XEL,8596073.0,M&A,2002-06-07,Completed,USD,25200000.0,Cash
XEL,8024574.0,M&A,2002-04-23,Completed,USD,0.0,Undisclosed
XEL,7761346.0,M&A,2002-02-15,Completed,USD,662199000.0,Stock
XEL,5569629.0,M&A,2000-05-15,Completed,USD,0.0,Undisclosed
XEL,4512990.0,M&A,1999-04-23,Completed,USD,0.0,Undisclosed
XEL,4452190.0,M&A,1999-03-25,Completed,USD,4728144000.0,Stock
XEL,4215964.0,M&A,1998-12-28,Completed,,26200000.0,
XEL,2081772.0,M&A,1993-08-26,Completed,,0.0,Undisclosed
XEL,2071959.0,M&A,1993-08-23,Completed,,0.0,Undisclosed
