Date,AAPL,MSFT,AMZN,FB,INTC,CSCO,CMCSA,PEP,NFLX,ADBE,PYPL,AVGO,AMGN,NVDA,COST,TXN,SNY,SBUX,ASML,GILD,BKNG,CHTR,MDLZ,ADP,QCOM,INTU,CELG,ISRG,TMUS,CME,CSX,BIDU,AMOV,VOD,WBA,ILMN,VRTX,MU,TSLA,BIIB,MAR,JD,WDAY,CTSH,ADI,REGN,AMAT,KHC,ADSK,ROST,NTES,ATVI,FISV,XLNX,EBAY,ERIC,ALXN,PAYX,AMD,LRCX,MNST,EA,NXPI,XEL,SIRI,TEAM,MELI,PCAR,CTRP,GOLD,ALGN,WLTW,MCHP,VRSN,VRSK,LULU,UAL,INFO,CTAS,FITB,CHKP
2019-08-01,208.43,138.06,1855.32,192.73,49.5,55.39,42.88,127.14,319.5,298.44,110.8,285.34,186.0,164.92,274.57,123.45,41.85,95.38,221.44,65.47,1879.86,384.38,53.63,164.3,71.2,277.96,93.05,523.95,79.31,200.6,67.78,109.21,13.9,18.3,54.07,301.66,179.29,43.6,233.85,243.06,136.87,28.61,203.86,66.41,114.46,309.43,48.47,32.53,153.47,103.57,224.94,50.19,104.66,113.46,41.1,8.82,114.91,83.88,29.86,205.76,63.46,94.6,100.0,60.76,6.27,143.92,626.45,68.14,37.29,16.95,202.35,196.04,91.6,212.8,152.92,185.45,90.49,64.04,259.03,28.37,110.79
2019-07-31,213.04,136.27,1866.78,194.23,50.55,55.4,43.17,127.81,322.99,298.86,110.4,289.99,186.58,168.72,275.63,125.01,41.7,94.69,222.81,65.52,1886.61,385.38,53.49,166.52,73.16,277.31,91.86,519.51,79.73,194.42,70.4,111.7,13.91,18.12,54.49,299.38,166.62,44.89,241.61,237.82,139.06,29.91,199.98,65.14,117.46,304.76,49.37,32.01,156.17,106.03,230.82,48.74,105.43,114.21,41.19,8.71,113.29,83.05,30.45,208.61,64.47,92.5,103.39,59.61,6.26,140.12,621.42,70.14,38.98,16.26,209.08,195.22,94.42,211.09,151.72,191.09,91.91,64.42,260.44,29.69,111.95
2019-07-30,208.78,140.35,1898.53,197.04,51.7,56.47,44.08,130.48,325.93,303.64,112.04,299.56,176.45,175.45,279.5,128.54,42.07,96.65,228.34,67.09,1916.59,394.56,54.81,165.0,74.81,279.62,92.61,531.64,81.3,197.31,70.21,112.75,14.41,18.39,55.4,299.96,169.54,47.46,242.26,241.51,140.81,30.42,205.97,65.33,120.96,311.13,50.73,31.84,160.29,106.34,232.78,48.29,103.91,119.51,41.38,8.85,114.45,86.14,33.87,211.32,65.51,88.57,105.79,60.59,6.18,137.0,633.78,70.97,39.21,17.01,203.25,197.49,96.99,213.93,152.04,191.77,93.93,65.23,262.85,29.88,111.43
2019-07-29,209.68,141.03,1912.45,195.94,52.51,56.93,44.23,131.53,332.7,307.22,111.45,301.74,176.08,174.82,280.13,129.97,43.03,98.02,230.97,67.87,1919.55,393.65,54.86,167.91,74.97,281.35,92.99,529.61,82.38,199.64,69.62,113.45,14.412,18.45,55.12,304.41,166.23,46.82,235.77,237.11,141.23,31.39,212.5,66.04,121.21,306.04,50.67,31.76,162.77,106.51,230.82,48.45,104.64,120.55,41.57,8.99,112.36,86.23,33.48,210.82,65.39,88.87,104.23,60.98,6.16,139.05,653.39,71.51,39.33,17.21,196.05,199.36,98.38,215.54,152.57,192.09,93.44,65.39,260.69,29.77,111.88
2019-07-26,207.74,141.34,1943.05,199.75,51.59,56.53,44.63,131.22,335.78,311.27,115.49,300.92,175.34,175.07,281.37,128.16,42.36,99.11,230.85,66.92,1966.85,398.79,54.81,169.27,75.22,283.77,92.76,527.63,84.25,201.07,68.96,114.22,14.0401,18.25,55.05,300.9,166.83,47.49,228.04,238.21,140.27,31.55,215.89,66.4,121.8,309.18,50.74,31.85,167.99,106.83,238.96,47.99,102.3,120.77,41.23,9.0,114.63,86.58,34.02,210.75,65.2,89.51,102.36,60.51,6.22,146.04,654.71,71.67,39.19,17.06,198.84,199.18,98.11,216.58,152.51,190.61,93.36,65.46,261.69,30.04,112.49
2019-07-25,207.02,140.19,1973.82,200.71,52.16,56.62,44.61,128.99,326.46,308.73,115.12,300.39,174.11,173.38,279.8,127.35,42.03,90.98,230.05,66.32,1926.13,405.5,54.41,167.06,75.35,281.6,92.17,531.69,79.91,201.66,69.5,114.47,14.24,16.38,54.76,298.6,169.56,47.77,228.82,238.21,140.72,31.83,215.01,65.78,122.18,303.42,50.82,31.55,169.92,105.52,240.08,47.19,96.36,127.59,40.81,8.89,118.03,85.42,33.67,210.75,64.16,89.16,101.77,60.19,6.14,134.51,652.5,71.67,40.33,17.04,200.9,196.65,98.05,215.85,150.22,191.21,93.93,64.69,260.76,29.56,113.68
2019-07-24,208.67,140.72,2000.81,204.66,52.92,57.23,44.87,129.21,317.94,310.27,121.3,303.77,175.77,178.66,280.83,129.0,42.4,90.65,234.06,66.64,1919.25,409.67,54.42,167.21,75.87,281.36,89.94,543.04,80.61,201.64,69.22,116.38,14.5826,16.4,55.2,304.01,173.34,47.99,264.88,241.24,139.79,32.2,214.59,65.76,124.64,313.63,52.14,32.07,173.51,105.95,245.16,46.86,94.17,132.14,41.03,8.67,120.97,85.05,34.11,216.98,64.74,89.78,105.5,60.46,6.1,135.35,660.0,72.14,40.28,17.35,275.16,197.18,99.84,216.84,150.77,192.21,95.11,64.81,261.91,29.66,113.25
2019-07-23,208.84,139.29,1994.49,202.36,51.75,57.71,44.32,130.74,307.3,307.88,120.22,300.78,176.01,175.66,280.1,120.07,42.61,90.11,230.21,66.4,1900.25,407.53,54.79,167.91,74.12,281.9,89.82,537.79,78.14,205.35,69.94,115.14,14.4852,16.2,54.65,304.64,175.24,46.95,260.17,243.88,140.69,31.85,211.97,65.87,119.92,309.26,51.03,31.95,169.74,106.11,245.06,45.92,95.3,127.28,41.03,8.83,122.42,84.62,33.49,209.76,64.1,88.22,100.94,60.41,6.04,134.06,634.83,69.23,40.76,17.29,272.96,196.64,95.57,215.74,150.81,189.07,94.93,65.25,260.79,29.25,115.71
2019-07-22,207.22,138.43,1985.63,202.32,51.35,57.73,43.85,130.28,310.62,308.55,118.69,296.15,175.89,171.32,280.17,118.18,42.18,90.92,227.74,64.91,1893.7,407.86,54.64,167.14,75.95,281.15,89.47,535.5,77.66,206.14,70.92,111.7,14.65,15.94,53.94,298.28,174.08,47.19,255.68,232.48,136.06,30.66,214.34,65.55,117.71,296.52,50.73,31.49,170.36,105.94,242.96,45.57,95.3,124.23,40.67,8.79,122.32,84.09,32.85,207.21,63.53,88.14,98.74,60.71,6.08,135.28,636.51,69.16,38.56,17.34,274.47,195.64,93.56,215.94,150.51,187.75,93.83,65.25,259.03,27.82,115.27
2019-07-19,202.59,136.62,1964.52,198.36,50.27,57.36,44.06,130.09,315.1,306.87,118.63,290.0,178.39,168.44,281.51,117.26,41.95,90.3,223.62,65.04,1882.09,409.79,54.89,166.46,75.0,279.32,90.2,528.81,77.43,204.85,70.31,112.25,14.95,16.11,54.44,293.2,174.13,45.52,258.18,231.27,137.73,30.99,214.24,65.14,115.78,298.11,47.81,31.54,169.31,106.61,243.78,45.14,95.39,122.7,40.21,8.85,120.8,84.56,32.51,198.47,63.26,87.5,97.96,60.77,6.06,134.16,626.7,69.33,38.16,17.21,281.21,195.88,92.31,214.21,151.43,187.94,93.83,65.05,257.85,27.94,116.08
2019-07-18,205.66,136.42,1977.9,200.78,49.94,57.74,44.56,132.88,325.21,310.08,119.87,289.78,179.54,170.18,282.91,118.57,41.95,91.5,226.65,67.21,1885.91,415.62,55.23,167.77,74.37,282.88,90.91,536.63,77.97,206.26,71.83,111.79,14.91,15.92,54.82,298.55,178.09,44.67,253.54,232.23,139.8,30.58,217.88,65.93,116.01,303.09,48.17,31.05,172.38,107.04,247.99,45.72,96.87,122.86,39.77,8.84,123.26,85.59,33.0,198.23,64.97,89.19,97.12,61.93,6.04,136.06,648.67,69.08,38.01,17.22,283.37,197.7,92.9,214.8,152.96,189.39,95.28,65.53,260.65,27.81,116.88
2019-07-17,203.35,136.27,1992.03,201.8,49.39,57.21,44.43,132.78,362.44,309.39,118.81,285.08,177.06,169.71,281.56,117.18,41.57,90.25,217.67,66.92,1867.74,414.56,54.89,165.39,75.76,280.63,90.87,523.5,78.93,204.09,71.38,113.58,15.26,15.68,54.52,302.9,177.14,43.37,254.86,229.44,141.24,30.71,218.01,65.24,113.94,299.42,46.22,30.44,171.62,107.29,252.47,46.68,94.11,120.91,39.03,8.54,123.41,85.23,33.6,191.72,65.74,89.7,96.4,61.28,6.04,136.43,631.73,70.14,37.6,16.71,283.91,195.03,90.76,216.96,151.49,190.38,94.78,65.37,260.37,27.58,115.99
